feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json,metric_mae,metric_rmse,metric_r2
A_simple,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
A_simple,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
A_simple,gradient_boosting,passed,classification,student_group,602,196,86,28,0.9897959183673469,0.9859154929577465,1.0,0.9929078014184397,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
A_simple,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.2609577178422318,2.93450259318034,0.9800032530484617
A_simple,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.2239586809190843,3.7695234157468684,0.967003851729104
A_simple,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.9924344689683742,2.6731559745612277,0.9834064634820106
A_simple,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
A_simple,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
A_simple,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
A_simple,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",1.8342344552480234,2.210061085859745,0.9886577579532417
A_simple,random_forest,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.5374970891794306,3.2157889106828863,0.9759859493601645
A_simple,gradient_boosting,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",2.6930034098166677,3.451087202239024,0.9723431813469615
B_lms,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
