feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json,metric_mae,metric_rmse,metric_r2
B_lms,logistic_regression,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms,random_forest,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms,gradient_boosting,passed,classification,student_group,602,196,86,28,1.0,1.0,1.0,1.0,1.0,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",,,
B_lms,linear_regression,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",2.154556650902274,2.8453656617602094,0.9811996243155283
B_lms,random_forest,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.8072757261205292,2.2958036156690165,0.9877606085023616
B_lms,gradient_boosting,final_grade,regression,student_group,602,196,86,28,,,,,,"{""row_counts"": {""test"": 196, ""train"": 602, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 28, ""train"": 86, ""validation"": 0}}",1.6807847485928418,2.100505401821923,0.9897543866809037
B_lms,logistic_regression,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms,random_forest,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms,gradient_boosting,passed,classification,temporal_forward,258,112,86,28,1.0,1.0,1.0,1.0,1.0,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",,,
B_lms,linear_regression,final_grade,regression,temporal_forward,258,112,86,28,,,,,,"{""held_out_students"": 28, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 112, ""train_rows"": 258, ""train_weeks"": 6}",1.7778865295966664,2.2702921346664526,0.988031110851561
