comparison_subject,feature_set,model,feature,mean_rmse_increase,std_rmse_increase,model_native_importance,direction_pearson_with_prediction,direction_pearson_with_target,direction_note,test_mean,train_median,importance_share_basis,importance_share_basis_value,importance_share,rank
baseline,B_lms,gradient_boosting,activity_score_to_date,17.843267102567843,0.636343220265642,0.8276880023724312,0.9874257685612617,0.9858390679155145,higher values generally align with higher predicted final_grade,45.76857142857143,54.0,positive_permutation_rmse_increase,17.843267102567843,0.700548520013834,1
baseline,B_lms,gradient_boosting,avg_assignment_score_to_date,3.687259287993454,0.1729864057002862,0.06318536516455264,0.9802049251900907,0.9848119350685077,higher values generally align with higher predicted final_grade,60.25173469387755,71.11,positive_permutation_rmse_increase,3.687259287993454,0.1447663156227337,2
baseline,B_lms,gradient_boosting,avg_quiz_score_to_date,2.1781305424406323,0.08628577371822274,0.09336489992786443,0.9645541034681513,0.959060197574037,higher values generally align with higher predicted final_grade,60.55545918367346,69.0,positive_permutation_rmse_increase,2.1781305424406323,0.08551607276473056,3
baseline,B_lms,gradient_boosting,on_time_submission_rate_to_date,0.5915061984698795,0.07107218069995194,0.007503832963971746,0.8952555398895107,0.8974333208224569,higher values generally align with higher predicted final_grade,0.4609,0.6,positive_permutation_rmse_increase,0.5915061984698795,0.0232232577999939,4
baseline,B_lms,gradient_boosting,attendance_rate_to_date,0.5771612573616978,0.07899916948164633,0.0047223936444775036,0.9295513009811189,0.9360214915626173,higher values generally align with higher predicted final_grade,0.5930020408163265,0.6714,positive_permutation_rmse_increase,0.5771612573616978,0.022660057843099456,5
baseline,B_lms,gradient_boosting,time_spent_to_date,0.48073358718152426,0.08650110133313549,0.0023225309422112935,0.8145174972399852,0.8147157736170688,higher values generally align with higher predicted final_grade,935.0720408163265,1047.27,positive_permutation_rmse_increase,0.48073358718152426,0.018874189411898244,6
baseline,B_lms,gradient_boosting,avg_attempt_count_to_date,0.08406947918003205,0.023889489088719375,0.000674465641267256,0.6979667531693929,0.7051262828019083,higher values generally align with higher predicted final_grade,0.9441540816326529,1.025,positive_permutation_rmse_increase,0.08406947918003205,0.0033006707168234724,7
baseline,B_lms,gradient_boosting,late_submissions_to_date,0.025576841686201668,0.015561964818599658,0.0002474319320321597,-0.5957315827444134,-0.5907284731167369,higher values generally align with lower predicted final_grade,4.096938775510204,3.0,positive_permutation_rmse_increase,0.025576841686201668,0.0010041781298738806,8
baseline,B_lms,gradient_boosting,missed_assignments_to_date,0.0027186542877486158,0.015095460767681047,0.0002816631228375408,-0.6363808026417053,-0.6386970303124471,higher values generally align with lower predicted final_grade,3.36734693877551,2.0,positive_permutation_rmse_increase,0.0027186542877486158,0.00010673769701275565,9
baseline,B_lms,gradient_boosting,avg_assignment_score_to_date_was_missing,0.0,0.0,9.407685873031894e-06,,,direction unclear,0.0,0.0,positive_permutation_rmse_increase,0.0,0.0,10
baseline,B_lms,gradient_boosting,avg_quiz_score_to_date_was_missing,0.0,0.0,6.602481188377072e-09,-0.15010594776162617,-0.17484145669555498,higher values generally align with lower predicted final_grade,0.01020408163265306,0.0,positive_permutation_rmse_increase,0.0,0.0,11
lean_twin,B_lms_plus_mastery,gradient_boosting,activity_score_to_date,16.28756048929944,0.5545465859828905,0.7253553130512751,0.9877071132794796,0.9858390679155145,higher values generally align with higher predicted final_grade,45.76857142857143,54.0,positive_permutation_rmse_increase,16.28756048929944,0.6475701429384623,1
lean_twin,B_lms_plus_mastery,gradient_boosting,overall_mastery,4.488777346402193,0.22547839724323945,0.19211615999290316,0.988272114883326,0.9890450626591255,higher values generally align with higher predicted final_grade,59.83295918367347,69.65,positive_permutation_rmse_increase,4.488777346402193,0.17846737635990975,2
lean_twin,B_lms_plus_mastery,gradient_boosting,avg_assignment_score_to_date,2.2716715205550506,0.13934407624018624,0.03603149295870678,0.9821708810811673,0.9848119350685077,higher values generally align with higher predicted final_grade,60.25173469387755,71.11,positive_permutation_rmse_increase,2.2716715205550506,0.09031841522501331,3
lean_twin,B_lms_plus_mastery,gradient_boosting,time_spent_to_date,0.5503952416908311,0.07746515811667173,0.0023905343827608215,0.8160901670375729,0.8147157736170688,higher values generally align with higher predicted final_grade,935.0720408163265,1047.27,positive_permutation_rmse_increase,0.5503952416908311,0.021882928727634844,4
lean_twin,B_lms_plus_mastery,gradient_boosting,on_time_submission_rate_to_date,0.5478789532597208,0.06488323651868168,0.006424165604269347,0.8982443825658284,0.8974333208224569,higher values generally align with higher predicted final_grade,0.4609,0.6,positive_permutation_rmse_increase,0.5478789532597208,0.021782884693411362,5
lean_twin,B_lms_plus_mastery,gradient_boosting,attendance_rate_to_date,0.42714435288087943,0.06601734270082835,0.0036839156088270073,0.933421956534851,0.9360214915626173,higher values generally align with higher predicted final_grade,0.5930020408163265,0.6714,positive_permutation_rmse_increase,0.42714435288087943,0.016982649417151937,6
lean_twin,B_lms_plus_mastery,gradient_boosting,avg_quiz_score_to_date,0.4026619774840145,0.05729619487821691,0.03210900036643219,0.9612369284461133,0.959060197574037,higher values generally align with higher predicted final_grade,60.55545918367346,69.0,positive_permutation_rmse_increase,0.4026619774840145,0.016009265137435114,7
lean_twin,B_lms_plus_mastery,gradient_boosting,current_topic_mastery,0.07589000763012076,0.027011565545907307,0.0008869110567959704,0.9487498747162154,0.9416819503547506,higher values generally align with higher predicted final_grade,58.5709693877551,65.795,positive_permutation_rmse_increase,0.07589000763012076,0.0030172783162294224,8
lean_twin,B_lms_plus_mastery,gradient_boosting,late_submissions_to_date,0.04173636864694072,0.019842692757245674,0.00015625759705022648,-0.589666727103949,-0.5907284731167369,higher values generally align with lower predicted final_grade,4.096938775510204,3.0,positive_permutation_rmse_increase,0.04173636864694072,0.0016593784089512995,9
lean_twin,B_lms_plus_mastery,gradient_boosting,avg_attempt_count_to_date,0.030267340837259068,0.018466695004947065,0.0005390223688162286,0.7053369588422773,0.7051262828019083,higher values generally align with higher predicted final_grade,0.9441540816326529,1.025,positive_permutation_rmse_increase,0.030267340837259068,0.0012033862434603338,10
lean_twin,B_lms_plus_mastery,gradient_boosting,missed_assignments_to_date,0.02782530867268241,0.02167908406202729,0.00029231686246171883,-0.6417025210744943,-0.6386970303124471,higher values generally align with lower predicted final_grade,3.36734693877551,2.0,positive_permutation_rmse_increase,0.02782530867268241,0.001106294532340417,11
lean_twin,B_lms_plus_mastery,gradient_boosting,avg_assignment_score_to_date_was_missing,0.0,0.0,1.4910149701515818e-05,,,direction unclear,0.0,0.0,positive_permutation_rmse_increase,0.0,0.0,12
lean_twin,B_lms_plus_mastery,gradient_boosting,avg_quiz_score_to_date_was_missing,0.0,0.0,0.0,-0.167378410625754,-0.17484145669555498,higher values generally align with lower predicted final_grade,0.01020408163265306,0.0,positive_permutation_rmse_increase,0.0,0.0,13
