split_strategy,feature,mean_importance,std_importance,rank,share_of_positive
student_group,cumulative_clicks_to_date,0.036361,0.004096,1,0.1749
student_group,cumulative_active_days_to_date,0.033017,0.004445,2,0.1588
student_group,cumulative_sessions_to_date,0.030662,0.002938,3,0.1475
student_group,current_week_clicks,0.021953,0.003255,4,0.1056
student_group,content_click_ratio_to_date,0.021289,0.003172,5,0.1024
student_group,avg_session_clicks_to_date,0.015918,0.002366,6,0.0766
student_group,days_since_course_start,0.015609,0.001603,7,0.0751
student_group,cumulative_content_clicks_to_date,0.015387,0.00247,8,0.074
student_group,week_number,0.012287,0.001358,9,0.0591
student_group,cumulative_forum_posts_to_date,0.005415,0.001048,10,0.026
student_group,has_activity_to_date,0.0,0.0,11,0.0
temporal_forward,cumulative_active_days_to_date,0.086694,0.009136,1,0.4562
temporal_forward,cumulative_clicks_to_date,0.024689,0.003644,2,0.1299
temporal_forward,current_week_clicks,0.019044,0.002295,3,0.1002
temporal_forward,content_click_ratio_to_date,0.017549,0.004377,4,0.0923
temporal_forward,cumulative_sessions_to_date,0.012406,0.004497,5,0.0653
temporal_forward,cumulative_forum_posts_to_date,0.011081,0.001815,6,0.0583
temporal_forward,cumulative_content_clicks_to_date,0.010828,0.003463,7,0.057
temporal_forward,avg_session_clicks_to_date,0.007756,0.003988,8,0.0408
temporal_forward,week_number,0.0,0.0,9,0.0
temporal_forward,days_since_course_start,0.0,0.0,10,0.0
temporal_forward,has_activity_to_date,-0.00011,0.000155,11,0.0
