feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json
A_simple_engagement,logistic_regression,passed,classification,student_group,14620,4854,1121,374,0.626905644829007,0.6299978387724228,0.9671532846715328,0.7629891375474415,0.6529297156746776,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
A_simple_engagement,random_forest,passed,classification,student_group,14620,4854,1121,374,0.6044499381953028,0.6573647871116226,0.7581287325812873,0.7041602465331279,0.5947619442601194,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
A_simple_engagement,gradient_boosting,passed,classification,student_group,14620,4854,1121,374,0.6378244746600742,0.6524271844660194,0.8918380889183809,0.7535744322960471,0.6598409415481377,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
A_simple_engagement,logistic_regression,passed,classification,temporal_forward,7868,2229,1121,374,0.614176760879318,0.614176760879318,1.0,0.7609783212896053,0.7172876993901507,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
A_simple_engagement,random_forest,passed,classification,temporal_forward,7868,2229,1121,374,0.616868550919695,0.6392644672796106,0.8634039444850256,0.7346177750155376,0.6267267739140775,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
A_simple_engagement,gradient_boosting,passed,classification,temporal_forward,7868,2229,1121,374,0.6249439210408255,0.6289308176100629,0.9495982468955442,0.7566938300349243,0.6927149336640223,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
B_engagement,logistic_regression,passed,classification,student_group,14620,4854,1121,374,0.6442109600329625,0.6593216142609557,0.8835434638354346,0.7551396568835956,0.7031712515507342,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
B_engagement,random_forest,passed,classification,student_group,14620,4854,1121,374,0.6405026782035435,0.6668419668682619,0.8414067684140677,0.744022297198181,0.6546402116211303,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
B_engagement,gradient_boosting,passed,classification,student_group,14620,4854,1121,374,0.6530696332921302,0.673992673992674,0.8546781685467817,0.7536571094207138,0.7005197664522085,"{""row_counts"": {""test"": 4854, ""train"": 14620, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 374, ""train"": 1121, ""validation"": 0}}"
B_engagement,logistic_regression,passed,classification,temporal_forward,7868,2229,1121,374,0.6729475100942126,0.7285714285714285,0.7450693937180424,0.7367280606717227,0.7264902237246675,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
B_engagement,random_forest,passed,classification,temporal_forward,7868,2229,1121,374,0.6500672947510094,0.6666666666666666,0.860482103725347,0.7512755102040817,0.6732354290179557,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
B_engagement,gradient_boosting,passed,classification,temporal_forward,7868,2229,1121,374,0.639300134589502,0.662636729994243,0.8407596785975164,0.7411461687057308,0.7020117383253774,"{""held_out_students"": 374, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 2229, ""train_rows"": 7868, ""train_weeks"": 8}"
