feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json
A_simple_engagement_oulad,logistic_regression,passed,classification,student_group,60408,20124,1678,559,0.7577022460743391,0.7766398158803222,0.6969227591904171,0.7346250136061826,0.8454241482969104,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
A_simple_engagement_oulad,random_forest,passed,classification,student_group,60408,20124,1678,559,0.7355396541443053,0.6849872773536896,0.8339529120198265,0.7521654093322157,0.7948157515022606,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
A_simple_engagement_oulad,gradient_boosting,passed,classification,student_group,60408,20124,1678,559,0.7632180481017691,0.7180601117120312,0.8363279636513837,0.7726947478891381,0.8499232994424584,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
A_simple_engagement_oulad,logistic_regression,passed,classification,temporal_forward,28526,10621,1678,559,0.7975708502024291,0.7320896692271516,0.913715515554686,0.8128807658833769,0.8849263944781567,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
A_simple_engagement_oulad,random_forest,passed,classification,temporal_forward,28526,10621,1678,559,0.7646172676772433,0.7038888021240044,0.8818235179025631,0.7828730241445198,0.8225291096638295,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
A_simple_engagement_oulad,gradient_boosting,passed,classification,temporal_forward,28526,10621,1678,559,0.7576499388004896,0.6814475754541554,0.9321072197221679,0.7873078829945463,0.8746459453134959,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
B_engagement_oulad,logistic_regression,passed,classification,student_group,60408,20124,1678,559,0.8235440270323992,0.7997849252126308,0.8447955390334573,0.8216742831316226,0.889549174409422,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
B_engagement_oulad,random_forest,passed,classification,student_group,60408,20124,1678,559,0.7941264162194395,0.7316277903185352,0.9036555142503098,0.8085932085932086,0.8740109045453179,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
B_engagement_oulad,gradient_boosting,passed,classification,student_group,60408,20124,1678,559,0.8109719737626714,0.7786729857819905,0.8483064849235853,0.8119996046258773,0.884314323029178,"{""row_counts"": {""test"": 20124, ""train"": 60408, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 559, ""train"": 1678, ""validation"": 0}}"
B_engagement_oulad,logistic_regression,passed,classification,temporal_forward,28526,10621,1678,559,0.798418228038791,0.8442280945757997,0.7125807082762668,0.7728381962864721,0.9083701180436772,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
B_engagement_oulad,random_forest,passed,classification,temporal_forward,28526,10621,1678,559,0.813011957442802,0.7631800572679804,0.8865192721580903,0.8202389572773353,0.8849572165795919,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
B_engagement_oulad,gradient_boosting,passed,classification,temporal_forward,28526,10621,1678,559,0.8159307033236042,0.7950635751682872,0.8319311289375856,0.8130796443254613,0.8983207458664472,"{""held_out_students"": 559, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 10621, ""train_rows"": 28526, ""train_weeks"": 20}"
