feature_set,model,target,task,split_strategy,n_train_rows,n_test_rows,n_train_students,n_test_students,metric_accuracy,metric_precision,metric_recall,metric_f1,metric_roc_auc,split_metadata_json
A_simple_engagement_oulad,logistic_regression,passed,classification,student_group,50890,16940,1454,484,0.7573199527744983,0.7656124578584043,0.642722371967655,0.6988057733167266,0.8617107409001337,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
A_simple_engagement_oulad,random_forest,passed,classification,student_group,50890,16940,1454,484,0.6902597402597402,0.6079912533545373,0.8243935309973046,0.6998455465934443,0.7903324891277265,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
A_simple_engagement_oulad,gradient_boosting,passed,classification,student_group,50890,16940,1454,484,0.7655844155844156,0.7296577440404848,0.7384097035040431,0.7340076361444169,0.8601734184239734,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
A_simple_engagement_oulad,logistic_regression,passed,classification,temporal_forward,24718,8712,1454,484,0.7984389348025712,0.6997672614429791,0.9454926624737946,0.804279982166741,0.9100182645996903,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
A_simple_engagement_oulad,random_forest,passed,classification,temporal_forward,24718,8712,1454,484,0.7176308539944903,0.6218109953287819,0.9069706498951782,0.7377957791515668,0.812377483094915,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
A_simple_engagement_oulad,gradient_boosting,passed,classification,temporal_forward,24718,8712,1454,484,0.7743342516069789,0.667390517553384,0.9664570230607966,0.7895525583386855,0.892860813088338,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
B_engagement_oulad,logistic_regression,passed,classification,student_group,50890,16940,1454,484,0.7964580873671783,0.787492762015055,0.7331536388140162,0.7593523171412618,0.8876473419556502,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
B_engagement_oulad,random_forest,passed,classification,student_group,50890,16940,1454,484,0.7968713105076741,0.7319034852546917,0.8462264150943396,0.7849240577536096,0.8775720571247365,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
B_engagement_oulad,gradient_boosting,passed,classification,student_group,50890,16940,1454,484,0.8201889020070838,0.7645137880986937,0.8518867924528302,0.8058388577256502,0.8997391503771319,"{""row_counts"": {""test"": 16940, ""train"": 50890, ""validation"": 0}, ""seed"": 42, ""student_counts"": {""test"": 484, ""train"": 1454, ""validation"": 0}}"
B_engagement_oulad,logistic_regression,passed,classification,temporal_forward,24718,8712,1454,484,0.8277089072543617,0.8385492834162036,0.7513102725366876,0.7925362819626814,0.9156734179957797,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
B_engagement_oulad,random_forest,passed,classification,temporal_forward,24718,8712,1454,484,0.7995867768595041,0.7668901495616297,0.7793501048218029,0.7730699246165843,0.8896711451439415,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
B_engagement_oulad,gradient_boosting,passed,classification,temporal_forward,24718,8712,1454,484,0.8259871441689624,0.8406398104265402,0.7437106918238994,0.789210233592881,0.9136827457660213,"{""held_out_students"": 484, ""student_seed"": 42, ""student_test_size"": 0.25, ""test_rows"": 8712, ""train_rows"": 24718, ""train_weeks"": 20}"
