distance,representation,model,n_pairs,auc_mean,auc_ci_low,auc_ci_high,f1_fail_mean,recall_flag20_mean,brier_mean,tau_mean,jaccard_top3_mean
D0_within_cohort,percentile,gradient_boosting,63,0.6690593268986562,0.6356676333871008,0.7040020003765433,0.4847480777063949,0.30531800466572184,0.20636476854236976,1.0,1.0
D0_within_cohort,raw,gradient_boosting,63,0.6692456152050476,0.6352517139475766,0.7030898924958617,0.4849781138523411,0.30559365928769855,0.20710074762802289,1.0,1.0
D0_within_cohort,zscore,gradient_boosting,63,0.6695359747526951,0.6384457609371221,0.7031267851220715,0.48573445911341534,0.30520247469995304,0.20680310460971077,1.0,1.0
D1_same_module,percentile,gradient_boosting,78,0.7389675393421066,0.7110293325315222,0.7656703466184787,0.5418872827034675,0.3395900321915005,0.1798005878483932,0.26739926739926745,0.4397435897435898
D1_same_module,raw,gradient_boosting,78,0.7345539952285695,0.7049055783342184,0.7634900494587344,0.5540909840433168,0.3325633085727357,0.19629477780483276,0.2661782661782661,0.45384615384615384
D1_same_module,zscore,gradient_boosting,78,0.7395946002245364,0.7144323541336595,0.7663766955545687,0.5426882241091123,0.3381963381710061,0.1796911842680621,0.26862026862026867,0.4435897435897437
D2_other_module,percentile,gradient_boosting,916,0.6569151045768697,0.6485930062418546,0.6648647937502836,0.4462171476652936,0.29593221191419944,0.2527902807206652,0.07174048658764817,0.36179039301310045
D2_other_module,raw,gradient_boosting,916,0.6419609333871236,0.6320640804128295,0.6510511721897964,0.4818203523558771,0.292576926748461,0.27783024060594136,0.04938656685381577,0.3548034934497817
D2_other_module,zscore,gradient_boosting,916,0.6570859869474339,0.6487925674904036,0.6652639312959947,0.4424541973466477,0.296128482485053,0.2482033012899145,0.11499272197962156,0.38875545851528387
D3_other_institution,percentile,gradient_boosting,2912,0.6146124947035337,0.6105937827054946,0.6184796010282784,0.35767050846084475,0.2705604551826447,0.32092052446896707,0.0477498691784406,0.3379464285714286
D3_other_institution,raw,gradient_boosting,2912,0.5852600233730896,0.5808670378756559,0.5896785816635461,0.40673782199796915,0.26390201743891145,0.37696810927603636,0.004284406070120357,0.31699862637362636
D3_other_institution,zscore,gradient_boosting,2912,0.6151442525303438,0.6114807951928942,0.6189104131503271,0.35130360432774854,0.2703955401504591,0.3218411137195076,0.06240188383045526,0.34948489010989015
D0_within_cohort,percentile,logistic_regression,63,0.700318158237296,0.6656400608996078,0.7338175782005156,0.4727895307768857,0.33466834971082116,0.17278288429820024,,
D0_within_cohort,raw,logistic_regression,63,0.7083906458558364,0.6793401679919305,0.738472663896161,0.4627595353876215,0.3348872145042303,0.17157650206754888,,
D0_within_cohort,zscore,logistic_regression,63,0.7083906458558364,0.6791434386400119,0.7391214655972222,0.4627595353876215,0.3348872145042303,0.17157650206754882,,
D1_same_module,percentile,logistic_regression,78,0.7667226302846835,0.745198774892431,0.7886990685059616,0.539992980380436,0.357805342461544,0.165440991075605,,
D1_same_module,raw,logistic_regression,78,0.7645616021103719,0.7408046988460845,0.7881900955038514,0.5336047353914761,0.3517677220600211,0.17360727506678014,,
D1_same_module,zscore,logistic_regression,78,0.7727193242467066,0.7523968499277154,0.7919561053703316,0.5243289912704923,0.3614134465047118,0.16175195336239798,,
D2_other_module,percentile,logistic_regression,916,0.6777823825452829,0.6689944695946961,0.6866673164370583,0.42832061049338765,0.31475068927571365,0.22700184807572388,,
D2_other_module,raw,logistic_regression,916,0.6617854002317095,0.6514550062084813,0.6723103108913723,0.456348361827366,0.30358872800278264,0.2559055042656661,,
D2_other_module,zscore,logistic_regression,916,0.6831264695977132,0.6739922753050782,0.6923247210969787,0.42056921804367003,0.32006603138914447,0.22069689024372774,,
D3_other_institution,percentile,logistic_regression,2912,0.6455356401357676,0.640728498596761,0.6505140016254077,0.3375886629984603,0.2974446534951798,0.29560307453551726,,
D3_other_institution,raw,logistic_regression,2912,0.5829170357939416,0.5773528567182151,0.5890225516817823,0.3754754347961024,0.26298351508328116,0.3611094579953875,,
D3_other_institution,zscore,logistic_regression,2912,0.6528163604765764,0.6478769290902501,0.6574595868982188,0.32149644685165907,0.30352147320840517,0.2930187124229298,,
D0_within_cohort,percentile,random_forest,63,0.6812779826369051,0.6482948294890537,0.7123042941123392,0.4812046182470406,0.3166937128159594,0.18116480432134957,,
D0_within_cohort,raw,random_forest,63,0.6814748957132527,0.6498414460343979,0.7150401229566071,0.48541779125572676,0.3181881326052013,0.1811363384297302,,
D0_within_cohort,zscore,random_forest,63,0.6810572773461808,0.6486867626250252,0.7164430155044736,0.4850698041518824,0.31737534621289726,0.181156673529379,,
D1_same_module,percentile,random_forest,78,0.7416398787093892,0.7178362681988981,0.7665532381104041,0.5384754564993041,0.34545865311334945,0.17175814068729636,,
D1_same_module,raw,random_forest,78,0.7413581215401434,0.7135560430533576,0.7660626640583302,0.5401860761376722,0.3441582593476096,0.1756205431252377,,
D1_same_module,zscore,random_forest,78,0.7428369482359347,0.7173712954160154,0.7681070503419488,0.5366501539751792,0.34756562033328925,0.17105426998362452,,
D2_other_module,percentile,random_forest,916,0.6641283952762944,0.6549373906357906,0.6729297672510681,0.4260930537185552,0.3062743604204276,0.22575085107078005,,
D2_other_module,raw,random_forest,916,0.6547118802945298,0.6452393109848706,0.6648093473921015,0.4575392729883123,0.308127650550474,0.23937141403769113,,
D2_other_module,zscore,random_forest,916,0.6655383626865023,0.6569028272712465,0.6749099914370594,0.4269676192874517,0.30837804203998326,0.2216437189344684,,
