cohort_id,institution,module,n_students,n_failed,pass_rate,mean_cum_clicks
oulad_AAA_2013J,OULAD,AAA,383,105,0.7258485639686684,844.4516971279373
oulad_AAA_2014J,OULAD,AAA,365,112,0.6931506849315069,858.2082191780822
oulad_BBB_2013B,OULAD,BBB,1767,964,0.45444255800792305,425.30956423316354
oulad_BBB_2013J,OULAD,BBB,2237,1165,0.47921323200715243,309.6727760393384
oulad_BBB_2014B,OULAD,BBB,1613,886,0.45071295722256666,267.85120892746437
oulad_BBB_2014J,OULAD,BBB,2292,1140,0.5026178010471204,290.30322862129145
oulad_CCC_2014B,OULAD,CCC,1936,1273,0.3424586776859504,488.3310950413223
oulad_CCC_2014J,OULAD,CCC,2498,1483,0.4063250600480384,537.6673338670937
oulad_DDD_2013B,OULAD,DDD,1303,793,0.3914044512663085,600.8388334612433
oulad_DDD_2013J,OULAD,DDD,1938,1109,0.4277605779153767,464.8735810113519
oulad_DDD_2014B,OULAD,DDD,1228,749,0.39006514657980457,446.5138436482085
oulad_DDD_2014J,OULAD,DDD,1803,1011,0.43926788685524126,430.7753743760399
oulad_EEE_2013J,OULAD,EEE,1052,443,0.5788973384030418,724.3117870722433
oulad_EEE_2014B,OULAD,EEE,694,337,0.5144092219020173,589.5720461095101
oulad_EEE_2014J,OULAD,EEE,1188,504,0.5757575757575758,641.4402356902357
oulad_FFF_2013B,OULAD,FFF,1614,832,0.48451053283767037,1214.310408921933
oulad_FFF_2013J,OULAD,FFF,2283,1188,0.47963206307490147,1055.3718791064389
oulad_FFF_2014B,OULAD,FFF,1500,846,0.436,938.8346666666666
oulad_FFF_2014J,OULAD,FFF,2365,1248,0.4723044397463002,985.8228329809725
ku_Accountancy_1819,KU Leuven,Accountancy,752,224,0.7021276595744681,140.30452127659575
ku_Globaleconom_1819,KU Leuven,Globaleconom,743,325,0.5625841184387618,69.20053835800807
ku_Accountancy_1920,KU Leuven,Accountancy,705,224,0.6822695035460993,166.62695035460993
ku_Globaleconom_1920,KU Leuven,Globaleconom,681,167,0.7547723935389133,309.80176211453744
ku_Accountancy_2021,KU Leuven,Accountancy,723,216,0.7012448132780082,610.2821576763486
ku_Globaleconom_2021,KU Leuven,Globaleconom,335,163,0.5134328358208955,309.48059701492537
ukzn_ISTN101_2019,UKZN,ISTN101,1056,184,0.8257575757575758,186.2035984848485
ukzn_ISTN101_2020,UKZN,ISTN101,978,49,0.9498977505112475,212.96830265848672
ukzn_ISTN101_2021,UKZN,ISTN101,741,63,0.9149797570850202,532.8717948717949
ukzn_ISTN102_2018,UKZN,ISTN102,257,68,0.7354085603112841,61.552529182879375
ukzn_ISTN103_2019,UKZN,ISTN103,1113,300,0.7304582210242587,64.01527403414195
ukzn_ISTN103_2020,UKZN,ISTN103,1082,115,0.8937153419593346,86.97227356746765
ukzn_ISTN211_2019,UKZN,ISTN211,280,19,0.9321428571428572,167.55
ukzn_ISTN211_2021,UKZN,ISTN211,327,17,0.9480122324159022,122.78593272171254
ukzn_ISTN212_2018,UKZN,ISTN212,238,44,0.8151260504201681,76.31932773109244
ukzn_ISTN212_2019,UKZN,ISTN212,264,42,0.8409090909090909,78.79924242424242
ukzn_ISTN2IP_2018,UKZN,ISTN2IP,99,25,0.7474747474747475,70.64646464646465
ukzn_ISTN2IP_2019,UKZN,ISTN2IP,116,28,0.7586206896551724,125.75862068965517
ukzn_ISTN3ND_2018,UKZN,ISTN3ND,144,57,0.6041666666666666,55.520833333333336
ukzn_ISTN3ND_2019,UKZN,ISTN3ND,223,44,0.8026905829596412,162.65470852017938
ukzn_ISTN3SA_2018,UKZN,ISTN3SA,141,30,0.7872340425531915,145.8581560283688
ukzn_ISTN3SA_2019,UKZN,ISTN3SA,195,25,0.8717948717948718,168.8
zambia_ICT1110_2020,Zambia,ICT1110,65,49,0.24615384615384617,141.56923076923076
zambia_ICT1110_2021,Zambia,ICT1110,52,32,0.38461538461538464,179.44230769230768
oviedo_C1112_1415,Oviedo,C1112,199,108,0.457286432160804,117.35175879396985
oviedo_C1127_1415,Oviedo,C1127,106,39,0.6320754716981132,123.9622641509434
oviedo_C1200_1415,Oviedo,C1200,107,64,0.40186915887850466,229.7570093457944
oviedo_C1303_1415,Oviedo,C1303,112,70,0.375,64.49107142857143
oviedo_C174_1415,Oviedo,C174,96,45,0.53125,331.1770833333333
