target,target_institution,k,seed,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large
oulad_AAA_2013J,OULAD,0,0,0.7228160328879754,0.8437025796661608,0.037383177570093455,0.430327868852459,0.3904761904761905,0.5324675324675324,1.942238713667285,0.17995966820510859,-0.06508575777632636
oulad_AAA_2013J,OULAD,25,0,0.722984496124031,0.8417618270799347,0.05825242718446602,0.43668122270742354,0.39,0.5416666666666666,1.9391666666666667,0.18108657619070334,-0.06503857470628185
oulad_AAA_2013J,OULAD,50,0,0.7278261251758087,0.8374558303886925,0.08,0.44755244755244755,0.375,0.5373134328358209,1.8638059701492538,0.18548548941558105,-0.07381457992110091
oulad_AAA_2013J,OULAD,100,0,0.7409685086155674,0.8305084745762712,0.14893617021276595,0.4619565217391305,0.4117647058823529,0.6140350877192983,2.04437564499484,0.187421457246751,-0.0860270961961325
oulad_AAA_2013J,OULAD,0,1,0.7048646796848237,0.8488549618320611,0.10810810810810811,0.430327868852459,0.3619047619047619,0.4935064935064935,1.8001236858379717,0.18454943386161596,-0.07623591903770896
oulad_AAA_2013J,OULAD,25,1,0.6829497698619171,0.8515497553017944,0.11650485436893204,0.4194260485651214,0.35789473684210527,0.4722222222222222,1.7795321637426897,0.17912171040532435,-0.02881801307409962
oulad_AAA_2013J,OULAD,50,1,0.6693679479824058,0.861646234676007,0.16842105263157894,0.40287769784172656,0.32142857142857145,0.40298507462686567,1.5975479744136463,0.17346303724705223,0.0094815333282674
oulad_AAA_2013J,OULAD,100,1,0.6891683433936955,0.8683127572016461,0.2,0.39660056657223797,0.38571428571428573,0.47368421052631576,1.9150375939849622,0.16774203254029058,0.013131936634326297
oulad_AAA_2013J,OULAD,0,2,0.6803014731072285,0.8424242424242424,0.018867924528301886,0.430327868852459,0.3238095238095238,0.44155844155844154,1.6106369820655535,0.19022645106568126,-0.08606041065292205
oulad_AAA_2013J,OULAD,25,2,0.6904110644527489,0.8366013071895425,0.038461538461538464,0.4400871459694989,0.31683168316831684,0.4444444444444444,1.5753575357535752,0.19140947579713216,-0.08481251929715869
oulad_AAA_2013J,OULAD,50,2,0.6896950899877687,0.8333333333333334,0.0784313725490196,0.4511627906976744,0.3402061855670103,0.4925373134328358,1.6908755193106633,0.19515581032158444,-0.08828894415606803
oulad_AAA_2013J,OULAD,100,2,0.7061845921069222,0.8511530398322851,0.20224719101123595,0.4277777777777778,0.33766233766233766,0.45614035087719296,1.6764638869902027,0.17858891433805116,-0.037001114316857486
oulad_AAA_2013J,OULAD,0,3,0.6762761219595752,0.8411497730711044,0.0,0.430327868852459,0.3142857142857143,0.42857142857142855,1.563265306122449,0.19137801954740677,-0.0772423394454636
oulad_AAA_2013J,OULAD,25,3,0.7015502354788068,0.8414239482200647,0.0,0.4298245614035088,0.3673469387755102,0.5,1.826530612244898,0.18259885646836538,-0.060194886706718326
oulad_AAA_2013J,OULAD,50,3,0.7107606679035251,0.8520499108734403,0.20952380952380953,0.41805225653206646,0.42045454545454547,0.5522388059701493,2.0897218453188606,0.17189861848186305,-0.022224834334423765
oulad_AAA_2013J,OULAD,100,3,0.7132371794871796,0.8486140724946695,0.26804123711340205,0.4189944134078212,0.4266666666666667,0.5614035087719298,2.1183625730994153,0.1703471081081014,-0.010348722227615348
oulad_AAA_2013J,OULAD,0,4,0.7070572113737583,0.8406676783004552,0.018691588785046728,0.430327868852459,0.3523809523809524,0.4805194805194805,1.7527520098948672,0.18472987237106564,-0.07469024475077846
oulad_AAA_2013J,OULAD,25,4,0.7050000000000001,0.8390243902439024,0.019801980198019802,0.43668122270742354,0.36,0.5,1.79,0.18553029141616545,-0.06515712114031236
oulad_AAA_2013J,OULAD,50,4,0.6996019460415744,0.8419182948490231,0.13592233009708737,0.44392523364485986,0.3263157894736842,0.4626865671641791,1.6218381775333857,0.1875921997441779,-0.06951602376675398
oulad_AAA_2013J,OULAD,100,4,0.6964759036144579,0.8312236286919831,0.13043478260869565,0.453551912568306,0.3493975903614458,0.5087719298245614,1.7347283872331434,0.1928243124955204,-0.07702518799802477
oulad_AAA_2014J,OULAD,0,0,0.7262140033879165,0.8187702265372169,0.0,0.469601677148847,0.38392857142857145,0.589041095890411,1.9196428571428572,0.19749823813688389,-0.09457759595035056
oulad_AAA_2014J,OULAD,25,0,0.7393928159499095,0.8454706927175843,0.2564102564102564,0.4615384615384615,0.4117647058823529,0.6176470588235294,2.058823529411765,0.18449318656141186,-0.08290823758172083
oulad_AAA_2014J,OULAD,50,0,0.7358129197011255,0.8416988416988417,0.26785714285714285,0.470873786407767,0.3917525773195876,0.6031746031746031,1.9587628865979378,0.18694688570072968,-0.0808867559660845
oulad_AAA_2014J,OULAD,100,0,0.7462745098039215,0.8317757009345794,0.29411764705882354,0.4857142857142857,0.38823529411764707,0.6226415094339622,1.9411764705882353,0.19017134235854355,-0.08883400362319419
oulad_AAA_2014J,OULAD,0,1,0.6973284867306607,0.8187702265372169,0.0,0.469601677148847,0.32142857142857145,0.4931506849315068,1.607142857142857,0.20322252461677612,-0.10040364137148325
oulad_AAA_2014J,OULAD,25,1,0.706408716185426,0.8366247755834829,0.2601626016260163,0.4580498866213152,0.33663366336633666,0.5,1.683168316831683,0.19094053043444315,-0.0688636774077594
oulad_AAA_2014J,OULAD,50,1,0.7155381187639251,0.8416988416988417,0.26785714285714285,0.45588235294117646,0.3655913978494624,0.5396825396825397,1.8279569892473118,0.18421984268134367,-0.05568556654867299
oulad_AAA_2014J,OULAD,100,1,0.7369718779155005,0.8413793103448276,0.2736842105263158,0.47262247838616717,0.3902439024390244,0.6037735849056604,1.951219512195122,0.18790735411703458,-0.09417144716267828
oulad_AAA_2014J,OULAD,0,2,0.6928994918125354,0.8181818181818182,0.017543859649122806,0.469601677148847,0.32142857142857145,0.4931506849315068,1.607142857142857,0.20414618352522632,-0.10068979389397131
oulad_AAA_2014J,OULAD,25,2,0.7353596757852077,0.8327402135231317,0.2033898305084746,0.4719101123595506,0.37142857142857144,0.5735294117647058,1.857142857142857,0.19163996325031288,-0.09668254920722363
