target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_pass,f1_fail,f1_fail_baseline,recall_at_flag20,precision_at_flag20,lift_at_flag20,brier,calibration_in_large
oulad_AAA_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,383,0.7683281945871875,0.8127340823970037,0.5689655172413793,0.430327868852459,0.47619047619047616,0.6493506493506493,2.368583797155226,0.1813227805564203,0.1465953553462011
oulad_AAA_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,383,0.49011647824597465,0.6641074856046065,0.2857142857142857,0.430327868852459,0.13333333333333333,0.18181818181818182,0.6632034632034632,0.2732696368074542,0.12839353336841625
oulad_AAA_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,365,0.7818146527385659,0.7741935483870968,0.6037735849056604,0.469601677148847,0.45535714285714285,0.6986301369863014,2.2767857142857144,0.19096805545692083,0.15851159687996885
oulad_AAA_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,365,0.5180335968379447,0.6748466257668712,0.34024896265560167,0.469601677148847,0.16071428571428573,0.2465753424657534,0.8035714285714285,0.27081340681281435,0.09723533120085082
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1767,0.8624691897087169,0.7841359773371105,0.784624081401922,0.7059685097034054,0.3630705394190871,0.9915014164305949,1.8174097539759968,0.14769716907550262,-0.01343574568743966
oulad_BBB_2013B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1767,0.759137802741793,0.7377521613832853,0.6239669421487604,0.7059685097034054,0.34647302904564314,0.9461756373937678,1.7343281652228086,0.24269399825003268,-0.22828970670947568
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2237,0.8684605406444174,0.7347357619291944,0.7952475247524753,0.684891240446796,0.37939914163090127,0.9888143176733781,1.8986932434638173,0.1588509287941733,0.10506830445104254
oulad_BBB_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2237,0.771064874127218,0.7666795217894331,0.6783625730994152,0.684891240446796,0.34678111587982835,0.9038031319910514,1.735457172758783,0.2206779365954543,-0.16192757652548057
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1613,0.8692615684606333,0.6984848484848485,0.7911857292759706,0.7090836334533814,0.36455981941309257,1.0,1.8205417607223477,0.15261242722312932,0.08336730605614928
oulad_BBB_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1613,0.8158190529123367,0.7630121816168328,0.6985915492957746,0.7090836334533814,0.34198645598194133,0.9380804953560371,1.707814716714772,0.2232673201173313,-0.21635168577260877
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2292,0.8661332693713449,0.6863844977052524,0.7655356462066336,0.6643356643356644,0.38859649122807016,0.9672489082969432,1.9446793840496437,0.17205803453695157,0.15235454204063925
oulad_BBB_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2292,0.7605956079434699,0.7741219963031424,0.6748270356572645,0.6643356643356644,0.34035087719298246,0.8471615720524017,1.703240634336934,0.2154688650010761,-0.129313007118954
oulad_CCC_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1936,0.8856177554712742,0.7469095640858816,0.8334047109207708,0.7933935805546899,0.3040062843676355,1.0,1.5208169677926158,0.13326443973278537,-0.050253015490300035
oulad_CCC_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1936,0.7022010689586125,0.584688995215311,0.5129068462401796,0.7933935805546899,0.27336999214454044,0.8992248062015504,1.3675563431313444,0.32817286680237695,-0.35421667960968234
oulad_CCC_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2498,0.8608595278509479,0.7225929456625357,0.7991718426501035,0.7450389349409695,0.3351314902225219,0.994,1.6743169251517196,0.14693783163854188,-0.0024578729766345786
oulad_CCC_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2498,0.6611591468498483,0.6230172122848464,0.45056566650270535,0.7450389349409695,0.28118678354686444,0.834,1.4048091706001349,0.3165181122125999,-0.29570528993376527
oulad_DDD_2013B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1303,0.8425883341987488,0.7249097472924187,0.687960687960688,0.7566793893129771,0.3291298865069357,1.0,1.6431273644388398,0.18552828342363634,-0.15389558220301003
oulad_DDD_2013B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1303,0.5852483742551245,0.5737704918032787,0.45359019264448336,0.7566793893129771,0.2459016393442623,0.7471264367816092,1.227623892971547,0.32361912746797855,-0.2722392899806784
oulad_DDD_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1938,0.8657447944822545,0.7754901960784314,0.7505446623093682,0.7279291106005907,0.345356176735798,0.9871134020618557,1.7250006972009706,0.15329390958631087,-0.0783043021104951
oulad_DDD_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1938,0.6226362658411658,0.6115627822944896,0.4825511432009627,0.7279291106005907,0.23985572587917042,0.6855670103092784,1.1980422596748255,0.29675317180318433,-0.22691265594699134
oulad_DDD_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1228,0.8668077966167834,0.7660311958405546,0.7926267281105991,0.7577137076378352,0.32710280373831774,0.9959349593495935,1.6328546463034723,0.1502329216391329,-0.06795495602448087
oulad_DDD_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1228,0.6332186826694465,0.5876211782252051,0.5040358744394619,0.7577137076378352,0.24299065420560748,0.7398373983739838,1.212977737254008,0.30310755853333343,-0.26485649874896333
oulad_DDD_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1803,0.8553256351846856,0.7599309153713298,0.7768860353130016,0.718550106609808,0.35311572700296734,0.9889196675900277,1.763622315197646,0.151649752551013,-0.018583022990380837
oulad_DDD_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1803,0.64503716692144,0.6584789796882381,0.5144392209536601,0.718550106609808,0.29080118694362017,0.814404432132964,1.452394847809826,0.28507723614242675,-0.2297791276919482
oulad_EEE_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1052,0.8697694848157992,0.8134206219312602,0.7414965986394558,0.5926421404682275,0.47404063205417607,1.0,2.3747178329571104,0.13999393796542556,0.07619278045932959
oulad_EEE_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1052,0.5779911559860187,0.6588050314465409,0.47836538461538464,0.5926421404682275,0.16478555304740405,0.3476190476190476,0.8254971514565194,0.26768712229553404,-0.04115107970658716
oulad_EEE_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,694,0.8799591053038426,0.8175765645805593,0.7849293563579278,0.6537342386032978,0.4124629080118694,1.0,2.059347181008902,0.13647489904927793,0.04372046550006864
oulad_EEE_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,694,0.6360372041991871,0.6602409638554216,0.4946236559139785,0.6537342386032978,0.228486646884273,0.5539568345323741,1.1407894455948593,0.2688801988101586,-0.13610318963799617
oulad_EEE_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1188,0.8778442054209599,0.8149812734082397,0.7627281460134486,0.5957446808510638,0.47023809523809523,0.9957983193277311,2.347238895558223,0.1405985984839475,0.10229898232166174
oulad_EEE_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1188,0.5793926366843034,0.6506704304869443,0.48383733055265904,0.5957446808510638,0.18452380952380953,0.3907563025210084,0.9210684273709484,0.2700687789584964,-0.03751948733851529
oulad_FFF_2013B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1614,0.8479797855597089,0.7746031746031746,0.6816143497757847,0.6802943581357318,0.38100961538461536,0.9814241486068112,1.903868480590617,0.16999400488615354,-0.09269086407236465
oulad_FFF_2013B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1614,0.4845079492917568,0.5866957470010905,0.4562410329985653,0.6802943581357318,0.17307692307692307,0.4458204334365325,0.8648487735175042,0.3097661839667818,-0.1056149509960505
oulad_FFF_2013J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2283,0.8752498347247206,0.8065173116089613,0.7749881572714353,0.6845289541918754,0.3846801346801347,1.0,1.9217171717171717,0.14224275907613143,-0.03494068860098215
oulad_FFF_2013J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2283,0.46509347662315703,0.5056179775280899,0.4920071047957371,0.6845289541918754,0.15235690235690236,0.39606126914660833,0.7611177419711337,0.32086952223058957,-0.07734634965855941
oulad_FFF_2014B,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,1500,0.8749385487380803,0.7734524569240587,0.7522679692951849,0.7212276214833758,0.34988179669030733,0.9866666666666667,1.749408983451537,0.15352717212204947,-0.07488608126509594
oulad_FFF_2014B,OULAD,P_out_other_institutions,44,raw,gradient_boosting,1500,0.5098421425524684,0.5609452736318408,0.492816091954023,0.7212276214833758,0.16312056737588654,0.46,0.8156028368794327,0.3143926233979759,-0.16463549460508126
oulad_FFF_2014J,OULAD,P_in_leave_one_cohort_out,18,raw,gradient_boosting,2365,0.9042693914560522,0.8334012219959267,0.8202197802197803,0.6908386382507611,0.3782051282051282,0.9978858350951374,1.891025641025641,0.12033580738842214,-0.0141886863183599
oulad_FFF_2014J,OULAD,P_out_other_institutions,44,raw,gradient_boosting,2365,0.47423236175194544,0.4879544459045116,0.5222721700040867,0.6908386382507611,0.1482371794871795,0.39112050739957716,0.7411858974358974,0.3114360605897717,-0.0678439434589943
ku_Accountancy_1819,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,752,0.6340680803571428,0.8141295206055509,0.2984126984126984,0.45901639344262296,0.29464285714285715,0.44,1.4771428571428573,0.20673487634792295,0.08838999844982481
ku_Accountancy_1819,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,752,0.6060944264069265,0.8241758241758241,0.02608695652173913,0.45901639344262296,0.24107142857142858,0.36,1.2085714285714286,0.20343021985720106,0.026748811131999728
ku_Globaleconom_1819,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,743,0.5542436510857564,0.5294924554183813,0.5468956406869221,0.6086142322097378,0.23384615384615384,0.5100671140939598,1.1660918946824987,0.2536045579597383,0.07134069778038665
ku_Globaleconom_1819,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,743,0.6007397865292602,0.7161803713527851,0.09577464788732394,0.6086142322097378,0.24307692307692308,0.5302013422818792,1.21212183789365,0.2457471671915112,-0.08710146247054473
ku_Accountancy_1920,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,705,0.6548902955152955,0.8094405594405595,0.18045112781954886,0.4822389666307858,0.33482142857142855,0.5319148936170213,1.6741071428571428,0.20377272313840644,0.012918421137278924
ku_Accountancy_1920,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,705,0.6194219631719632,0.8044596912521441,0.06557377049180328,0.4822389666307858,0.29910714285714285,0.475177304964539,1.4955357142857142,0.20921434948533416,0.008745316873945752
ku_Globaleconom_1920,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,681,0.6337752510543115,0.7637474541751528,0.3894736842105263,0.3938679245283019,0.2874251497005988,0.35294117647058826,1.439239168721381,0.21490902524006866,0.18251303331859312
ku_Globaleconom_1920,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,681,0.6513607027190754,0.856396866840731,0.22535211267605634,0.3938679245283019,0.3413173652694611,0.41911764705882354,1.7090965128566398,0.18204010907189067,0.08119673562338683
ku_Accountancy_2021,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,723,0.6611010665497845,0.8196176226101413,0.10699588477366255,0.46006389776357826,0.3055555555555556,0.45517241379310347,1.5235632183908048,0.209532095756073,-0.1131426444233612
ku_Accountancy_2021,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,723,0.5816714150047484,0.8234336859235151,0.0,0.46006389776357826,0.3287037037037037,0.4896551724137931,1.6389846743295018,0.20604930990538056,-0.05413239550343393
ku_Globaleconom_2021,KU Leuven,P_in_leave_one_cohort_out,5,raw,gradient_boosting,335,0.6645741189898702,0.6735966735966736,0.1693121693121693,0.6546184738955823,0.2822085889570552,0.6865671641791045,1.4110429447852761,0.2944621104934061,-0.24833322842155953
ku_Globaleconom_2021,KU Leuven,P_out_other_institutions,57,raw,gradient_boosting,335,0.6216650021401057,0.6800804828973843,0.08092485549132948,0.6546184738955823,0.3006134969325153,0.7313432835820896,1.5030674846625767,0.277089192073055,-0.1925998955028409
ukzn_ISTN101_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1056,0.6479388960909453,0.905974025974026,0.03208556149732621,0.2967741935483871,0.34782608695652173,0.3033175355450237,1.7407788996497013,0.1453923089507313,-0.09370292012043702
ukzn_ISTN101_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,1056,0.579863881132828,0.8665183537263627,0.2356687898089172,0.2967741935483871,0.29891304347826086,0.26066350710900477,1.495981866886462,0.20124995776277954,0.2433633506913968
ukzn_ISTN101_2020,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,978,0.687045539421366,0.801762114537445,0.14168937329700274,0.09542356377799414,0.3469387755102041,0.08673469387755102,1.7311536859641816,0.2509164703807571,0.3317117687121468
ukzn_ISTN101_2020,UKZN,P_out_other_institutions,47,raw,gradient_boosting,978,0.6999077348915885,0.5403288958496476,0.13549337260677466,0.09542356377799414,0.3469387755102041,0.08673469387755102,1.7311536859641816,0.3465136520694129,0.5269105219935837
ukzn_ISTN101_2021,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,741,0.7000046823055673,0.9541284403669725,0.0,0.15671641791044774,0.4444444444444444,0.1891891891891892,2.2252252252252256,0.07611002476625184,-0.015352146509698655
ukzn_ISTN101_2021,UKZN,P_out_other_institutions,47,raw,gradient_boosting,741,0.7243409654914079,0.9525179856115108,0.2826086956521739,0.15671641791044774,0.5238095238095238,0.22297297297297297,2.6225868725868726,0.11342946849479525,0.2090145649494943
ukzn_ISTN102_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,257,0.6245331465919701,0.8449438202247191,0.0,0.4184615384615385,0.25,0.3333333333333333,1.2598039215686274,0.19067805088114786,-0.05403440039215668
ukzn_ISTN102_2018,UKZN,P_out_other_institutions,47,raw,gradient_boosting,257,0.646630874572051,0.6987951807228916,0.45054945054945056,0.4184615384615385,0.3235294117647059,0.43137254901960786,1.630334486735871,0.2365455124005273,0.22512665825026157
ukzn_ISTN103_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1113,0.6209778597785978,0.8442367601246106,0.0,0.4246284501061571,0.25,0.336322869955157,1.2477578475336324,0.1975824133675219,-0.08635578449416623
ukzn_ISTN103_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,1113,0.6529192291922918,0.6994301994301995,0.48661800486618007,0.4246284501061571,0.29,0.3901345291479821,1.4473991031390137,0.23379316336648404,0.21659232567692394
ukzn_ISTN103_2020,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1082,0.6459062092531811,0.9400196656833825,0.06153846153846154,0.19214703425229743,0.2608695652173913,0.1388888888888889,1.3067632850241546,0.12307745620515302,0.1509643520452072
ukzn_ISTN103_2020,UKZN,P_out_other_institutions,47,raw,gradient_boosting,1082,0.6079717638595388,0.684931506849315,0.23454833597464342,0.19214703425229743,0.23478260869565218,0.125,1.1760869565217391,0.23155122095310715,0.36354583722319234
ukzn_ISTN211_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,280,0.7122403710425489,0.9629629629629629,0.0,0.12709030100334448,0.47368421052631576,0.16071428571428573,2.368421052631579,0.06529857442413382,0.05850052947985558
ukzn_ISTN211_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,280,0.5543456342004437,0.9511278195488722,0.07142857142857142,0.12709030100334448,0.2631578947368421,0.08928571428571429,1.3157894736842106,0.16344690225381853,0.31311160269195326
ukzn_ISTN211_2021,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,327,0.7588235294117648,0.9667194928684627,0.08695652173913043,0.09883720930232558,0.5294117647058824,0.13846153846153847,2.663348416289593,0.07717048488988996,0.14920825480526145
ukzn_ISTN211_2021,UKZN,P_out_other_institutions,47,raw,gradient_boosting,327,0.7992409867172676,0.8912280701754386,0.2619047619047619,0.09883720930232558,0.6470588235294118,0.16923076923076924,3.2552036199095027,0.17624460430006747,0.3545356823611828
ukzn_ISTN212_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,238,0.7190135895032802,0.8967136150234741,0.12,0.3120567375886525,0.3409090909090909,0.3125,1.690340909090909,0.13836174457238792,0.032850702703819706
ukzn_ISTN212_2018,UKZN,P_out_other_institutions,47,raw,gradient_boosting,238,0.7125117150890347,0.8142076502732241,0.38181818181818183,0.3120567375886525,0.38636363636363635,0.3541666666666667,1.915719696969697,0.20832620790050121,0.26377417067141695
ukzn_ISTN212_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,264,0.7850707850707851,0.9135802469135802,0.0,0.2745098039215686,0.4523809523809524,0.3584905660377358,2.2533692722371965,0.11763347999698541,0.03280242796890903
ukzn_ISTN212_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,264,0.6705276705276705,0.8068459657701712,0.33613445378151263,0.2745098039215686,0.35714285714285715,0.2830188679245283,1.778975741239892,0.21033375827928352,0.28997056528405296
ukzn_ISTN2IP_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,99,0.7194594594594594,0.8284023668639053,0.0,0.40322580645161293,0.24,0.3,1.188,0.17621278043083824,-0.014463090772073778
ukzn_ISTN2IP_2018,UKZN,P_out_other_institutions,47,raw,gradient_boosting,99,0.6805405405405405,0.5964912280701754,0.4523809523809524,0.40322580645161293,0.4,0.5,1.98,0.2564895184735583,0.2718893176354434
ukzn_ISTN2IP_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,116,0.6881087662337663,0.8627450980392157,0.0,0.3888888888888889,0.35714285714285715,0.43478260869565216,1.8012422360248446,0.17886949485529743,-0.10567088078391054
ukzn_ISTN2IP_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,116,0.6448863636363636,0.8844221105527639,0.30303030303030304,0.3888888888888889,0.35714285714285715,0.43478260869565216,1.8012422360248446,0.18506415232658552,0.13314681805186487
ukzn_ISTN3ND_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,144,0.5751159507965314,0.7532467532467533,0.0,0.5671641791044776,0.24561403508771928,0.4827586206896552,1.2196007259528132,0.2673344246481121,-0.17525532716614964
ukzn_ISTN3ND_2018,UKZN,P_out_other_institutions,47,raw,gradient_boosting,144,0.47943133696309737,0.5714285714285714,0.336283185840708,0.5671641791044776,0.19298245614035087,0.3793103448275862,0.9582577132486388,0.26033130157143336,0.08537600676284918
ukzn_ISTN3ND_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,223,0.3312595226003047,0.4296875,0.23157894736842105,0.32958801498127344,0.022727272727272728,0.022222222222222223,0.11262626262626264,0.42398399396895475,0.3896192664941984
ukzn_ISTN3ND_2019,UKZN,P_out_other_institutions,47,raw,gradient_boosting,223,0.5969400711020822,0.8951406649616368,0.2545454545454545,0.32958801498127344,0.2727272727272727,0.26666666666666666,1.3515151515151516,0.16653929636236703,0.10698359933712767
ukzn_ISTN3SA_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,141,0.6165165165165165,0.8809523809523809,0.0,0.3508771929824561,0.3333333333333333,0.35714285714285715,1.6785714285714286,0.17004915261600667,-0.08621513467284539
ukzn_ISTN3SA_2018,UKZN,P_out_other_institutions,47,raw,gradient_boosting,141,0.5518018018018018,0.8403361344537815,0.13636363636363635,0.3508771929824561,0.2,0.21428571428571427,1.0071428571428571,0.20765134248069517,0.19992358999807616
ukzn_ISTN3SA_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,195,0.5630588235294118,0.9315068493150684,0.0,0.22727272727272727,0.32,0.20512820512820512,1.6,0.11439409004182295,-0.008668253766069015
