distance,representation,model,n_pairs,auc_mean,auc_ci_low,auc_ci_high,f1_mean,tau_mean,jaccard_top3_mean
D0_within_cohort,percentile,gradient_boosting,30,0.7414705239887542,0.6976701721032866,0.7824260433709271,0.8202499870920097,1.0,1.0
D0_within_cohort,raw,gradient_boosting,30,0.7389601513929993,0.6950668022567754,0.7814167206764425,0.8195075525408339,1.0,1.0
D0_within_cohort,zscore,gradient_boosting,30,0.7392412641297919,0.6975435695129484,0.7805178345153746,0.8194660140562976,1.0,1.0
D1_same_module,percentile,gradient_boosting,54,0.7753980638004644,0.7408619265597474,0.8066592070452905,0.7984291130359537,0.16049382716049385,0.39999999999999997
D1_same_module,raw,gradient_boosting,54,0.781049306117049,0.7491608416035365,0.8089164527829363,0.7652488392599486,0.20105820105820105,0.45370370370370366
D1_same_module,zscore,gradient_boosting,54,0.7704818868244279,0.7375106600854111,0.7997975585210018,0.7934877486664464,0.17107583774250443,0.41851851851851846
D2_other_module,percentile,gradient_boosting,320,0.6967683495456318,0.6843858766408736,0.7094309392355184,0.8270701503273912,0.17142857142857143,0.43843750000000004
D2_other_module,raw,gradient_boosting,320,0.6785833683507196,0.6653130073319067,0.6915602318463846,0.7587694727458828,0.14226190476190478,0.41968750000000005
D2_other_module,zscore,gradient_boosting,320,0.6965819807482083,0.6841931640073049,0.7091253120528501,0.8248344312674798,0.18452380952380953,0.4325
D3_other_institution,percentile,gradient_boosting,496,0.665990201893511,0.6575894244285487,0.6742452900557769,0.6487710245823843,-0.03667434715821812,0.27116935483870974
D3_other_institution,raw,gradient_boosting,496,0.6428586293846836,0.6326670606761855,0.6531641502631687,0.5166102030919473,-0.010368663594470051,0.2955645161290323
D3_other_institution,zscore,gradient_boosting,496,0.6547237284947618,0.6462017612086283,0.6626753297137062,0.6075347824734496,-0.019585253456221197,0.2899193548387097
D0_within_cohort,percentile,logistic_regression,30,0.7686485062262112,0.733831920643069,0.8008201769289975,0.8341810127880467,1.0,1.0
D0_within_cohort,raw,logistic_regression,30,0.7697695813268187,0.7342469315357291,0.8073335141595657,0.8375326672228021,1.0,1.0
D0_within_cohort,zscore,logistic_regression,30,0.7697695813268187,0.7334907864953731,0.8023136008871272,0.8375326672228021,1.0,1.0
D1_same_module,percentile,logistic_regression,54,0.798543896669513,0.7714952404627416,0.8257941889213767,0.808788932954427,0.39858906525573196,0.6166666666666667
D1_same_module,raw,logistic_regression,54,0.7927767989703199,0.7597186309809296,0.8232743044691615,0.7744286360102186,0.44268077601410943,0.5907407407407407
D1_same_module,zscore,logistic_regression,54,0.8020720622743338,0.7739090510958414,0.8275041773186579,0.8179294414197602,0.4497354497354498,0.5944444444444443
D2_other_module,percentile,logistic_regression,320,0.7283102323368759,0.7169259623440644,0.7396948877843794,0.8437375529268969,0.18720238095238098,0.4340625
D2_other_module,raw,logistic_regression,320,0.701330595771681,0.6838308091965198,0.7182064690566062,0.7669354579418476,0.3151785714285714,0.4759375
D2_other_module,zscore,logistic_regression,320,0.7356862668314099,0.7250859666031197,0.7458219204983466,0.8487799215237045,0.3175595238095238,0.48687500000000006
D3_other_institution,percentile,logistic_regression,496,0.7041505838454449,0.6916546878779263,0.7150709943821133,0.6295112335490277,-0.04339477726574501,0.3080645161290323
D3_other_institution,raw,logistic_regression,496,0.6326682539088775,0.6183328271676801,0.6470240751995875,0.49851398992385715,0.04953917050691244,0.32258064516129037
D3_other_institution,zscore,logistic_regression,496,0.729403017449532,0.7219664221899226,0.7375601756114148,0.6270929186524064,0.07507680491551459,0.35584677419354843
