cohort_id,institution,module,n_students,n_failed,pass_rate,mean_cum_clicks
oulad_BBB_2013B,OULAD,BBB,1767,964,0.45444255800792305,425.30956423316354
oulad_BBB_2013J,OULAD,BBB,2237,1165,0.47921323200715243,309.6727760393384
oulad_BBB_2014B,OULAD,BBB,1613,886,0.45071295722256666,267.85120892746437
oulad_BBB_2014J,OULAD,BBB,2292,1140,0.5026178010471204,290.30322862129145
oulad_DDD_2013B,OULAD,DDD,1303,793,0.3914044512663085,600.8388334612433
oulad_DDD_2013J,OULAD,DDD,1938,1109,0.4277605779153767,464.8735810113519
oulad_DDD_2014B,OULAD,DDD,1228,749,0.39006514657980457,446.5138436482085
oulad_DDD_2014J,OULAD,DDD,1803,1011,0.43926788685524126,430.7753743760399
oulad_FFF_2013B,OULAD,FFF,1614,832,0.48451053283767037,1214.310408921933
oulad_FFF_2013J,OULAD,FFF,2283,1188,0.47963206307490147,1055.3718791064389
oulad_FFF_2014B,OULAD,FFF,1500,846,0.436,938.8346666666666
oulad_FFF_2014J,OULAD,FFF,2365,1248,0.4723044397463002,985.8228329809725
ku_Accountancy_1819,KU Leuven,Accountancy,756,225,0.7023809523809523,141.57539682539684
ku_Globaleconom_1819,KU Leuven,Globaleconom,743,325,0.5625841184387618,69.20053835800807
ukzn_ISTN101_2019,UKZN,ISTN101,1056,184,0.8257575757575758,186.2035984848485
ukzn_ISTN101_2020,UKZN,ISTN101,978,49,0.9498977505112475,212.96830265848672
ukzn_ISTN101_2021,UKZN,ISTN101,741,63,0.9149797570850202,532.8717948717949
ukzn_ISTN102_2018,UKZN,ISTN102,257,68,0.7354085603112841,61.552529182879375
ukzn_ISTN103_2019,UKZN,ISTN103,1113,300,0.7304582210242587,64.01527403414195
ukzn_ISTN103_2020,UKZN,ISTN103,1082,115,0.8937153419593346,86.97227356746765
ukzn_ISTN211_2019,UKZN,ISTN211,280,19,0.9321428571428572,167.55
ukzn_ISTN211_2021,UKZN,ISTN211,327,17,0.9480122324159022,122.78593272171254
ukzn_ISTN212_2018,UKZN,ISTN212,238,44,0.8151260504201681,76.31932773109244
ukzn_ISTN212_2019,UKZN,ISTN212,264,42,0.8409090909090909,78.79924242424242
ukzn_ISTN2IP_2018,UKZN,ISTN2IP,99,25,0.7474747474747475,70.64646464646465
ukzn_ISTN2IP_2019,UKZN,ISTN2IP,116,28,0.7586206896551724,125.75862068965517
ukzn_ISTN3ND_2018,UKZN,ISTN3ND,144,57,0.6041666666666666,55.520833333333336
ukzn_ISTN3ND_2019,UKZN,ISTN3ND,223,44,0.8026905829596412,162.65470852017938
ukzn_ISTN3SA_2018,UKZN,ISTN3SA,141,30,0.7872340425531915,145.8581560283688
ukzn_ISTN3SA_2019,UKZN,ISTN3SA,195,25,0.8717948717948718,168.8
