target,target_institution,k,seed,auc,f1_at_0.5
oulad_BBB_2013B,OULAD,0,0,0.7901806245252501,0.6249027237354086
oulad_BBB_2013B,OULAD,25,0,0.7925086508180224,0.6297770700636943
oulad_BBB_2013B,OULAD,50,0,0.7969110526589499,0.6851851851851852
oulad_BBB_2013B,OULAD,100,0,0.8350259005639147,0.7090994813767091
oulad_BBB_2013B,OULAD,0,1,0.7901806245252501,0.6249027237354086
oulad_BBB_2013B,OULAD,25,1,0.765168793195109,0.6212664277180406
oulad_BBB_2013B,OULAD,50,1,0.8116778587742932,0.6263516219463356
oulad_BBB_2013B,OULAD,100,1,0.8143455908790407,0.6829944547134935
oulad_BBB_2013B,OULAD,0,2,0.7901806245252501,0.6249027237354086
oulad_BBB_2013B,OULAD,25,2,0.8085733040819498,0.6854419410745234
oulad_BBB_2013B,OULAD,50,2,0.7991652448760855,0.6865934065934066
oulad_BBB_2013B,OULAD,100,2,0.8218023720005225,0.6870437956204379
oulad_BBB_2013B,OULAD,0,3,0.7901651224919001,0.6249027237354086
oulad_BBB_2013B,OULAD,25,3,0.7659825102949013,0.6256410256410256
oulad_BBB_2013B,OULAD,50,3,0.7702336073764411,0.6236472945891783
oulad_BBB_2013B,OULAD,100,3,0.8336532550829863,0.7050092764378478
oulad_BBB_2013B,OULAD,0,4,0.7901806245252501,0.6249027237354086
oulad_BBB_2013B,OULAD,25,4,0.7990008130599752,0.6261829652996845
oulad_BBB_2013B,OULAD,50,4,0.8393106539522196,0.6889279437609842
oulad_BBB_2013B,OULAD,100,4,0.830728758568253,0.7084314649081489
oulad_BBB_2013J,OULAD,0,0,0.8232952725642175,0.6479298881837413
oulad_BBB_2013J,OULAD,25,0,0.83953687435239,0.6466809421841542
oulad_BBB_2013J,OULAD,50,0,0.827631997855192,0.7249213561691716
oulad_BBB_2013J,OULAD,100,0,0.8435767106075922,0.7518853695324283
oulad_BBB_2013J,OULAD,0,1,0.8232952725642175,0.6479298881837413
oulad_BBB_2013J,OULAD,25,1,0.8367775600934368,0.6451612903225806
oulad_BBB_2013J,OULAD,50,1,0.8117673372079193,0.7223985890652558
oulad_BBB_2013J,OULAD,100,1,0.8246695088467241,0.779633401221996
oulad_BBB_2013J,OULAD,0,2,0.8232952725642175,0.6479298881837413
oulad_BBB_2013J,OULAD,25,2,0.8365725943779307,0.6499541424640782
oulad_BBB_2013J,OULAD,50,2,0.8415144105973573,0.7753731343283582
oulad_BBB_2013J,OULAD,100,2,0.826196928635953,0.7893903404592241
oulad_BBB_2013J,OULAD,0,3,0.8231695599256935,0.6479298881837413
oulad_BBB_2013J,OULAD,25,3,0.8453976142815488,0.6466625842008573
oulad_BBB_2013J,OULAD,50,3,0.8448801313904089,0.7271453590192645
oulad_BBB_2013J,OULAD,100,3,0.8462541994460417,0.7505567928730512
oulad_BBB_2013J,OULAD,0,4,0.8232952725642175,0.6479298881837413
oulad_BBB_2013J,OULAD,25,4,0.8292922467000046,0.6466809421841542
oulad_BBB_2013J,OULAD,50,4,0.8323870205599961,0.7270185249912618
oulad_BBB_2013J,OULAD,100,4,0.8309194595543078,0.7277280858676207
oulad_BBB_2014B,OULAD,0,0,0.8193106274898233,0.6213675213675214
oulad_BBB_2014B,OULAD,25,0,0.7570062113789902,0.6032171581769437
oulad_BBB_2014B,OULAD,50,0,0.8300845327547888,0.7415730337078652
oulad_BBB_2014B,OULAD,100,0,0.8352517477579268,0.7492925863044708
oulad_BBB_2014B,OULAD,0,1,0.8193106274898233,0.6213675213675214
oulad_BBB_2014B,OULAD,25,1,0.7747482757792036,0.7193158953722334
oulad_BBB_2014B,OULAD,50,1,0.8264507248247087,0.736118455843469
oulad_BBB_2014B,OULAD,100,1,0.8459932367559019,0.7598152424942263
oulad_BBB_2014B,OULAD,0,2,0.8193106274898233,0.6213675213675214
oulad_BBB_2014B,OULAD,25,2,0.8362957323181728,0.7183879093198993
oulad_BBB_2014B,OULAD,50,2,0.842341112666316,0.7345225603357818
oulad_BBB_2014B,OULAD,100,2,0.8546075989613693,0.7761542957334892
oulad_BBB_2014B,OULAD,0,3,0.8191398523882121,0.6213675213675214
oulad_BBB_2014B,OULAD,25,3,0.8359223829285976,0.7218875502008032
oulad_BBB_2014B,OULAD,50,3,0.8387571132441675,0.7455156950672646
oulad_BBB_2014B,OULAD,100,3,0.8495001636212011,0.7787151200519143
oulad_BBB_2014B,OULAD,0,4,0.8193106274898233,0.6213675213675214
oulad_BBB_2014B,OULAD,25,4,0.8438360178508808,0.7210473313192346
oulad_BBB_2014B,OULAD,50,4,0.8435482590750345,0.7443650357339198
oulad_BBB_2014B,OULAD,100,4,0.844133535767248,0.7638804148871263
oulad_BBB_2014J,OULAD,0,0,0.8106473866959064,0.6689895470383276
oulad_BBB_2014J,OULAD,25,0,0.795008390306472,0.6676461945342345
oulad_BBB_2014J,OULAD,50,0,0.8344642582885644,0.6666666666666666
oulad_BBB_2014J,OULAD,100,0,0.8422715454911001,0.7771679473106476
oulad_BBB_2014J,OULAD,0,1,0.8106473866959064,0.6689895470383276
oulad_BBB_2014J,OULAD,25,1,0.8426215357504792,0.777818314483765
oulad_BBB_2014J,OULAD,50,1,0.837337110707024,0.7739520958083832
oulad_BBB_2014J,OULAD,100,1,0.8454162504162505,0.7712519319938176
oulad_BBB_2014J,OULAD,0,2,0.8106473866959064,0.6689895470383276
oulad_BBB_2014J,OULAD,25,2,0.8438931178878875,0.6692104490754329
oulad_BBB_2014J,OULAD,50,2,0.8395068507540725,0.777171937477281
oulad_BBB_2014J,OULAD,100,2,0.8486684199615875,0.7822794396062097
oulad_BBB_2014J,OULAD,0,3,0.8105560124269008,0.6689895470383276
oulad_BBB_2014J,OULAD,25,3,0.8105244599567841,0.7343060739735324
oulad_BBB_2014J,OULAD,50,3,0.8348685257695859,0.7776141384388807
oulad_BBB_2014J,OULAD,100,3,0.8440062940468808,0.78515625
oulad_BBB_2014J,OULAD,0,4,0.8106473866959064,0.6689895470383276
oulad_BBB_2014J,OULAD,25,4,0.8453309785595199,0.7498349834983499
oulad_BBB_2014J,OULAD,50,4,0.8425003004193138,0.775524981897176
oulad_BBB_2014J,OULAD,100,4,0.8420660876283852,0.7758689572512985
oulad_DDD_2013B,OULAD,0,0,0.756088816358826,0.5626034197462769
oulad_DDD_2013B,OULAD,25,0,0.7819842939603419,0.6302083333333334
oulad_DDD_2013B,OULAD,50,0,0.820389036676175,0.715261958997722
oulad_DDD_2013B,OULAD,100,0,0.8314736872659719,0.7229299363057324
oulad_DDD_2013B,OULAD,0,1,0.756088816358826,0.5626034197462769
oulad_DDD_2013B,OULAD,25,1,0.6417820984104818,0.5873697118332312
oulad_DDD_2013B,OULAD,50,1,0.8170158535283442,0.7065217391304348
oulad_DDD_2013B,OULAD,100,1,0.8009205172622165,0.6786678667866787
oulad_DDD_2013B,OULAD,0,2,0.756088816358826,0.5626034197462769
oulad_DDD_2013B,OULAD,25,2,0.8243931490532714,0.69901547116737
oulad_DDD_2013B,OULAD,50,2,0.7689027970534856,0.7147102526002972
oulad_DDD_2013B,OULAD,100,2,0.8349655328089458,0.7285828662930345
oulad_DDD_2013B,OULAD,0,3,0.756088816358826,0.5626034197462769
oulad_DDD_2013B,OULAD,25,3,0.7852685876637973,0.6296529968454259
oulad_DDD_2013B,OULAD,50,3,0.8161694929793428,0.6909350463954318
oulad_DDD_2013B,OULAD,100,3,0.830228505260218,0.7207953603976802
oulad_DDD_2013B,OULAD,0,4,0.756088816358826,0.5626034197462769
oulad_DDD_2013B,OULAD,25,4,0.8005805272371538,0.5981873111782477
oulad_DDD_2013B,OULAD,50,4,0.823230777491409,0.6815884476534296
oulad_DDD_2013B,OULAD,100,4,0.8172847324297159,0.7172523961661342
oulad_DDD_2013J,OULAD,0,0,0.8286761130828912,0.5992049150704735
oulad_DDD_2013J,OULAD,25,0,0.6097183368803344,0.5988990825688073
oulad_DDD_2013J,OULAD,50,0,0.7674768518518519,0.6373365041617123
oulad_DDD_2013J,OULAD,100,0,0.8492931932422378,0.7447739426349052
oulad_DDD_2013J,OULAD,0,1,0.828615201210406,0.5992049150704735
oulad_DDD_2013J,OULAD,25,1,0.7597780781041968,0.6375681995323461
oulad_DDD_2013J,OULAD,50,1,0.8251282204027672,0.6374060893633847
oulad_DDD_2013J,OULAD,100,1,0.8284228518454141,0.7469527059970746
oulad_DDD_2013J,OULAD,0,2,0.828589096122198,0.5992049150704735
oulad_DDD_2013J,OULAD,25,2,0.6262552102540034,0.5975073313782991
oulad_DDD_2013J,OULAD,50,2,0.8225820498716537,0.6393638170974155
oulad_DDD_2013J,OULAD,100,2,0.8317161542036169,0.7327298713673178
oulad_DDD_2013J,OULAD,0,3,0.8284237638968807,0.5992049150704735
oulad_DDD_2013J,OULAD,25,3,0.6786889729934912,0.5990479677773709
