source,target,source_institution,target_institution,distance,representation,model,n_target,auc,f1_at_0.5,explanation_tau,explanation_jaccard_top3
oulad_BBB_2013B,oulad_BBB_2013B,OULAD,OULAD,D0_within_cohort,raw,gradient_boosting,1767,0.8596516951473467,0.7575938058368076,1.0,1.0
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,2237,0.8559953718531804,0.69676048858205,-0.04761904761904762,0.2
oulad_BBB_2013B,oulad_BBB_2014B,OULAD,OULAD,D1_same_module,raw,gradient_boosting,1613,0.8550623950121251,0.6722817764165391,0.33333333333333337,0.2
oulad_BBB_2013B,oulad_BBB_2014J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,2292,0.8406371832358674,0.5523590333716916,0.14285714285714288,0.2
oulad_BBB_2013B,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1303,0.8046040105827956,0.712241653418124,-0.23809523809523814,0.2
oulad_BBB_2013B,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1938,0.8297175973311899,0.7498660953401178,-0.33333333333333337,0.2
oulad_BBB_2013B,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1228,0.8235113763375524,0.6713852376137512,0.5238095238095238,0.2
oulad_BBB_2013B,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1803,0.8375651919791385,0.7018229166666666,0.23809523809523814,0.2
oulad_BBB_2013B,oulad_FFF_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1614,0.7390758717784773,0.5540540540540541,-0.23809523809523814,0.5
oulad_BBB_2013B,oulad_FFF_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2283,0.7991605553249389,0.5379710144927536,0.04761904761904762,0.5
oulad_BBB_2013B,oulad_FFF_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1500,0.7695234273899119,0.5514184397163121,-0.33333333333333337,0.2
oulad_BBB_2013B,oulad_FFF_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2365,0.8277778016895072,0.5727221279003961,0.14285714285714288,0.2
oulad_BBB_2013B,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,756,0.5651684452814396,0.4581151832460733,0.5238095238095238,0.5
oulad_BBB_2013B,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,743,0.563018034596982,0.21095334685598377,-0.33333333333333337,0.2
oulad_BBB_2013B,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1056,0.573684308934982,0.424978317432784,0.14285714285714288,0.2
oulad_BBB_2013B,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,978,0.6501065442323323,0.2838709677419355,-0.5238095238095238,0.0
oulad_BBB_2013B,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,741,0.6873273399822073,0.8325123152709359,-0.23809523809523814,0.2
oulad_BBB_2013B,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,257,0.5911920323685032,0.12440191387559808,-0.4285714285714286,0.0
oulad_BBB_2013B,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1113,0.5304961049610497,0.1646273637374861,-0.14285714285714288,0.2
oulad_BBB_2013B,ukzn_ISTN103_2020,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1082,0.5782923429701902,0.2751322751322751,-0.33333333333333337,0.2
oulad_BBB_2013B,ukzn_ISTN211_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,280,0.6301673724541238,0.6941747572815534,0.04761904761904762,0.5
oulad_BBB_2013B,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,327,0.7409867172675522,0.5386416861826698,-0.4285714285714286,0.0
oulad_BBB_2013B,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,238,0.6710402999062792,0.4728682170542636,0.5238095238095238,1.0
oulad_BBB_2013B,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,264,0.6063921063921064,0.2548262548262548,-0.33333333333333337,0.2
oulad_BBB_2013B,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,99,0.6067567567567567,0.2558139534883721,-0.4285714285714286,0.2
oulad_BBB_2013B,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,116,0.601663961038961,0.6878980891719745,0.33333333333333337,0.5
oulad_BBB_2013B,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,144,0.40976003226456953,0.17475728155339806,-0.7142857142857143,0.0
oulad_BBB_2013B,ukzn_ISTN3ND_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,223,0.5365033011681056,0.7621951219512195,0.33333333333333337,1.0
oulad_BBB_2013B,ukzn_ISTN3SA_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,141,0.5987987987987988,0.6022727272727273,-0.23809523809523814,0.0
oulad_BBB_2013B,ukzn_ISTN3SA_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,195,0.49588235294117644,0.48333333333333334,-0.04761904761904762,0.2
oulad_BBB_2013J,oulad_BBB_2013B,OULAD,OULAD,D1_same_module,raw,gradient_boosting,1767,0.8435560631036104,0.7802874743326489,-0.04761904761904762,0.2
oulad_BBB_2013J,oulad_BBB_2013J,OULAD,OULAD,D0_within_cohort,raw,gradient_boosting,2237,0.8597867689449746,0.7783207463349623,1.0,1.0
oulad_BBB_2013J,oulad_BBB_2014B,OULAD,OULAD,D1_same_module,raw,gradient_boosting,1613,0.8602322230881727,0.7622641509433963,0.23809523809523814,0.5
oulad_BBB_2013J,oulad_BBB_2014J,OULAD,OULAD,D1_same_module,raw,gradient_boosting,2292,0.843969678971735,0.7040229885057471,0.04761904761904762,0.5
oulad_BBB_2013J,oulad_DDD_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1303,0.7579185520361991,0.675226586102719,-0.14285714285714288,0.2
oulad_BBB_2013J,oulad_DDD_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1938,0.8106782863314846,0.7415617128463476,0.14285714285714288,0.2
oulad_BBB_2013J,oulad_DDD_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1228,0.8293744477675176,0.726962457337884,0.23809523809523814,0.5
oulad_BBB_2013J,oulad_DDD_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1803,0.8277083395777758,0.7392035894559731,0.04761904761904762,0.2
oulad_BBB_2013J,oulad_FFF_2013B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1614,0.7468353457603778,0.7394002068252327,-0.14285714285714288,0.2
oulad_BBB_2013J,oulad_FFF_2013J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2283,0.8419799209753548,0.7887323943661971,0.23809523809523814,0.5
oulad_BBB_2013J,oulad_FFF_2014B,OULAD,OULAD,D2_other_module,raw,gradient_boosting,1500,0.7938039054084339,0.7465667915106118,-0.14285714285714288,0.2
oulad_BBB_2013J,oulad_FFF_2014J,OULAD,OULAD,D2_other_module,raw,gradient_boosting,2365,0.8619771939489934,0.8048387096774193,0.7142857142857143,0.5
oulad_BBB_2013J,ku_Accountancy_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,756,0.45876543209876547,0.4810744810744811,-0.23809523809523814,0.2
oulad_BBB_2013J,ku_Globaleconom_1819,OULAD,KU Leuven,D3_other_institution,raw,gradient_boosting,743,0.5825579683474421,0.5806451612903226,0.23809523809523814,0.5
oulad_BBB_2013J,ukzn_ISTN101_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1056,0.5658375299162346,0.7567567567567568,-0.04761904761904762,0.2
oulad_BBB_2013J,ukzn_ISTN101_2020,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,978,0.6036993914896421,0.45507007419620776,-0.23809523809523814,0.0
oulad_BBB_2013J,ukzn_ISTN101_2021,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,741,0.4711569977056703,0.5354166666666667,-0.23809523809523814,0.2
oulad_BBB_2013J,ukzn_ISTN102_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,257,0.5684718331777155,0.6206896551724138,0.33333333333333337,0.2
oulad_BBB_2013J,ukzn_ISTN103_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1113,0.46125051250512505,0.5506807866868382,-0.04761904761904762,0.2
oulad_BBB_2013J,ukzn_ISTN103_2020,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,1082,0.44942223820871363,0.6601941747572816,-0.23809523809523814,0.2
oulad_BBB_2013J,ukzn_ISTN211_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,280,0.7194998991732203,0.8778467908902692,0.23809523809523814,0.5
oulad_BBB_2013J,ukzn_ISTN211_2021,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,327,0.47201138519924096,0.6762886597938145,-0.23809523809523814,0.2
oulad_BBB_2013J,ukzn_ISTN212_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,238,0.5763238050609185,0.7435158501440923,0.14285714285714288,0.5
oulad_BBB_2013J,ukzn_ISTN212_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,264,0.5068103818103818,0.6864864864864865,0.23809523809523814,0.2
oulad_BBB_2013J,ukzn_ISTN2IP_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,99,0.5008108108108108,0.47706422018348627,0.23809523809523814,0.5
oulad_BBB_2013J,ukzn_ISTN2IP_2019,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,116,0.5482954545454546,0.7337278106508875,0.14285714285714288,0.5
oulad_BBB_2013J,ukzn_ISTN3ND_2018,OULAD,UKZN,D3_other_institution,raw,gradient_boosting,144,0.4235733010687639,0.5411764705882353,-0.14285714285714288,0.2
