target,target_institution,pool,n_source_cohorts,representation,model,n_target,auc,f1_at_0.5
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1767,0.8645658397193099,0.7846410684474123
oulad_BBB_2013B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1767,0.7745862248931652,0.6603305785123967
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,2237,0.869406988661841,0.7420172326406488
oulad_BBB_2013J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,2237,0.7273797322400872,0.671090047393365
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1613,0.8696248536767879,0.7001499250374813
oulad_BBB_2014B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1613,0.8284121641552377,0.7601905770248809
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,2292,0.8677677266081871,0.596056338028169
oulad_BBB_2014J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,2292,0.7069360684697855,0.6851232126559172
oulad_DDD_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1303,0.8386605840318473,0.7311355311355311
oulad_DDD_2013B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1303,0.7833827856489379,0.599647266313933
oulad_DDD_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1938,0.8646837314177999,0.7766323024054983
oulad_DDD_2013J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1938,0.796123611943513,0.6233962264150943
oulad_DDD_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1228,0.8635020667779727,0.7624209575429087
oulad_DDD_2014B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1228,0.794658709873429,0.6025316455696202
oulad_DDD_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1803,0.8528753159687879,0.7584204413472706
oulad_DDD_2014J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1803,0.7843100890207716,0.6260454002389486
oulad_FFF_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1614,0.8457788215620696,0.778809393773894
oulad_FFF_2013B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1614,0.7488288166437143,0.6726881720430108
oulad_FFF_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,2283,0.8774087911074211,0.8044311887515978
oulad_FFF_2013J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,2283,0.7743519671601864,0.6624242424242425
oulad_FFF_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,1500,0.871477396779954,0.7799074686054197
oulad_FFF_2014B,OULAD,P_out_other_institutions,18,raw,gradient_boosting,1500,0.7807057496692476,0.631937682570594
oulad_FFF_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,gradient_boosting,2365,0.9004261787526112,0.8224219084296106
oulad_FFF_2014J,OULAD,P_out_other_institutions,18,raw,gradient_boosting,2365,0.8081897912219085,0.657631113730112
ku_Accountancy_1819,KU Leuven,P_in_leave_one_cohort_out,1,raw,gradient_boosting,756,0.5379451768152332,0.7166979362101313
ku_Accountancy_1819,KU Leuven,P_out_other_institutions,28,raw,gradient_boosting,756,0.5543921322452395,0.8253719655442443
ku_Globaleconom_1819,KU Leuven,P_in_leave_one_cohort_out,1,raw,gradient_boosting,743,0.5825101214574899,0.6307339449541285
ku_Globaleconom_1819,KU Leuven,P_out_other_institutions,28,raw,gradient_boosting,743,0.5926021347073979,0.7177700348432056
ukzn_ISTN101_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1056,0.6479388960909453,0.905974025974026
ukzn_ISTN101_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,1056,0.6054671918627842,0.8811881188118812
ukzn_ISTN101_2020,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,978,0.687045539421366,0.801762114537445
ukzn_ISTN101_2020,UKZN,P_out_other_institutions,14,raw,gradient_boosting,978,0.7001493816040948,0.5744843391902216
ukzn_ISTN101_2021,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,741,0.7000046823055673,0.9541284403669725
ukzn_ISTN101_2021,UKZN,P_out_other_institutions,14,raw,gradient_boosting,741,0.738926347333427,0.9538904899135446
ukzn_ISTN102_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,257,0.6245331465919701,0.8449438202247191
ukzn_ISTN102_2018,UKZN,P_out_other_institutions,14,raw,gradient_boosting,257,0.6434407096171801,0.6520376175548589
ukzn_ISTN103_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1113,0.6209778597785978,0.8442367601246106
ukzn_ISTN103_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,1113,0.6381672816728167,0.6642228739002932
ukzn_ISTN103_2020,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,1082,0.6459062092531811,0.9400196656833825
ukzn_ISTN103_2020,UKZN,P_out_other_institutions,14,raw,gradient_boosting,1082,0.635263702171665,0.6237006237006237
ukzn_ISTN211_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,280,0.7122403710425489,0.9629629629629629
ukzn_ISTN211_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,280,0.6516434765073603,0.9568480300187617
ukzn_ISTN211_2021,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,327,0.7588235294117648,0.9667194928684627
ukzn_ISTN211_2021,UKZN,P_out_other_institutions,14,raw,gradient_boosting,327,0.8314990512333966,0.8513761467889909
ukzn_ISTN212_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,238,0.7190135895032802,0.8967136150234741
ukzn_ISTN212_2018,UKZN,P_out_other_institutions,14,raw,gradient_boosting,238,0.7216494845360825,0.7655786350148368
ukzn_ISTN212_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,264,0.7850707850707851,0.9135802469135802
ukzn_ISTN212_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,264,0.6857571857571858,0.7763496143958869
ukzn_ISTN2IP_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,99,0.7194594594594594,0.8284023668639053
ukzn_ISTN2IP_2018,UKZN,P_out_other_institutions,14,raw,gradient_boosting,99,0.6697297297297298,0.5945945945945946
ukzn_ISTN2IP_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,116,0.6881087662337663,0.8627450980392157
ukzn_ISTN2IP_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,116,0.7372159090909091,0.8775510204081632
ukzn_ISTN3ND_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,144,0.5751159507965314,0.7532467532467533
ukzn_ISTN3ND_2018,UKZN,P_out_other_institutions,14,raw,gradient_boosting,144,0.49193385763258723,0.593939393939394
ukzn_ISTN3ND_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,223,0.3312595226003047,0.4296875
ukzn_ISTN3ND_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,223,0.625126968004063,0.8516483516483516
ukzn_ISTN3SA_2018,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,141,0.6165165165165165,0.8809523809523809
ukzn_ISTN3SA_2018,UKZN,P_out_other_institutions,14,raw,gradient_boosting,141,0.6322822822822823,0.8138528138528138
ukzn_ISTN3SA_2019,UKZN,P_in_leave_one_cohort_out,15,raw,gradient_boosting,195,0.5630588235294118,0.9315068493150684
ukzn_ISTN3SA_2019,UKZN,P_out_other_institutions,14,raw,gradient_boosting,195,0.5931764705882353,0.8761329305135952
oulad_BBB_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1767,0.8617541584204463,0.7808450704225353
oulad_BBB_2013B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1767,0.5234545764586122,0.5783333333333334
oulad_BBB_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,2237,0.866321023637179,0.7364185110663984
oulad_BBB_2013J,OULAD,P_out_other_institutions,18,raw,logistic_regression,2237,0.5132630837230159,0.609159347553325
oulad_BBB_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1613,0.8672821297828672,0.7302964569775849
oulad_BBB_2014B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1613,0.524649833416651,0.5802413947250782
oulad_BBB_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,2292,0.8671124969541911,0.7381288199341796
oulad_BBB_2014J,OULAD,P_out_other_institutions,18,raw,logistic_regression,2292,0.5829164382309941,0.6586580720773513
oulad_DDD_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1303,0.8418589125435799,0.7147912243453645
oulad_DDD_2013B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1303,0.6602823727221028,0.5472972972972973
oulad_DDD_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1938,0.8634932306243142,0.7759615384615385
oulad_DDD_2013J,OULAD,P_out_other_institutions,18,raw,logistic_regression,1938,0.6660256417228924,0.5930783242258653
oulad_DDD_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1228,0.8690362376000289,0.7636669470142977
oulad_DDD_2014B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1228,0.6788815149496474,0.557919621749409
oulad_DDD_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1803,0.8573844278592053,0.7693989071038252
oulad_DDD_2014J,OULAD,P_out_other_institutions,18,raw,logistic_regression,1803,0.6432512563818202,0.580183048149622
oulad_FFF_2013B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1614,0.8413722826086957,0.7689922480620155
oulad_FFF_2013B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1614,0.632229982293921,0.6164021164021164
oulad_FFF_2013J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,2283,0.8785011453961227,0.8068181818181818
oulad_FFF_2013J,OULAD,P_out_other_institutions,18,raw,logistic_regression,2283,0.6480958750365143,0.6114374034003092
oulad_FFF_2014B,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,1500,0.872040398782542,0.7662740235585865
oulad_FFF_2014B,OULAD,P_out_other_institutions,18,raw,logistic_regression,1500,0.6762277600653552,0.5809842331581462
oulad_FFF_2014J,OULAD,P_in_leave_one_cohort_out,11,raw,logistic_regression,2365,0.901519423019535,0.8311367380560132
oulad_FFF_2014J,OULAD,P_out_other_institutions,18,raw,logistic_regression,2365,0.7013201426669421,0.6141545750666272
ku_Accountancy_1819,KU Leuven,P_in_leave_one_cohort_out,1,raw,logistic_regression,756,0.6522661644695543,0.8156606851549756
