feature_set,n_features,source,target,distance,model,auc
S_shared7,7,oulad_BBB_2013B,oulad_BBB_2013B,D0_within_cohort,gradient_boosting,0.8596516951473467
S_shared7,7,oulad_BBB_2013B,oulad_BBB_2013J,D1_same_module,gradient_boosting,0.8559953718531804
S_shared7,7,oulad_BBB_2013B,oulad_BBB_2014B,D1_same_module,gradient_boosting,0.8550623950121251
S_shared7,7,oulad_BBB_2013B,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.8406371832358674
S_shared7,7,oulad_BBB_2013B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8046040105827956
S_shared7,7,oulad_BBB_2013B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8297175973311899
S_shared7,7,oulad_BBB_2013B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8235113763375524
S_shared7,7,oulad_BBB_2013B,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8375651919791385
S_shared7,7,oulad_BBB_2013B,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7390758717784773
S_shared7,7,oulad_BBB_2013B,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.7991605553249389
S_shared7,7,oulad_BBB_2013B,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.7695234273899119
S_shared7,7,oulad_BBB_2013B,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8277778016895072
S_shared7,7,oulad_BBB_2013J,oulad_BBB_2013B,D1_same_module,gradient_boosting,0.8435560631036104
S_shared7,7,oulad_BBB_2013J,oulad_BBB_2013J,D0_within_cohort,gradient_boosting,0.8597867689449746
S_shared7,7,oulad_BBB_2013J,oulad_BBB_2014B,D1_same_module,gradient_boosting,0.8602322230881727
S_shared7,7,oulad_BBB_2013J,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.843969678971735
S_shared7,7,oulad_BBB_2013J,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.7579185520361991
S_shared7,7,oulad_BBB_2013J,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8106782863314846
S_shared7,7,oulad_BBB_2013J,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.8293744477675176
S_shared7,7,oulad_BBB_2013J,oulad_DDD_2014J,D2_other_module,gradient_boosting,0.8277083395777758
S_shared7,7,oulad_BBB_2013J,oulad_FFF_2013B,D2_other_module,gradient_boosting,0.7468353457603778
S_shared7,7,oulad_BBB_2013J,oulad_FFF_2013J,D2_other_module,gradient_boosting,0.8419799209753548
S_shared7,7,oulad_BBB_2013J,oulad_FFF_2014B,D2_other_module,gradient_boosting,0.7938039054084339
S_shared7,7,oulad_BBB_2013J,oulad_FFF_2014J,D2_other_module,gradient_boosting,0.8619771939489934
S_shared7,7,oulad_BBB_2014B,oulad_BBB_2013B,D1_same_module,gradient_boosting,0.8584774161210812
S_shared7,7,oulad_BBB_2014B,oulad_BBB_2013J,D1_same_module,gradient_boosting,0.8652196367945679
S_shared7,7,oulad_BBB_2014B,oulad_BBB_2014B,D0_within_cohort,gradient_boosting,0.8534066527769584
S_shared7,7,oulad_BBB_2014B,oulad_BBB_2014J,D1_same_module,gradient_boosting,0.856578947368421
S_shared7,7,oulad_BBB_2014B,oulad_DDD_2013B,D2_other_module,gradient_boosting,0.8178201419281457
S_shared7,7,oulad_BBB_2014B,oulad_DDD_2013J,D2_other_module,gradient_boosting,0.8479536330124945
S_shared7,7,oulad_BBB_2014B,oulad_DDD_2014B,D2_other_module,gradient_boosting,0.854048961593886
