representation,bin,shift_mid,auc_loss,n,shift_measure
percentile,0,0.03445121295124667,0.05755739332352603,782,d_prevalence
percentile,1,0.10479613483761463,0.05835395835914285,782,d_prevalence
percentile,2,0.18862797739797077,0.06980788511875215,780,d_prevalence
percentile,3,0.28913401972664476,0.07314194105263692,782,d_prevalence
percentile,4,0.44726074883497646,0.0644689238418278,780,d_prevalence
raw,0,0.03445121295124667,0.07382453758510645,782,d_prevalence
raw,1,0.10479613483761463,0.07534545253910124,782,d_prevalence
raw,2,0.18862797739797077,0.08082114797210067,780,d_prevalence
raw,3,0.28913401972664476,0.08932363144264652,782,d_prevalence
raw,4,0.44726074883497646,0.07735760945903769,780,d_prevalence
zscore,0,0.03445121295124667,0.05997067484689255,782,d_prevalence
zscore,1,0.10479613483761463,0.059463328573675305,782,d_prevalence
zscore,2,0.18862797739797077,0.06736942404400148,780,d_prevalence
zscore,3,0.28913401972664476,0.07247556606704672,782,d_prevalence
zscore,4,0.44726074883497646,0.06956460687138777,780,d_prevalence
percentile,0,0.07715486318817427,0.052048750353278654,782,d_scale
percentile,1,0.2573694869122654,0.05450889905246676,782,d_scale
percentile,2,0.44415056100653727,0.06050030079759752,780,d_scale
percentile,3,0.7074008113531142,0.07596572516659718,782,d_scale
percentile,4,1.5592215683653645,0.08032316970585068,780,d_scale
raw,0,0.07715486318817427,0.057759305753419324,782,d_scale
raw,1,0.2573694869122654,0.06808873297940705,782,d_scale
raw,2,0.44415056100653727,0.08120710898396359,780,d_scale
raw,3,0.7074008113531142,0.09235246165471277,782,d_scale
raw,4,1.5592215683653645,0.09731680327053938,780,d_scale
zscore,0,0.07715486318817427,0.05735162994970026,782,d_scale
zscore,1,0.2573694869122654,0.05469409596817207,782,d_scale
zscore,2,0.44415056100653727,0.06297873161594778,780,d_scale
zscore,3,0.7074008113531142,0.07410639119668389,782,d_scale
zscore,4,1.5592215683653645,0.07972751437089229,780,d_scale
percentile,0,1.5296610169491525,0.051016644610355044,944,d_length
percentile,1,4.848837209302325,0.07453343887390021,688,d_length
percentile,2,9.529411764705882,0.07559085041574942,748,d_length
percentile,3,17.422784810126583,0.05703790363763358,790,d_length
percentile,4,24.619565217391305,0.07002033623115748,736,d_length
raw,0,1.5296610169491525,0.07202712271981906,944,d_length
raw,1,4.848837209302325,0.08423314393838348,688,d_length
raw,2,9.529411764705882,0.07278615278327978,748,d_length
raw,3,17.422784810126583,0.07980166983498263,790,d_length
raw,4,24.619565217391305,0.09028270996320834,736,d_length
zscore,0,1.5296610169491525,0.05825417188528331,944,d_length
zscore,1,4.848837209302325,0.07714824592067479,688,d_length
zscore,2,9.529411764705882,0.06805508243785986,748,d_length
zscore,3,17.422784810126583,0.06310664520327203,790,d_length
zscore,4,24.619565217391305,0.0652886475897859,736,d_length
percentile,0,0.23224191157699653,0.03448523870338227,782,d_shape
percentile,1,0.39821723830294203,0.06793836930129167,782,d_shape
percentile,2,0.4731939673744796,0.07881084545523831,780,d_shape
percentile,3,0.5544889579467677,0.0640136032285444,782,d_shape
percentile,4,0.7048351730955525,0.07814003495999858,780,d_shape
raw,0,0.23224191157699653,0.03635232788804328,782,d_shape
raw,1,0.39821723830294203,0.08152774427476332,782,d_shape
raw,2,0.4731939673744796,0.09591054220878,780,d_shape
raw,3,0.5544889579467677,0.09114125084198486,782,d_shape
raw,4,0.7048351730955525,0.09181608378073411,780,d_shape
zscore,0,0.23224191157699653,0.036735148524192594,782,d_shape
zscore,1,0.39821723830294203,0.07246458904497075,782,d_shape
zscore,2,0.4731939673744796,0.08168387144539133,780,d_shape
zscore,3,0.5544889579467677,0.06418840561396687,782,d_shape
zscore,4,0.7048351730955525,0.07381907661116045,780,d_shape
