model,representation,subset,distance,n_pairs,auc,f1_fail,recall_at_flag20,brier
gradient_boosting,percentile,all pairs,D0_within_cohort,63,0.6920618902961856,0.5100839501883191,0.3285235826189875,0.1966294443214109
gradient_boosting,percentile,all pairs,D1_same_module,78,0.703345225982616,0.4717104699396909,0.31878694698688037,0.18416513507291032
gradient_boosting,percentile,all pairs,D2_other_module,916,0.6656460575882971,0.4367661281398891,0.2994785903139078,0.24226327446800608
gradient_boosting,percentile,all pairs,D3_other_institution,2912,0.6148538940626347,0.3492228700147481,0.27191536349236445,0.32295499261293387
gradient_boosting,percentile,clean pairs,D0_within_cohort,63,0.6920618902961856,0.5100839501883191,0.3285235826189875,0.1966294443214109
gradient_boosting,percentile,clean pairs,D1_same_module,10,0.6278623889127204,0.538316005275886,0.2660811128352405,0.23091995109374774
gradient_boosting,percentile,clean pairs,D2_other_module,771,0.6651273357910165,0.432907874716243,0.2987064415124685,0.24324591870385406
gradient_boosting,percentile,clean pairs,D3_other_institution,2909,0.614799703498373,0.3490461894708953,0.27187591877496464,0.32305306967681546
gradient_boosting,raw,all pairs,D0_within_cohort,63,0.6912041355274862,0.5073103889031068,0.3274872019823367,0.1971145296617433
gradient_boosting,raw,all pairs,D1_same_module,78,0.7147287925504107,0.49298454749231235,0.32838020009779756,0.2038671913004919
gradient_boosting,raw,all pairs,D2_other_module,916,0.6513370796888547,0.47186096605766187,0.30062837489527666,0.2730889902162491
gradient_boosting,raw,all pairs,D3_other_institution,2912,0.5984082430553245,0.4202968825068562,0.2734057787950453,0.36026548416084875
gradient_boosting,raw,clean pairs,D0_within_cohort,63,0.6912041355274862,0.5073103889031068,0.3274872019823367,0.1971145296617433
gradient_boosting,raw,clean pairs,D1_same_module,10,0.655599242483547,0.5552954871529395,0.26820980579644943,0.27605351476727996
gradient_boosting,raw,clean pairs,D2_other_module,771,0.6511645537036092,0.47112022081091975,0.30020042220061105,0.2752598916467836
gradient_boosting,raw,clean pairs,D3_other_institution,2909,0.5984389914087624,0.42014199935164703,0.27342439842062527,0.3603056403985784
gradient_boosting,zscore,all pairs,D0_within_cohort,63,0.6907648521633378,0.5059843594134994,0.327729059518304,0.1973811347982423
gradient_boosting,zscore,all pairs,D1_same_module,78,0.7033628087571686,0.4609947351978292,0.312442046852065,0.18833978354409556
gradient_boosting,zscore,all pairs,D2_other_module,916,0.6633414761974344,0.43573588430362986,0.2987631035483519,0.24059608369721563
gradient_boosting,zscore,all pairs,D3_other_institution,2912,0.6123591826701067,0.35050335991578935,0.26952096700454603,0.3275347426667538
gradient_boosting,zscore,clean pairs,D0_within_cohort,63,0.6907648521633378,0.5059843594134994,0.327729059518304,0.1973811347982423
gradient_boosting,zscore,clean pairs,D1_same_module,10,0.6381307140535845,0.5336694314173633,0.283155415843859,0.24026301918993184
gradient_boosting,zscore,clean pairs,D2_other_module,771,0.6623400139013217,0.433185005786907,0.2969686839790028,0.2417878264165865
gradient_boosting,zscore,clean pairs,D3_other_institution,2909,0.6123189567264989,0.3503691496409563,0.26950023041862625,0.32762039360385053
logistic_regression,percentile,all pairs,D0_within_cohort,63,0.714788080698459,0.4805815122460654,0.3486728002332433,0.16800362701867944
logistic_regression,percentile,all pairs,D1_same_module,78,0.7431192948645767,0.46836920378695596,0.34864935281025045,0.16451041841752062
logistic_regression,percentile,all pairs,D2_other_module,916,0.6914189655236365,0.4156435154980972,0.32659716825368423,0.21863512764094054
logistic_regression,percentile,all pairs,D3_other_institution,2912,0.6528796089789589,0.34601235665613567,0.3044097388446326,0.2935153383441107
logistic_regression,percentile,clean pairs,D0_within_cohort,63,0.714788080698459,0.4805815122460654,0.3486728002332433,0.16800362701867944
logistic_regression,percentile,clean pairs,D1_same_module,10,0.717016737479306,0.5803209714333796,0.3120042078398759,0.18602622974436744
logistic_regression,percentile,clean pairs,D2_other_module,771,0.6911008891810286,0.41204543485891276,0.3254797697580326,0.21949645282830327
logistic_regression,percentile,clean pairs,D3_other_institution,2909,0.6528193758088928,0.3457357218344273,0.3044067139586433,0.29360404667330403
logistic_regression,raw,all pairs,D0_within_cohort,63,0.7168462507547946,0.47732706594600893,0.3452674314700951,0.16728401227240708
logistic_regression,raw,all pairs,D1_same_module,78,0.7380655393478237,0.47756167169622055,0.3453865166257679,0.1881819642784192
logistic_regression,raw,all pairs,D2_other_module,916,0.6756313063177711,0.44483258069237747,0.3149251741894667,0.25047441541197074
logistic_regression,raw,all pairs,D3_other_institution,2912,0.5992537728666045,0.37632828251300643,0.2741692608915139,0.3486769938967155
logistic_regression,raw,clean pairs,D0_within_cohort,63,0.7168462507547946,0.47732706594600893,0.3452674314700951,0.16728401227240708
logistic_regression,raw,clean pairs,D1_same_module,10,0.7150557883492191,0.5743527880067516,0.311370300690315,0.22282054286490915
logistic_regression,raw,clean pairs,D2_other_module,771,0.6747598774451856,0.44570358537998456,0.3143044449718436,0.25320785804194695
logistic_regression,raw,clean pairs,D3_other_institution,2909,0.5992091979517609,0.37624154940448434,0.2741537633509295,0.34875344071679054
logistic_regression,zscore,all pairs,D0_within_cohort,63,0.7168462507547946,0.47732706594600893,0.3452674314700951,0.16728401227240713
logistic_regression,zscore,all pairs,D1_same_module,78,0.7511117948400357,0.4611883475465393,0.35176713052030284,0.1594576153474414
logistic_regression,zscore,all pairs,D2_other_module,916,0.6947773813494672,0.41661957974630576,0.32801149436393223,0.21239346993669256
logistic_regression,zscore,all pairs,D3_other_institution,2912,0.6590930520270494,0.3287760658180805,0.3079596482759286,0.291007747416629
logistic_regression,zscore,clean pairs,D0_within_cohort,63,0.7168462507547946,0.47732706594600893,0.3452674314700951,0.16728401227240713
logistic_regression,zscore,clean pairs,D1_same_module,10,0.7280205012176642,0.5812396691596186,0.31263930745819163,0.18416701463396742
logistic_regression,zscore,clean pairs,D2_other_module,771,0.6948886907540327,0.4153473793727529,0.3280374655903663,0.2131312508030734
logistic_regression,zscore,clean pairs,D3_other_institution,2909,0.659061144879375,0.32852751875460096,0.3079476955068803,0.29109319743157486
random_forest,percentile,all pairs,D0_within_cohort,63,0.6923020500253049,0.495256519532759,0.3313553942351409,0.1748552085998279
random_forest,percentile,all pairs,D1_same_module,78,0.7174415385286146,0.4677193893887913,0.3451803338567829,0.16880096366078984
