source,target,target_institution,distance,representation,rule,f1_fail,f1_fail_baseline,alert_rate,recall,precision,calibration_in_large
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,D1_same_module,raw,fixed_0.5,0.5025641025641026,0.469601677148847,0.2273972602739726,0.4375,0.5903614457831325,-0.0009590493077650808
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,D1_same_module,raw,source_rate,0.5283018867924528,0.469601677148847,0.273972602739726,0.5,0.56,-0.0009590493077650808
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,D1_same_module,percentile,fixed_0.5,0.5176470588235295,0.469601677148847,0.1589041095890411,0.39285714285714285,0.7586206896551724,-0.0533046175922251
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,D1_same_module,percentile,source_rate,0.5471698113207547,0.469601677148847,0.273972602739726,0.5178571428571429,0.58,-0.0533046175922251
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,D2_other_module,raw,fixed_0.5,0.7536704730831973,0.7059685097034054,0.4951895868704018,0.7188796680497925,0.792,-0.028434457580626682
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,D2_other_module,raw,source_rate,0.6422651933701657,0.7059685097034054,0.2739105829088851,0.4823651452282158,0.9607438016528925,-0.028434457580626682
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,D2_other_module,percentile,fixed_0.5,0.4219886822958771,0.7059685097034054,0.15449915110356535,0.27074688796680496,0.9560439560439561,-0.28641138842367175
oulad_AAA_2013J,oulad_BBB_2013B,OULAD,D2_other_module,percentile,source_rate,0.585635359116022,0.7059685097034054,0.2739105829088851,0.43983402489626555,0.8760330578512396,-0.28641138842367175
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,D2_other_module,raw,fixed_0.5,0.7618657937806874,0.684891240446796,0.5717478766204739,0.7991416309012875,0.7279124315871774,0.04654467096872994
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,D2_other_module,raw,source_rate,0.6647919010123734,0.684891240446796,0.27402771569065715,0.5072961373390558,0.964110929853181,0.04654467096872994
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,D2_other_module,percentile,fixed_0.5,0.5200741198270538,0.684891240446796,0.20295037997317836,0.36137339055793993,0.9273127753303965,-0.2685867139895753
oulad_AAA_2013J,oulad_BBB_2013J,OULAD,D2_other_module,percentile,source_rate,0.6119235095613048,0.684891240446796,0.27402771569065715,0.4669527896995708,0.8874388254486134,-0.2685867139895753
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,D2_other_module,raw,fixed_0.5,0.7641160949868074,0.7090836334533814,0.6255424674519529,0.8171557562076749,0.7175421209117938,0.07182032496611379
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,D2_other_module,raw,source_rate,0.6566265060240963,0.7090836334533814,0.2740235585864848,0.49209932279909707,0.9864253393665159,0.07182032496611379
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,D2_other_module,percentile,fixed_0.5,0.052060737527114966,0.7090836334533814,0.022318660880347178,0.02708803611738149,0.6666666666666666,-0.3426548107124382
oulad_AAA_2013J,oulad_BBB_2014B,OULAD,D2_other_module,percentile,source_rate,0.608433734939759,0.7090836334533814,0.2740235585864848,0.45598194130925507,0.9140271493212669,-0.3426548107124382
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,D2_other_module,raw,fixed_0.5,0.7325881341358556,0.6643356643356644,0.5174520069808028,0.7473684210526316,0.718381112984823,0.0319786030554674
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,D2_other_module,raw,source_rate,0.6538461538461539,0.6643356643356644,0.27399650959860383,0.5070175438596491,0.9203821656050956,0.0319786030554674
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,D2_other_module,percentile,fixed_0.5,0.50856055802156,0.6643356643356644,0.19066317626527052,0.35175438596491226,0.9176201372997712,-0.2599729355563887
oulad_AAA_2013J,oulad_BBB_2014J,OULAD,D2_other_module,percentile,source_rate,0.5916289592760181,0.6643356643356644,0.27399650959860383,0.4587719298245614,0.8328025477707006,-0.2599729355563887
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,D2_other_module,raw,fixed_0.5,0.8022648083623694,0.7933935805546899,0.5284090909090909,0.7234878240377062,0.9002932551319648,-0.124455180466719
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,D2_other_module,raw,source_rate,0.5720620842572062,0.7933935805546899,0.2742768595041322,0.4053417124901807,0.9717514124293786,-0.124455180466719
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,D2_other_module,percentile,fixed_0.5,0.4157441574415744,0.7933935805546899,0.18233471074380164,0.2655145326001571,0.9575070821529745,-0.39779494057739095
oulad_AAA_2013J,oulad_CCC_2014B,OULAD,D2_other_module,percentile,source_rate,0.5565410199556541,0.7933935805546899,0.2742768595041322,0.394344069128044,0.9453860640301318,-0.39779494057739095
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,D2_other_module,raw,fixed_0.5,0.7597402597402597,0.7450389349409695,0.5160128102481986,0.7100472016183412,0.8169123351435221,-0.0709792842450574
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,D2_other_module,raw,source_rate,0.5821033210332104,0.7450389349409695,0.2742193755004003,0.42548887390424817,0.9211678832116789,-0.0709792842450574
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,D2_other_module,percentile,fixed_0.5,0.4336734693877551,0.7450389349409695,0.1909527622097678,0.2865812542144302,0.8909853249475891,-0.3104216192128302
oulad_AAA_2013J,oulad_CCC_2014J,OULAD,D2_other_module,percentile,source_rate,0.5452029520295203,0.7450389349409695,0.2742193755004003,0.3985165205664194,0.8627737226277372,-0.3104216192128302
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,D2_other_module,raw,fixed_0.5,0.6266891891891891,0.7566793893129771,0.30007674597083656,0.467843631778058,0.948849104859335,-0.2614565978162132
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,D2_other_module,raw,source_rate,0.5982608695652174,0.7566793893129771,0.27398311588641594,0.4337957124842371,0.9635854341736695,-0.2614565978162132
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,D2_other_module,percentile,fixed_0.5,0.39082751744765704,0.7566793893129771,0.16116653875671527,0.2471626733921816,0.9333333333333333,-0.33794036429768287
oulad_AAA_2013J,oulad_DDD_2013B,OULAD,D2_other_module,percentile,source_rate,0.5478260869565217,0.7566793893129771,0.27398311588641594,0.39722572509457754,0.8823529411764706,-0.33794036429768287
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,D2_other_module,raw,fixed_0.5,0.6953080836630865,0.7279291106005907,0.34055727554179566,0.5545536519386834,0.9318181818181818,-0.18389050935059165
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,D2_other_module,raw,source_rate,0.624390243902439,0.7279291106005907,0.2739938080495356,0.4616771866546438,0.9642184557438794,-0.18389050935059165
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,D2_other_module,percentile,fixed_0.5,0.3572984749455338,0.7279291106005907,0.13828689370485037,0.2218214607754734,0.917910447761194,-0.3121428453978031
oulad_AAA_2013J,oulad_DDD_2013J,OULAD,D2_other_module,percentile,source_rate,0.5560975609756098,0.7279291106005907,0.2739938080495356,0.41118124436429215,0.8587570621468926,-0.3121428453978031
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,D2_other_module,raw,fixed_0.5,0.6932880203908242,0.7577137076378352,0.3485342019543974,0.5447263017356475,0.9532710280373832,-0.21413895631047014
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,D2_other_module,raw,source_rate,0.6058931860036832,0.7577137076378352,0.2744299674267101,0.4392523364485981,0.9762611275964391,-0.21413895631047014
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,D2_other_module,percentile,fixed_0.5,0.38362068965517243,0.7577137076378352,0.1457654723127036,0.2376502002670227,0.994413407821229,-0.355324378053183
oulad_AAA_2013J,oulad_DDD_2014B,OULAD,D2_other_module,percentile,source_rate,0.567219152854512,0.7577137076378352,0.2744299674267101,0.411214953271028,0.913946587537092,-0.355324378053183
oulad_AAA_2013J,oulad_DDD_2014J,OULAD,D2_other_module,raw,fixed_0.5,0.7027677496991577,0.718550106609808,0.3610648918469218,0.5776458951533135,0.8970814132104454,-0.1455344960149894
oulad_AAA_2013J,oulad_DDD_2014J,OULAD,D2_other_module,raw,source_rate,0.6312292358803987,0.718550106609808,0.273987798114254,0.4698318496538081,0.9615384615384616,-0.1455344960149894
oulad_AAA_2013J,oulad_DDD_2014J,OULAD,D2_other_module,percentile,fixed_0.5,0.40559440559440557,0.718550106609808,0.15307820299500832,0.258160237388724,0.9456521739130435,-0.3010453443985755
oulad_AAA_2013J,oulad_DDD_2014J,OULAD,D2_other_module,percentile,source_rate,0.584717607973422,0.718550106609808,0.273987798114254,0.4352126607319486,0.8906882591093117,-0.3010453443985755
oulad_AAA_2013J,oulad_EEE_2013J,OULAD,D2_other_module,raw,fixed_0.5,0.6978609625668449,0.5926421404682275,0.2899239543726236,0.5891647855530474,0.8557377049180328,-0.06518146447157808
oulad_AAA_2013J,oulad_EEE_2013J,OULAD,D2_other_module,raw,source_rate,0.6922024623803009,0.5926421404682275,0.2737642585551331,0.5711060948081265,0.8784722222222222,-0.06518146447157808
oulad_AAA_2013J,oulad_EEE_2013J,OULAD,D2_other_module,percentile,fixed_0.5,0.4723618090452261,0.5926421404682275,0.14638783269961977,0.3182844243792325,0.9155844155844156,-0.1677313560546091
oulad_AAA_2013J,oulad_EEE_2013J,OULAD,D2_other_module,percentile,source_rate,0.6374829001367989,0.5926421404682275,0.2737642585551331,0.5259593679458239,0.8090277777777778,-0.1677313560546091
oulad_AAA_2013J,oulad_EEE_2014B,OULAD,D2_other_module,raw,fixed_0.5,0.7201426024955436,0.6537342386032978,0.3227665706051873,0.599406528189911,0.9017857142857143,-0.10776073176827528
oulad_AAA_2013J,oulad_EEE_2014B,OULAD,D2_other_module,raw,source_rate,0.6869070208728653,0.6537342386032978,0.2737752161383285,0.5370919881305638,0.9526315789473684,-0.10776073176827528
oulad_AAA_2013J,oulad_EEE_2014B,OULAD,D2_other_module,percentile,fixed_0.5,0.4314606741573034,0.6537342386032978,0.15561959654178675,0.28486646884273,0.8888888888888888,-0.22122840983810776
oulad_AAA_2013J,oulad_EEE_2014B,OULAD,D2_other_module,percentile,source_rate,0.603415559772296,0.6537342386032978,0.2737752161383285,0.47181008902077154,0.8368421052631579,-0.22122840983810776
oulad_AAA_2013J,oulad_EEE_2014J,OULAD,D2_other_module,raw,fixed_0.5,0.7186046511627907,0.5957446808510638,0.2996632996632997,0.6130952380952381,0.8679775280898876,-0.04748848431837216
