institution,attribute,source_kind,observations,mean_gap,max_gap,mean_worst
OULAD,age_band,local,19,0.03892342746927116,0.1422018348623853,0.3855546694086396
OULAD,age_band,transferred,836,0.0512098165883426,0.31407232704402516,0.2661337875165472
OULAD,disability,local,16,0.05448240974711517,0.12830603622894843,0.3405034707849311
OULAD,disability,transferred,704,0.04379157600574191,0.19549742461948028,0.26767998704046947
OULAD,gender,local,19,0.0347884575793461,0.10384615384615381,0.39182006455327156
OULAD,gender,transferred,836,0.0377937058169037,0.22070744288872512,0.27479699625567977
OULAD,highest_education,local,19,0.05609733557862895,0.19666666666666666,0.37603446736959223
OULAD,highest_education,transferred,836,0.06439296453625916,0.3185185185185185,0.2597542084986154
OULAD,imd_band,local,17,0.18179974395403486,0.34819734345351044,0.2850763614305497
OULAD,imd_band,transferred,748,0.16384670159882062,0.41563275434243174,0.20923320077376126
UKZN,GENDER,local,5,0.058498119264248326,0.17708333333333337,0.7350244692583402
UKZN,GENDER,transferred,235,0.0621295210356638,0.25,0.2467390530997257
UKZN,QUINTILE,local,3,0.1246003490599934,0.15184678522571826,0.6543353308059191
UKZN,QUINTILE,transferred,141,0.16024479079557732,0.44461538461538463,0.1816607133579208
UKZN,RACE,local,1,0.102215277139443,0.102215277139443,0.525691699604743
UKZN,RACE,transferred,47,0.15416779937142222,0.37144958176302967,0.20515809298805232
