cohort_id,institution,rule,n_students,auc,recall_at_flag20,cutoff
oulad_AAA_2013J,OULAD,cum_active_days,383,0.7318773552586503,0.4380952380952381,f25
oulad_AAA_2013J,OULAD,cum_clicks,383,0.6789482699554643,0.4,f25
oulad_AAA_2013J,OULAD,active_weeks,383,0.7431654676258993,0.44761904761904764,f25
oulad_AAA_2013J,OULAD,weeks_since_active,383,0.6681397738951695,0.4095238095238095,f25
oulad_AAA_2014J,OULAD,cum_active_days,365,0.723443675889328,0.35714285714285715,f25
oulad_AAA_2014J,OULAD,cum_clicks,365,0.7062923489553924,0.38392857142857145,f25
oulad_AAA_2014J,OULAD,active_weeks,365,0.7308900338791643,0.38392857142857145,f25
oulad_AAA_2014J,OULAD,weeks_since_active,365,0.6983519198193111,0.39285714285714285,f25
oulad_BBB_2013B,OULAD,cum_active_days,1767,0.8139529926675382,0.36099585062240663,f25
oulad_BBB_2013B,OULAD,cum_clicks,1767,0.7959415676689592,0.3578838174273859,f25
oulad_BBB_2013B,OULAD,active_weeks,1767,0.8232806953178691,0.3620331950207469,f25
oulad_BBB_2013B,OULAD,weeks_since_active,1767,0.7885374089901458,0.36410788381742737,f25
oulad_BBB_2013J,OULAD,cum_active_days,2237,0.8142715873422587,0.3742489270386266,f25
oulad_BBB_2013J,OULAD,cum_clicks,2237,0.8120355838831593,0.3776824034334764,f25
oulad_BBB_2013J,OULAD,active_weeks,2237,0.8365859810390108,0.37510729613733906,f25
oulad_BBB_2013J,OULAD,weeks_since_active,2237,0.8251309173019026,0.3776824034334764,f25
oulad_BBB_2014B,OULAD,cum_active_days,1613,0.8203422643536473,0.36455981941309257,f25
oulad_BBB_2014B,OULAD,cum_clicks,1613,0.8180624167471379,0.36455981941309257,f25
oulad_BBB_2014B,OULAD,active_weeks,1613,0.8403594350138639,0.36455981941309257,f25
oulad_BBB_2014B,OULAD,weeks_since_active,1613,0.8286753130618113,0.36455981941309257,f25
oulad_BBB_2014J,OULAD,cum_active_days,2292,0.8187682748538012,0.393859649122807,f25
oulad_BBB_2014J,OULAD,cum_clicks,2292,0.8152351364522419,0.38859649122807016,f25
oulad_BBB_2014J,OULAD,active_weeks,2292,0.8405244883040937,0.3956140350877193,f25
oulad_BBB_2014J,OULAD,weeks_since_active,2292,0.8365055433723196,0.39824561403508774,f25
oulad_CCC_2014B,OULAD,cum_active_days,1936,0.8369103517895162,0.30243519245875883,f25
oulad_CCC_2014B,OULAD,cum_clicks,1936,0.8215548833588665,0.3032207384131972,f25
oulad_CCC_2014B,OULAD,active_weeks,1936,0.8525584745953491,0.3040062843676355,f25
oulad_CCC_2014B,OULAD,weeks_since_active,1936,0.8273191081979956,0.3040062843676355,f25
oulad_CCC_2014J,OULAD,cum_active_days,2498,0.818902570677863,0.327714093054619,f25
oulad_CCC_2014J,OULAD,cum_clicks,2498,0.8065109002189013,0.3310856372218476,f25
oulad_CCC_2014J,OULAD,active_weeks,2498,0.8341778248723629,0.3331085637221848,f25
oulad_CCC_2014J,OULAD,weeks_since_active,2498,0.7845795867117976,0.3351314902225219,f25
oulad_DDD_2013B,OULAD,cum_active_days,1303,0.7975743639195906,0.3266078184110971,f25
oulad_DDD_2013B,OULAD,cum_clicks,1303,0.7774176000791236,0.3228247162673392,f25
oulad_DDD_2013B,OULAD,active_weeks,1303,0.8000976683233192,0.3266078184110971,f25
oulad_DDD_2013B,OULAD,weeks_since_active,1303,0.7611453156294044,0.3291298865069357,f25
oulad_DDD_2013J,OULAD,cum_active_days,1938,0.8223320327923416,0.3408476104598738,f25
oulad_DDD_2013J,OULAD,cum_clicks,1938,0.80736946640112,0.3345356176735798,f25
oulad_DDD_2013J,OULAD,active_weeks,1938,0.8321399319744909,0.3435527502254283,f25
oulad_DDD_2013J,OULAD,weeks_since_active,1938,0.8061153344551268,0.34445446348061315,f25
oulad_DDD_2014B,OULAD,cum_active_days,1228,0.8110452071098277,0.32176234979973295,f25
oulad_DDD_2014B,OULAD,cum_clicks,1228,0.7991406774795065,0.32176234979973295,f25
oulad_DDD_2014B,OULAD,active_weeks,1228,0.8191283576431763,0.32309746328437916,f25
oulad_DDD_2014B,OULAD,weeks_since_active,1228,0.782298457790624,0.3257676902536716,f25
oulad_DDD_2014J,OULAD,cum_active_days,1803,0.8294542856857396,0.34718100890207715,f25
