cohort_id,institution,n_students,seed,pair,tau,jaccard_top3
oulad_AAA_2013J,OULAD,383,0,drop_column vs permutation,-0.33333333333333337,0.2
oulad_AAA_2013J,OULAD,383,0,drop_column vs shap,-0.23809523809523814,0.5
oulad_AAA_2013J,OULAD,383,0,permutation vs shap,0.5238095238095238,0.5
oulad_AAA_2013J,OULAD,383,1,drop_column vs permutation,0.14285714285714288,0.2
oulad_AAA_2013J,OULAD,383,1,drop_column vs shap,-0.33333333333333337,0.0
oulad_AAA_2013J,OULAD,383,1,permutation vs shap,0.33333333333333337,0.5
oulad_AAA_2013J,OULAD,383,2,drop_column vs permutation,0.04761904761904762,0.2
oulad_AAA_2013J,OULAD,383,2,drop_column vs shap,-0.14285714285714288,0.2
oulad_AAA_2013J,OULAD,383,2,permutation vs shap,0.6190476190476191,1.0
oulad_AAA_2014J,OULAD,365,0,drop_column vs permutation,0.14285714285714288,0.2
oulad_AAA_2014J,OULAD,365,0,drop_column vs shap,0.04761904761904762,0.2
oulad_AAA_2014J,OULAD,365,0,permutation vs shap,0.33333333333333337,1.0
oulad_AAA_2014J,OULAD,365,1,drop_column vs permutation,-0.04761904761904762,0.2
oulad_AAA_2014J,OULAD,365,1,drop_column vs shap,0.23809523809523814,0.2
oulad_AAA_2014J,OULAD,365,1,permutation vs shap,0.5238095238095238,0.5
oulad_AAA_2014J,OULAD,365,2,drop_column vs permutation,0.04761904761904762,0.2
oulad_AAA_2014J,OULAD,365,2,drop_column vs shap,0.04761904761904762,0.2
oulad_AAA_2014J,OULAD,365,2,permutation vs shap,0.8095238095238096,1.0
oulad_BBB_2013B,OULAD,1767,0,drop_column vs permutation,0.33333333333333337,0.5
oulad_BBB_2013B,OULAD,1767,0,drop_column vs shap,-0.04761904761904762,0.5
oulad_BBB_2013B,OULAD,1767,0,permutation vs shap,0.4285714285714286,0.5
oulad_BBB_2013B,OULAD,1767,1,drop_column vs permutation,-0.04761904761904762,0.2
oulad_BBB_2013B,OULAD,1767,1,drop_column vs shap,0.33333333333333337,0.5
oulad_BBB_2013B,OULAD,1767,1,permutation vs shap,0.4285714285714286,0.5
oulad_BBB_2013B,OULAD,1767,2,drop_column vs permutation,0.23809523809523814,0.5
oulad_BBB_2013B,OULAD,1767,2,drop_column vs shap,0.14285714285714288,0.5
oulad_BBB_2013B,OULAD,1767,2,permutation vs shap,0.5238095238095238,0.5
oulad_BBB_2013J,OULAD,2237,0,drop_column vs permutation,0.14285714285714288,0.5
oulad_BBB_2013J,OULAD,2237,0,drop_column vs shap,-0.14285714285714288,0.5
oulad_BBB_2013J,OULAD,2237,0,permutation vs shap,0.7142857142857143,1.0
oulad_BBB_2013J,OULAD,2237,1,drop_column vs permutation,0.6190476190476191,0.5
oulad_BBB_2013J,OULAD,2237,1,drop_column vs shap,0.7142857142857143,0.5
oulad_BBB_2013J,OULAD,2237,1,permutation vs shap,0.9047619047619049,1.0
oulad_BBB_2013J,OULAD,2237,2,drop_column vs permutation,0.04761904761904762,0.5
oulad_BBB_2013J,OULAD,2237,2,drop_column vs shap,-0.14285714285714288,0.5
oulad_BBB_2013J,OULAD,2237,2,permutation vs shap,0.8095238095238096,1.0
oulad_BBB_2014B,OULAD,1613,0,drop_column vs permutation,0.14285714285714288,0.5
oulad_BBB_2014B,OULAD,1613,0,drop_column vs shap,0.5238095238095238,0.5
oulad_BBB_2014B,OULAD,1613,0,permutation vs shap,0.4285714285714286,0.5
oulad_BBB_2014B,OULAD,1613,1,drop_column vs permutation,0.4285714285714286,0.5
oulad_BBB_2014B,OULAD,1613,1,drop_column vs shap,0.33333333333333337,0.5
oulad_BBB_2014B,OULAD,1613,1,permutation vs shap,0.7142857142857143,1.0
oulad_BBB_2014B,OULAD,1613,2,drop_column vs permutation,0.5238095238095238,0.5
oulad_BBB_2014B,OULAD,1613,2,drop_column vs shap,0.14285714285714288,0.5
oulad_BBB_2014B,OULAD,1613,2,permutation vs shap,0.4285714285714286,0.5
oulad_BBB_2014J,OULAD,2292,0,drop_column vs permutation,0.33333333333333337,0.5
oulad_BBB_2014J,OULAD,2292,0,drop_column vs shap,0.23809523809523814,0.5
oulad_BBB_2014J,OULAD,2292,0,permutation vs shap,0.7142857142857143,1.0
oulad_BBB_2014J,OULAD,2292,1,drop_column vs permutation,0.14285714285714288,0.2
oulad_BBB_2014J,OULAD,2292,1,drop_column vs shap,-0.04761904761904762,0.2
oulad_BBB_2014J,OULAD,2292,1,permutation vs shap,0.6190476190476191,0.5
oulad_BBB_2014J,OULAD,2292,2,drop_column vs permutation,0.04761904761904762,0.2
oulad_BBB_2014J,OULAD,2292,2,drop_column vs shap,-0.33333333333333337,0.2
oulad_BBB_2014J,OULAD,2292,2,permutation vs shap,0.4285714285714286,0.5
oulad_CCC_2014B,OULAD,1936,0,drop_column vs permutation,-0.14285714285714288,0.2
oulad_CCC_2014B,OULAD,1936,0,drop_column vs shap,0.14285714285714288,0.5
oulad_CCC_2014B,OULAD,1936,0,permutation vs shap,0.7142857142857143,0.5
oulad_CCC_2014B,OULAD,1936,1,drop_column vs permutation,0.4285714285714286,1.0
oulad_CCC_2014B,OULAD,1936,1,drop_column vs shap,0.14285714285714288,0.5
oulad_CCC_2014B,OULAD,1936,1,permutation vs shap,0.5238095238095238,0.5
oulad_CCC_2014B,OULAD,1936,2,drop_column vs permutation,-0.14285714285714288,0.0
oulad_CCC_2014B,OULAD,1936,2,drop_column vs shap,-0.04761904761904762,0.2
oulad_CCC_2014B,OULAD,1936,2,permutation vs shap,0.5238095238095238,0.5
oulad_CCC_2014J,OULAD,2498,0,drop_column vs permutation,0.4285714285714286,0.5
oulad_CCC_2014J,OULAD,2498,0,drop_column vs shap,0.5238095238095238,0.5
oulad_CCC_2014J,OULAD,2498,0,permutation vs shap,0.7142857142857143,1.0
oulad_CCC_2014J,OULAD,2498,1,drop_column vs permutation,0.33333333333333337,0.5
oulad_CCC_2014J,OULAD,2498,1,drop_column vs shap,0.23809523809523814,0.5
oulad_CCC_2014J,OULAD,2498,1,permutation vs shap,0.9047619047619049,1.0
oulad_CCC_2014J,OULAD,2498,2,drop_column vs permutation,0.23809523809523814,0.5
oulad_CCC_2014J,OULAD,2498,2,drop_column vs shap,0.04761904761904762,0.2
oulad_CCC_2014J,OULAD,2498,2,permutation vs shap,0.8095238095238096,0.5
oulad_DDD_2013B,OULAD,1303,0,drop_column vs permutation,-0.14285714285714288,0.2
oulad_DDD_2013B,OULAD,1303,0,drop_column vs shap,-0.33333333333333337,0.2
oulad_DDD_2013B,OULAD,1303,0,permutation vs shap,0.8095238095238096,0.5
oulad_DDD_2013B,OULAD,1303,1,drop_column vs permutation,-0.6190476190476191,0.0
oulad_DDD_2013B,OULAD,1303,1,drop_column vs shap,-0.33333333333333337,0.2
oulad_DDD_2013B,OULAD,1303,1,permutation vs shap,0.33333333333333337,0.2
oulad_DDD_2013B,OULAD,1303,2,drop_column vs permutation,-0.33333333333333337,0.2
oulad_DDD_2013B,OULAD,1303,2,drop_column vs shap,0.04761904761904762,0.5
oulad_DDD_2013B,OULAD,1303,2,permutation vs shap,0.4285714285714286,0.5
oulad_DDD_2013J,OULAD,1938,0,drop_column vs permutation,0.4285714285714286,0.5
oulad_DDD_2013J,OULAD,1938,0,drop_column vs shap,-0.04761904761904762,0.2
oulad_DDD_2013J,OULAD,1938,0,permutation vs shap,0.14285714285714288,0.2
oulad_DDD_2013J,OULAD,1938,1,drop_column vs permutation,0.5238095238095238,0.2
oulad_DDD_2013J,OULAD,1938,1,drop_column vs shap,0.4285714285714286,0.5
oulad_DDD_2013J,OULAD,1938,1,permutation vs shap,0.7142857142857143,0.5
oulad_DDD_2013J,OULAD,1938,2,drop_column vs permutation,0.8095238095238096,0.5
oulad_DDD_2013J,OULAD,1938,2,drop_column vs shap,0.33333333333333337,0.5
oulad_DDD_2013J,OULAD,1938,2,permutation vs shap,0.5238095238095238,0.5
oulad_DDD_2014B,OULAD,1228,0,drop_column vs permutation,0.6190476190476191,1.0
oulad_DDD_2014B,OULAD,1228,0,drop_column vs shap,0.33333333333333337,1.0
oulad_DDD_2014B,OULAD,1228,0,permutation vs shap,0.5238095238095238,1.0
oulad_DDD_2014B,OULAD,1228,1,drop_column vs permutation,0.8095238095238096,1.0
oulad_DDD_2014B,OULAD,1228,1,drop_column vs shap,0.4285714285714286,1.0
oulad_DDD_2014B,OULAD,1228,1,permutation vs shap,0.6190476190476191,1.0
oulad_DDD_2014B,OULAD,1228,2,drop_column vs permutation,0.14285714285714288,0.5
oulad_DDD_2014B,OULAD,1228,2,drop_column vs shap,0.5238095238095238,0.5
oulad_DDD_2014B,OULAD,1228,2,permutation vs shap,0.6190476190476191,1.0
oulad_DDD_2014J,OULAD,1803,0,drop_column vs permutation,0.23809523809523814,0.5
oulad_DDD_2014J,OULAD,1803,0,drop_column vs shap,-0.23809523809523814,0.2
oulad_DDD_2014J,OULAD,1803,0,permutation vs shap,0.5238095238095238,0.5
oulad_DDD_2014J,OULAD,1803,1,drop_column vs permutation,0.33333333333333337,0.5
oulad_DDD_2014J,OULAD,1803,1,drop_column vs shap,0.04761904761904762,0.2
oulad_DDD_2014J,OULAD,1803,1,permutation vs shap,0.5238095238095238,0.5
oulad_DDD_2014J,OULAD,1803,2,drop_column vs permutation,0.5238095238095238,1.0
oulad_DDD_2014J,OULAD,1803,2,drop_column vs shap,-0.04761904761904762,0.2
oulad_DDD_2014J,OULAD,1803,2,permutation vs shap,0.4285714285714286,0.2
oulad_EEE_2013J,OULAD,1052,0,drop_column vs permutation,-0.23809523809523814,0.2
oulad_EEE_2013J,OULAD,1052,0,drop_column vs shap,-0.33333333333333337,0.2
oulad_EEE_2013J,OULAD,1052,0,permutation vs shap,0.5238095238095238,0.5
oulad_EEE_2013J,OULAD,1052,1,drop_column vs permutation,0.23809523809523814,1.0
oulad_EEE_2013J,OULAD,1052,1,drop_column vs shap,0.5238095238095238,1.0
oulad_EEE_2013J,OULAD,1052,1,permutation vs shap,0.7142857142857143,1.0
oulad_EEE_2013J,OULAD,1052,2,drop_column vs permutation,-0.33333333333333337,0.2
oulad_EEE_2013J,OULAD,1052,2,drop_column vs shap,-0.14285714285714288,0.2
oulad_EEE_2013J,OULAD,1052,2,permutation vs shap,0.6190476190476191,1.0
oulad_EEE_2014B,OULAD,694,0,drop_column vs permutation,-0.23809523809523814,0.2
oulad_EEE_2014B,OULAD,694,0,drop_column vs shap,-0.14285714285714288,0.5
oulad_EEE_2014B,OULAD,694,0,permutation vs shap,0.14285714285714288,0.2
oulad_EEE_2014B,OULAD,694,1,drop_column vs permutation,0.14285714285714288,0.5
oulad_EEE_2014B,OULAD,694,1,drop_column vs shap,-0.23809523809523814,0.2
oulad_EEE_2014B,OULAD,694,1,permutation vs shap,0.23809523809523814,0.5
oulad_EEE_2014B,OULAD,694,2,drop_column vs permutation,0.5238095238095238,0.5
oulad_EEE_2014B,OULAD,694,2,drop_column vs shap,-0.33333333333333337,0.2
oulad_EEE_2014B,OULAD,694,2,permutation vs shap,0.14285714285714288,0.2
oulad_EEE_2014J,OULAD,1188,0,drop_column vs permutation,0.33333333333333337,0.2
oulad_EEE_2014J,OULAD,1188,0,drop_column vs shap,0.5238095238095238,0.5
oulad_EEE_2014J,OULAD,1188,0,permutation vs shap,0.8095238095238096,0.5
oulad_EEE_2014J,OULAD,1188,1,drop_column vs permutation,-0.04761904761904762,0.0
oulad_EEE_2014J,OULAD,1188,1,drop_column vs shap,0.04761904761904762,0.2
