cohort_id,institution,module,n_students,pass_rate,auc,auc_ci_low,auc_ci_high,covers_chance,below_chance
oviedo_C2024_1415,Oviedo,C2024,327,0.8409785932721713,0.38423076923076926,0.3060161514203227,0.47706600487634965,False,True
oviedo_C2607_1415,Oviedo,C2607,277,0.26353790613718414,0.451248992747784,0.3790988155050976,0.5150137005485577,True,False
zambia_ICT1110_2021,Zambia,ICT1110,52,0.38461538461538464,0.45546875,0.28104803798352185,0.5980618686868683,True,False
oviedo_C3029_1415,Oviedo,C3029,231,0.670995670995671,0.4742784380305602,0.3884615812760821,0.5595806876612173,True,False
oviedo_C1303_1415,Oviedo,C1303,112,0.375,0.4948979591836735,0.377235387754187,0.6074525443412163,True,False
oviedo_C4189_1415,Oviedo,C4189,128,0.53125,0.5012254901960784,0.4012681739255861,0.6131332337622549,True,False
oviedo_C2335_1415,Oviedo,C2335,428,0.32242990654205606,0.5087831084457771,0.4574975418765784,0.5641289804659474,True,False
oviedo_C190_1415,Oviedo,C190,112,0.45535714285714285,0.5249116039858567,0.40337643075762025,0.6257995152083822,True,False
oviedo_C3022_1415,Oviedo,C3022,238,0.7142857142857143,0.5347318339100346,0.4611119161111171,0.6133973545566348,True,False
ukzn_ISTN3ND_2018,UKZN,ISTN3ND,144,0.6041666666666666,0.5361968138737648,0.43837535494637114,0.6241114601704879,True,False
oviedo_C836_1415,Oviedo,C836,87,0.4942528735632184,0.538583509513742,0.41896195585152296,0.6603632478632477,True,False
ukzn_ISTN3SA_2018,UKZN,ISTN3SA,141,0.7872340425531915,0.543993993993994,0.4292000066569032,0.6435015351582354,True,False
ukzn_ISTN102_2018,UKZN,ISTN102,257,0.7354085603112841,0.5453625894802365,0.45365476882814776,0.6235988932496498,True,False
oviedo_C4213_1415,Oviedo,C4213,140,0.5785714285714286,0.5597405314919439,0.459399353647451,0.6651222287155188,True,False
ukzn_ISTN3SA_2019,UKZN,ISTN3SA,195,0.8717948717948718,0.5823529411764706,0.4447742651825492,0.7075647305972922,True,False
oviedo_C1127_1415,Oviedo,C1127,106,0.6320754716981132,0.5855338691159587,0.45756728778467903,0.7082738472183131,True,False
ku_Globaleconom_1920,KU Leuven,Globaleconom,681,0.7547723935389133,0.5858011603252639,0.5371346567353629,0.6326163803694685,False,False
ku_Globaleconom_2021,KU Leuven,Globaleconom,335,0.5134328358208955,0.587262804965045,0.5318462823545402,0.6456447463706008,False,False
ku_Globaleconom_1819,KU Leuven,Globaleconom,743,0.5625841184387618,0.5915421420684579,0.5523742301249317,0.6312382565464821,False,False
zambia_ICT1110_2020,Zambia,ICT1110,65,0.24615384615384617,0.5982142857142858,0.44070836570836575,0.7437593787515006,True,False
ukzn_ISTN2IP_2019,UKZN,ISTN2IP,116,0.7586206896551724,0.599025974025974,0.4880343300110742,0.7043685889503067,True,False
ku_Accountancy_1920,KU Leuven,Accountancy,705,0.6822695035460993,0.6089016557766558,0.5640566072820783,0.647584627596995,False,False
oviedo_C1200_1415,Oviedo,C1200,107,0.40186915887850466,0.6115552325581395,0.49926752692542165,0.703565269694001,True,False
ku_Accountancy_1819,KU Leuven,Accountancy,752,0.7021276595744681,0.6260399756493507,0.5839689844543138,0.6686261276600312,False,False
ku_Accountancy_2021,KU Leuven,Accountancy,723,0.7012448132780082,0.64944480970122,0.6052205354067681,0.6926979970327057,False,False
ukzn_ISTN103_2020,UKZN,ISTN103,1082,0.8937153419593346,0.6516613461624926,0.6035223302923652,0.6996953669641344,False,False
oviedo_C2271_1415,Oviedo,C2271,596,0.5855704697986577,0.6528021066552209,0.6108779226733979,0.6916407591245523,False,False
ukzn_ISTN103_2019,UKZN,ISTN103,1113,0.7304582210242587,0.6532164821648216,0.6166683630084578,0.6890279039290997,False,False
ukzn_ISTN212_2018,UKZN,ISTN212,238,0.8151260504201681,0.6538191190253047,0.5693411989936702,0.7323842930029154,False,False
ukzn_ISTN3ND_2019,UKZN,ISTN3ND,223,0.8026905829596412,0.6686135093956324,0.5894455197809461,0.7461492882461987,False,False
ukzn_ISTN101_2019,UKZN,ISTN101,1056,0.8257575757575758,0.6696188173115277,0.6276405598090488,0.7107215156559131,False,False
oviedo_C2468_1415,Oviedo,C2468,82,0.5,0.6838191552647234,0.563891369047619,0.7940972222222223,False,False
oviedo_C2011_1415,Oviedo,C2011,120,0.7833333333333333,0.6900572831423896,0.5797316691214309,0.8030029230191443,False,False
ukzn_ISTN212_2019,UKZN,ISTN212,264,0.8409090909090909,0.6991634491634491,0.611050193050193,0.7789740006775068,False,False
oulad_AAA_2013J,OULAD,AAA,383,0.7258485639686684,0.7094552929085304,0.6511018095951684,0.7599879860019804,False,False
oviedo_C1978_1415,Oviedo,C1978,164,0.7195121951219512,0.7129697862932941,0.6212644175026234,0.8030698728354978,False,False
ukzn_ISTN101_2020,UKZN,ISTN101,978,0.9498977505112475,0.7177456558511456,0.651196800044251,0.7827514457108045,False,False
