label,tau,ci_low,ci_high,n_clusters,cluster,p_value
shap: next year,0.5083435083435083,0.4708994708994709,0.5445665445665446,78,pair,
permutation: next year,0.256003256003256,0.2140822140822141,0.2975172975172975,78,pair,
drop_column: next year,0.05494505494505494,0.021164021164021156,0.08913308913308912,78,pair,
"spread: shap minus permutation, next year",0.2523402523402523,0.20431420431420436,0.29833129833129834,78,pair,1.7343345115849498e-11
"shap: same cohort, another split",0.5918367346938779,0.5404383975812549,0.6412194507432604,63,cohort_id,
"permutation: same cohort, another split",0.344923154446964,0.28747795414462085,0.4013605442176872,63,cohort_id,
"drop_column: same cohort, another split",0.1725875535399345,0.12018140589569162,0.2270093222474175,63,cohort_id,
"shap: same cohort, another split, pair targets",0.637769637769638,0.5954415954415956,0.6784696784696786,78,pair,
shap: cost of one year,0.12942612942612944,0.09115791615791616,0.16727716727716732,78,pair,
"permutation: same cohort, another split, pair targets",0.4285714285714287,0.3829873829873831,0.47171347171347194,78,pair,
permutation: cost of one year,0.17256817256817256,0.12250712250712252,0.22425722425722425,78,pair,
"drop_column: same cohort, another split, pair targets",0.19902319902319904,0.1461131461131461,0.25274725274725274,78,pair,
drop_column: cost of one year,0.1440781440781441,0.07731990231990232,0.21164021164021166,78,pair,
cost difference: shap minus permutation,-0.04314204314204314,-0.0948412698412699,0.008547008547008543,78,pair,0.15144017769873772
explainer: drop_column vs permutation,0.2587553539934492,0.21340388007054675,0.30259511211892165,63,cohort_id,
explainer: drop_column vs shap,0.127236079617032,0.07432602670697909,0.17913832199546484,63,cohort_id,
explainer: permutation vs shap,0.40992693373645755,0.3549886621315193,0.4638447971781306,63,cohort_id,
"floor: same model, reseeded",0.7055177626606199,0.6686318972033258,0.7421088435374149,63,cohort_id,
"ceiling: disjoint halves, ladder-matched",0.33786848072562353,0.2792139077853364,0.39833711262282695,63,cohort_id,
"D1: same course, next year",0.20952380952380953,0.04761904761904762,0.3619047619047619,9,target,
"D2: another course, same institution",0.07615341856586993,0.03828642694463624,0.11483948120955129,61,target,
D3: another institution,0.03347574849809295,0.012122906315546907,0.053931950195537134,63,target,
