source,target,institution,seed,estimator,tau,jaccard_top3
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,0,shap,-0.23809523809523814,0.2
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,0,permutation,0.5238095238095238,0.5
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,0,drop_column,0.04761904761904762,0.5
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,1,shap,0.33333333333333337,0.5
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,1,permutation,0.33333333333333337,0.5
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,1,drop_column,0.14285714285714288,0.5
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,2,shap,0.6190476190476191,1.0
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,2,permutation,0.4285714285714286,1.0
oulad_AAA_2013J,oulad_AAA_2014J,OULAD,2,drop_column,-0.14285714285714288,0.2
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,0,shap,-0.23809523809523814,0.2
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,0,permutation,0.5238095238095238,0.5
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,0,drop_column,0.04761904761904762,0.5
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,1,shap,0.33333333333333337,0.5
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,1,permutation,0.33333333333333337,0.5
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,1,drop_column,0.14285714285714288,0.5
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,2,shap,0.6190476190476191,1.0
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,2,permutation,0.4285714285714286,1.0
oulad_AAA_2014J,oulad_AAA_2013J,OULAD,2,drop_column,-0.14285714285714288,0.2
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,0,shap,0.6190476190476191,0.5
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,0,permutation,0.14285714285714288,0.5
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,0,drop_column,-0.23809523809523814,0.2
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,1,shap,0.6190476190476191,0.5
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,1,permutation,0.14285714285714288,0.2
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,1,drop_column,0.23809523809523814,0.5
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,2,shap,0.23809523809523814,0.5
oulad_BBB_2013B,oulad_BBB_2013J,OULAD,2,permutation,0.14285714285714288,0.2
