threshold,coverage,students_shown,mean_cross_tau,mean_cross_jaccard_top3
0.0,1.0,11875,0.34601784461152885,0.5162273684210527
0.05,1.0,11875,0.34601784461152885,0.5162273684210527
0.1,0.9999157894736842,11874,0.3460461833377448,0.5162472629274044
0.15,0.9998315789473684,11873,0.346064901156285,0.5162503158426682
0.2,0.9996631578947368,11871,0.34612801906206,0.5163002274450341
0.25,0.999578947368421,11870,0.3461467485056364,0.5163167649536646
0.3,0.9984842105263158,11857,0.34637284786563693,0.516491523994265
0.35,0.9974736842105263,11845,0.3466208365997307,0.5166112283663993
0.4,0.9943578947368421,11808,0.34733030068395926,0.517090108401084
0.45,0.9873684210526316,11725,0.3485405624936542,0.5179223880597015
0.5,0.979621052631579,11633,0.3500476886361869,0.5189667325711338
0.55,0.9570526315789474,11365,0.35369995600527937,0.5215503739551254
0.6,0.9298526315789474,11042,0.35748182265117606,0.5237221517840971
0.65,0.8754526315789474,10396,0.36439106616097766,0.5292266256252405
0.7,0.7886315789473685,9365,0.375227925660387,0.5374137746930058
0.75,0.7062736842105263,8387,0.38671981013700346,0.5449099797305353
0.8,0.5555368421052631,6597,0.40985585078354525,0.5607852053963923
0.85,0.3589052631578947,4262,0.44500011172934684,0.5828015016424213
0.9,0.23014736842105263,2733,0.46050563657588905,0.5879546286132454
0.95,0.06930526315789473,823,0.5027252213157438,0.6348481166464156
