threshold,coverage,students_shown,mean_cross_tau,mean_cross_jaccard_top3
0.0,1.0,11875,0.34625363408521304,0.5171873684210526
0.05,0.9999157894736842,11874,0.3462932216848336,0.5172123968334175
0.1,0.9999157894736842,11874,0.3462932216848336,0.5172123968334175
0.15,0.9999157894736842,11874,0.3462932216848336,0.5172123968334175
0.2,0.9998315789473684,11873,0.346313564590327,0.5172239535079592
0.25,0.9998315789473684,11873,0.346313564590327,0.5172239535079592
0.3,0.9998315789473684,11873,0.346313564590327,0.5172239535079592
0.35,0.9994947368421052,11869,0.34639978495400187,0.5172803100513944
0.4,0.9985684210526315,11858,0.34667212811925247,0.5174565694046215
0.45,0.9968842105263158,11838,0.346948889371596,0.517621219800642
0.5,0.9946947368421053,11812,0.34744166545724287,0.5179376904842532
0.55,0.9886315789473684,11740,0.3488407560639248,0.5190545144804087
0.6,0.9778526315789474,11612,0.35002214457949904,0.5194901825697554
0.65,0.9546947368421053,11337,0.35344615397539453,0.5218523418893887
0.7,0.9088,10792,0.35967559744431504,0.5264251297257228
0.75,0.8662736842105263,10287,0.36403690279455814,0.529792942548848
0.8,0.7490526315789474,8895,0.3771118070612169,0.5384170882518268
0.85,0.5612631578947368,6665,0.39831529310899155,0.5523690922730683
0.9,0.3951157894736842,4692,0.41655502780822473,0.5624126172208014
0.95,0.14004210526315788,1663,0.44269392663860496,0.5953577871316897
