threshold,coverage,students_shown,mean_cross_tau,mean_cross_jaccard_top3
0.0,0.9884631578947368,11738,0.36131895593473373,0.5176742204804906
0.05,0.9715368421052631,11537,0.3642153402923101,0.5193360492329028
0.1,0.9562105263157895,11355,0.366808831855067,0.5208031704095113
0.15,0.9253052631578947,10988,0.3715100455908611,0.5233927921368766
0.2,0.8940631578947369,10617,0.3763891692120005,0.5260544409908637
0.25,0.8369684210526316,9939,0.3868368476276717,0.532504276084113
0.3,0.7468631578947369,8869,0.4016096730720702,0.5421129777878002
0.35,0.6824421052631578,8104,0.41439383255770224,0.5496816386969398
0.4,0.5621052631578948,6675,0.43470376315320136,0.5614322097378276
0.45,0.4488421052631579,5330,0.4605878674171357,0.5770131332082552
0.5,0.3702736842105263,4397,0.4794849302013278,0.5866499886286104
0.55,0.26829473684210525,3186,0.5092996143843602,0.6064846202134339
0.6,0.18534736842105262,2201,0.5333549685208022,0.6273784643343935
0.65,0.09557894736842105,1135,0.5669729389553179,0.6381497797356828
0.7,0.04362105263157895,518,0.6158485015627875,0.6671428571428571
0.75,0.026021052631578948,309,0.6448143011249808,0.6749514563106797
0.8,0.010105263157894737,120,0.7080952380952381,0.6828333333333334
0.85,0.0011789473684210526,14,0.6639455782312924,0.7857142857142857
0.9,8.421052631578948e-05,1,0.8095238095238096,1.0
