threshold,coverage,students_shown,mean_cross_tau,mean_cross_jaccard_top3
0.0,0.9864421052631579,11714,0.3566639836743986,0.5131347106026977
0.05,0.9720421052631579,11543,0.35887922179180953,0.5143376938404227
0.1,0.9552842105263157,11344,0.36059171200214923,0.5157016925246827
0.15,0.9252210526315789,10987,0.3659814412704192,0.5187639938108674
0.2,0.8939789473684211,10616,0.3712401765529121,0.5217614920874153
0.25,0.8344421052631579,9909,0.38080917299809214,0.5272055706933091
0.3,0.7605894736842105,9032,0.39455059260196546,0.5347077059344553
0.35,0.7009684210526316,8324,0.40604333996933717,0.5410091302258531
0.4,0.5959578947368421,7077,0.42796853657387784,0.5543026706231454
0.45,0.4828631578947368,5734,0.4559204079259887,0.5698151377746774
0.5,0.40370526315789473,4794,0.47492301885293126,0.5823612849395077
0.55,0.25734736842105266,3056,0.5091249065071055,0.5947905759162303
0.6,0.19098947368421051,2268,0.5356261022927691,0.6091710758377424
0.65,0.10778947368421053,1280,0.5817113095238096,0.63565625
0.7,0.04934736842105263,586,0.6207053469852105,0.6710580204778157
0.75,0.0272,323,0.6513047324192835,0.6875541795665635
0.8,0.007494736842105263,89,0.6603531300160513,0.7175280898876405
0.85,0.0015157894736842106,18,0.6910052910052911,0.7055555555555555
0.9,0.00016842105263157895,2,0.6476190476190478,0.7
