regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.576690584909763,0.6331811263318112,0.576690584909763,0.0
global,0.0,OULAD,6829,6829,1.0,0.22942074765182102,0.4695065163274271,0.22942074765182102,0.0
global,0.0,Oviedo,1271,1271,1.0,0.4995316773444232,0.5682454760031471,0.4995316773444232,0.0
global,0.0,UKZN,2421,2421,1.0,0.4745028618634567,0.5591491119372161,0.4745028618634567,0.0
global,0.0,Zambia,40,40,1.0,0.5,0.5115000000000001,0.5,0.0
global,0.0,ALL,11875,11875,1.0,0.347634686716792,0.516602947368421,0.347634686716792,0.0
global,0.05,KU Leuven,1314,1314,1.0,0.576690584909763,0.6331811263318112,0.576690584909763,0.0
global,0.05,OULAD,6829,6829,1.0,0.22942074765182102,0.4695065163274271,0.22942074765182102,0.0
global,0.05,Oviedo,1271,1271,1.0,0.4995316773444232,0.5682454760031471,0.4995316773444232,0.0
global,0.05,UKZN,2421,2421,1.0,0.4745028618634567,0.5591491119372161,0.4745028618634567,0.0
global,0.05,Zambia,40,40,1.0,0.5,0.5115000000000001,0.5,0.0
global,0.05,ALL,11875,11875,1.0,0.347634686716792,0.516602947368421,0.347634686716792,0.0
global,0.1,KU Leuven,1314,1314,1.0,0.576690584909763,0.6331811263318112,0.576690584909763,0.0
global,0.1,OULAD,6829,6829,1.0,0.22942074765182102,0.4695065163274271,0.22942074765182102,0.0
global,0.1,Oviedo,1271,1270,0.999213217938631,0.49993250843644543,0.5684724409448819,0.4995316773444232,0.00040083109202221356
global,0.1,UKZN,2421,2421,1.0,0.4745028618634567,0.5591491119372161,0.4745028618634567,0.0
global,0.1,Zambia,40,40,1.0,0.5,0.5115000000000001,0.5,0.0
global,0.1,ALL,11875,11874,0.9999157894736842,0.34766476575471017,0.5166228735051372,0.347634686716792,3.007903791818478e-05
global,0.15,KU Leuven,1314,1314,1.0,0.576690584909763,0.6331811263318112,0.576690584909763,0.0
global,0.15,OULAD,6829,6828,0.9998535656757944,0.22943621502496722,0.46950497949619213,0.22942074765182102,1.5467373146199614e-05
global,0.15,Oviedo,1271,1270,0.999213217938631,0.49993250843644543,0.5684724409448819,0.4995316773444232,0.00040083109202221356
