regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.6331811263318112,0.576690584909763,1.0,1.0,1.0,1000,0.576690584909763,0.5259677994560261,0.64295061327923,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.4695065163274271,0.22942074765182102,1.0,1.0,1.0,1000,0.22942074765182102,0.17843922753114058,0.280097441177969,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.5682454760031471,0.4995316773444232,1.0,1.0,1.0,1000,0.4995316773444232,0.4504689218370846,0.5469803842298087,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5591491119372161,0.4745028618634567,1.0,1.0,1.0,1000,0.4745028618634567,0.42473353015573667,0.5310778826553325,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.5115000000000001,0.5,1.0,1.0,1.0,1000,0.5,0.41693121693121693,0.567965367965368,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.516602947368421,0.347634686716792,1.0,1.0,1.0,1000,0.347634686716792,0.31452437129764615,0.38186833911582313,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,756,0.6504761904761904,0.576690584909763,0.5753424657534246,0.5083495970219379,0.640840538991522,1000,0.6024187452758881,0.550245060104215,0.6771721305385414,1000,0.02572816036612513,0.0185421922535004,0.03823147314239905,1000,0.2964880478399556,0.23352610140263927,0.4192562284313556,1000
global,0.8,OULAD,6829,4035,0.5270334572490706,0.22942074765182102,0.5908624981695709,0.524005622916434,0.6582429376431033,1000,0.31019295450522216,0.24946156915556889,0.3653147863656382,1000,0.08077220685340114,0.05747242318361994,0.10356339570695115,1000,0.42043826188484373,0.3094287492721378,0.5181869480544284,1000
global,0.8,Oviedo,1271,725,0.5975172413793103,0.4995316773444232,0.5704169944925256,0.4546589183834404,0.6782049039664326,1000,0.5689458128078818,0.5226013612136835,0.6078793292824473,1000,0.06941413546345859,0.0399484017337265,0.09983890184797321,1000,0.5332101562111669,0.37025031978473005,0.6877626264372562,1000
global,0.8,UKZN,2421,1071,0.5988795518207283,0.4745028618634567,0.4423791821561338,0.34049497467881235,0.5569890814075071,1000,0.5472322262238228,0.4898813211837703,0.6103117091186575,1000,0.07272936436036614,0.04403663670646248,0.10486494767401729,1000,0.4306934152330912,0.2722855926994197,0.5924612771917823,1000
global,0.8,Zambia,40,7,0.5971428571428571,0.5,0.175,0.05555555555555555,0.2727272727272727,1000,0.6108843537414967,0.5428571428571429,0.6222222222222222,1000,0.11088435374149674,0.054256854256854226,0.125925925925926,1000,0.776190476190477,0.42630385487528305,0.776190476190477,1000
global,0.8,ALL,11875,6594,0.5606794055201698,0.347634686716792,0.5552842105263158,0.5060794389144715,0.604240319977458,1000,0.4109652353510407,0.3672849554197555,0.4521848703787597,1000,0.0633305486342487,0.04418227146938295,0.08333094400751297,1000,0.36641781635700654,0.2575745979425031,0.47033851125396814,1000
cohort_calibrated,0.5552842105263158,KU Leuven,1314,733,0.6534515688949523,0.576690584909763,0.5578386605783866,0.5566939890710383,0.5592417061611374,1000,0.6102644058987852,0.5569327731092437,0.6798549179714309,1000,0.033573820989022174,0.024260311016644574,0.04204988171052751,1000,0.3713719087231688,0.2871623676628829,0.4467838530904653,1000
cohort_calibrated,0.5552842105263158,OULAD,6829,3806,0.5322963741460851,0.22942074765182102,0.55732903792649,0.5569990631891856,0.5576923854992717,1000,0.3213022045391988,0.26581583974487166,0.37914186053224774,1000,0.09188145688737775,0.07107152103333166,0.11297531250314202,1000,0.4403522054386482,0.35072321228446585,0.5176541230882804,1000
cohort_calibrated,0.5552842105263158,Oviedo,1271,715,0.611944055944056,0.4995316773444232,0.5625491738788355,0.5601277131773345,0.5660385401084141,1000,0.5547918747918749,0.5054012225085185,0.5996214511916558,1000,0.05526019744745164,0.0400664193910595,0.06838806522555473,1000,0.4122825974773336,0.30217358264255784,0.5042629260945111,1000
cohort_calibrated,0.5552842105263158,UKZN,2421,1354,0.5911816838995569,0.4745028618634567,0.5592730276745147,0.558104660466672,0.5613373643382876,1000,0.52559611732433,0.4743953211233722,0.5869778423528693,1000,0.05109325546087329,0.03602015177595139,0.06705686000938167,1000,0.3721669677698533,0.2680186053935885,0.4872426165219347,1000
cohort_calibrated,0.5552842105263158,Zambia,40,23,0.5365217391304348,0.5,0.575,0.5555555555555556,0.5909090909090909,1000,0.5337474120082816,0.4247619047619048,0.6175824175824176,1000,0.033747412008281574,0.007830687830687855,0.0496170496170496,1000,0.3712984054669703,0.08043478260869594,0.6061838893409275,1000
cohort_calibrated,0.5552842105263158,ALL,11875,6631,0.5663157894736842,0.347634686716792,0.5584,0.5579627872355417,0.5588968570844084,1000,0.4208730996545806,0.38479725680070687,0.45804033159132107,1000,0.0732384129377886,0.06124499311497251,0.08561730528846857,1000,0.4237427263910453,0.3592546065286857,0.4818968299808036,1000
oracle,0.5552842105263158,KU Leuven,1314,733,0.7100682128240109,0.576690584909763,0.5578386605783866,0.5566939890710383,0.5592417061611374,1000,0.6670954329890211,0.6145390070921987,0.7336931750029987,1000,0.09040484807925808,0.07859038323803968,0.10181126419035426,1000,1.0,1.0,1.0,1000
oracle,0.5552842105263158,OULAD,6829,3806,0.5955701523909616,0.22942074765182102,0.55732903792649,0.5569990631891856,0.5576923854992717,1000,0.43807521957810974,0.3863116787413774,0.49176116104882434,1000,0.20865447192628872,0.19464626292950749,0.22613676044143152,1000,1.0,1.0,1.0,1000
oracle,0.5552842105263158,Oviedo,1271,715,0.6636363636363637,0.4995316773444232,0.5625491738788355,0.5601277131773345,0.5660385401084141,1000,0.6335664335664336,0.5805019038298643,0.6778447212599545,1000,0.1340347562220104,0.12150528742850711,0.14525006418831704,1000,1.0,1.0,1.0,1000
oracle,0.5552842105263158,UKZN,2421,1354,0.6597193500738552,0.4745028618634567,0.5592730276745147,0.558104660466672,0.5613373643382876,1000,0.6117887036646269,0.5679905801302643,0.6689725084432206,1000,0.1372858418011702,0.12280096934444307,0.15444555964739065,1000,1.0,1.0,1.0,1000
oracle,0.5552842105263158,Zambia,40,23,0.5730434782608695,0.5,0.575,0.5555555555555556,0.5909090909090909,1000,0.5908902691511387,0.5142857142857142,0.6498168498168498,1000,0.09089026915113874,0.08185148185148183,0.0973544973544973,1000,1.0,1.0,1.0,1000
oracle,0.5552842105263158,ALL,11875,6631,0.6285869401296938,0.347634686716792,0.5584,0.5579627872355417,0.5588968570844084,1000,0.5204716662716965,0.4874123497996619,0.5537553773530252,1000,0.1728369795549045,0.16284165919700827,0.183890400172358,1000,1.0,1.0,1.0,1000
calibrated_minus_global,,KU Leuven,,,,,-0.017503805175038023,-0.08213757770746426,0.04934470887997399,1000,0.007845660622897044,-0.004008113099022159,0.012621607137497937,1000,0.007845660622897044,-0.004008113099022159,0.012621607137497937,1000,0.0748838608832132,-0.010326855299952198,0.12289895605730589,1000
calibrated_minus_global,,OULAD,,,,,-0.033533460243080904,-0.10093656837462292,0.0330278430680151,1000,0.011109250033976614,-0.011978776024519012,0.03791080458341881,1000,0.011109250033976614,-0.011978776024519012,0.03791080458341881,1000,0.019913943553804492,-0.07789257336170435,0.1257159658540477,1000
calibrated_minus_global,,Oviedo,,,,,-0.007867820613690069,-0.11571296333293368,0.10783492362489304,1000,-0.01415393801600695,-0.03922413204943408,0.009393024363907017,1000,-0.01415393801600695,-0.03922413204943408,0.009393024363907017,1000,-0.12092755873383326,-0.23167269512456193,-0.011929705666403547,1000
calibrated_minus_global,,UKZN,,,,,0.11689384551838089,0.003798754590329209,0.21802163947446468,1000,-0.021636108899492856,-0.04011978526933925,-0.005148781068028752,1000,-0.021636108899492856,-0.04011978526933925,-0.005148781068028752,1000,-0.058526447463237874,-0.13822835198658465,0.030733124119391476,1000
calibrated_minus_global,,Zambia,,,,,0.39999999999999997,0.31818181818181823,0.5,1000,-0.07713694173321517,-0.11809523809523814,-0.004639804639804623,1000,-0.07713694173321517,-0.11809523809523814,-0.004639804639804623,1000,-0.4048920707235067,-0.6074264890676047,0.17988003446564443,1000
calibrated_minus_global,,ALL,,,,,0.003115789473684183,-0.045600757916424435,0.05220304392064182,1000,0.009907864303539904,-0.010121671731640589,0.03336626766570377,1000,0.009907864303539904,-0.010121671731640589,0.03336626766570377,1000,0.05732491003403878,-0.039963801167536235,0.1719245343196114,1000
