regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.22942074765182102,KU Leuven,0.576690584909763,0.34726983725794197,0.27665994038000946,0.44109240025458507,1000
global,coverage,True,Zambia,0.175,OULAD,0.5908624981695709,0.41586249816957094,0.3063033702714926,0.5963946311305386,1000
global,mean_cross_tau,True,OULAD,0.31019295450522216,Zambia,0.6108843537414967,0.3006913992362746,0.2394879634797666,0.39276542202136255,1000
cohort_calibrated,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.3213022045391988,KU Leuven,0.6102644058987852,0.2889622013595864,0.21506840671383154,0.38262184975314956,1000
oracle,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
oracle,mean_cross_tau,True,OULAD,0.43807521957810974,KU Leuven,0.6670954329890211,0.22902021341091133,0.16366226321648011,0.3202212822475684,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.22942074765182102,KU Leuven,0.576690584909763,0.34726983725794197,0.2720418867643011,0.44109240025458507,1000
global,coverage,False,UKZN,0.4423791821561338,OULAD,0.5908624981695709,0.14848331601343712,0.05878899461438539,0.2987937397501905,1000
global,mean_cross_tau,False,OULAD,0.31019295450522216,KU Leuven,0.6024187452758881,0.29222579077066596,0.21968748089899737,0.3915575705333869,1000
cohort_calibrated,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.3213022045391988,KU Leuven,0.6102644058987852,0.2889622013595864,0.21096602488277283,0.38262184975314956,1000
oracle,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
oracle,mean_cross_tau,False,OULAD,0.43807521957810974,KU Leuven,0.6670954329890211,0.22902021341091133,0.16304702616865513,0.3202212822475684,1000
