regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.0,OULAD,6829,6829,1.0,0.4246469886827187,0.543403133694538,0.4246469886827187,0.0
global,0.0,Oviedo,1271,1271,1.0,0.39707017346671164,0.5376081825334382,0.39707017346671164,0.0
global,0.0,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.0,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.0,ALL,11875,11875,1.0,0.40386005012531334,0.524069052631579,0.40386005012531334,0.0
global,0.05,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.05,OULAD,6829,6829,1.0,0.4246469886827187,0.543403133694538,0.4246469886827187,0.0
global,0.05,Oviedo,1271,1271,1.0,0.39707017346671164,0.5376081825334382,0.39707017346671164,0.0
global,0.05,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.05,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.05,ALL,11875,11875,1.0,0.40386005012531334,0.524069052631579,0.40386005012531334,0.0
global,0.1,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.1,OULAD,6829,6829,1.0,0.4246469886827187,0.543403133694538,0.4246469886827187,0.0
global,0.1,Oviedo,1271,1270,0.999213217938631,0.3973903262092239,0.5378110236220472,0.39707017346671164,0.00032015274251223635
global,0.1,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.1,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.1,ALL,11875,11874,0.9999157894736842,0.4038948643294273,0.5240896075458986,0.40386005012531334,3.481420411394209e-05
global,0.15,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.15,OULAD,6829,6828,0.9998535656757944,0.4247301029374843,0.5434504979496192,0.4246469886827187,8.311425476559275e-05
global,0.15,Oviedo,1271,1270,0.999213217938631,0.3973903262092239,0.5378110236220472,0.39707017346671164,0.00032015274251223635
global,0.15,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.15,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.15,ALL,11875,11873,0.9998315789473684,0.4039409143595112,0.5241152194053735,0.40386005012531334,8.086423419784161e-05
global,0.2,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.2,OULAD,6829,6825,0.9994142627031776,0.4248037676609105,0.5434871794871795,0.4246469886827187,0.0001567789781917739
global,0.2,Oviedo,1271,1270,0.999213217938631,0.3973903262092239,0.5378110236220472,0.39707017346671164,0.00032015274251223635
global,0.2,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.2,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.2,ALL,11875,11870,0.999578947368421,0.403978015806154,0.5241314237573717,0.40386005012531334,0.00011796568084065928
global,0.25,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
global,0.25,OULAD,6829,6825,0.9994142627031776,0.4248037676609105,0.5434871794871795,0.4246469886827187,0.0001567789781917739
global,0.25,Oviedo,1271,1270,0.999213217938631,0.3973903262092239,0.5378110236220472,0.39707017346671164,0.00032015274251223635
global,0.25,UKZN,2421,2421,1.0,0.3611061938199485,0.497819083023544,0.3611061938199485,0.0
global,0.25,Zambia,40,40,1.0,0.39666666666666667,0.496,0.39666666666666667,0.0
global,0.25,ALL,11875,11870,0.999578947368421,0.403978015806154,0.5241314237573717,0.40386005012531334,0.00011796568084065928
global,0.3,KU Leuven,1314,1314,1.0,0.3813872580995869,0.459710806697108,0.3813872580995869,0.0
