regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,UKZN,0.3611061938199485,OULAD,0.4246469886827187,0.0635407948627702,0.04479770594352065,0.21263089536555096,1000
global,coverage,True,Zambia,0.175,OULAD,0.5908624981695709,0.41586249816957094,0.3063033702714926,0.5963946311305386,1000
global,mean_cross_tau,True,KU Leuven,0.4014517912263723,OULAD,0.4921720658523633,0.09072027462599097,0.043476794335525946,0.1825745624699752,1000
cohort_calibrated,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
cohort_calibrated,mean_cross_tau,True,UKZN,0.3852148835900683,OULAD,0.4812001101018442,0.09598522651177593,0.059335906812916624,0.2180560903059798,1000
oracle,coverage,True,OULAD,0.55732903792649,Zambia,0.575,0.017670962073509933,0.005293556352932568,0.03393825341117319,1000
oracle,mean_cross_tau,True,UKZN,0.49229795315467395,OULAD,0.5777844506168206,0.08548649746214665,0.06320138365623659,0.21599007462969283,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,UKZN,0.3611061938199485,OULAD,0.4246469886827187,0.0635407948627702,0.034420342690516796,0.1848194595036839,1000
global,coverage,False,UKZN,0.4423791821561338,OULAD,0.5908624981695709,0.14848331601343712,0.05878899461438539,0.2987937397501905,1000
global,mean_cross_tau,False,KU Leuven,0.4014517912263723,OULAD,0.4921720658523633,0.09072027462599097,0.040517006739342346,0.1825745624699752,1000
cohort_calibrated,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
cohort_calibrated,mean_cross_tau,False,UKZN,0.3852148835900683,OULAD,0.4812001101018442,0.09598522651177593,0.049328168935434374,0.215542988523905,1000
oracle,coverage,False,OULAD,0.55732903792649,Oviedo,0.5625491738788355,0.005220135952345495,0.0028014444560294062,0.00891716172166302,1000
oracle,mean_cross_tau,False,UKZN,0.49229795315467395,OULAD,0.5777844506168206,0.08548649746214665,0.050655591897103815,0.19026560752865374,1000
