regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.24835191989616723,KU Leuven,0.593485257695669,0.3451333377995017,0.29071207054263754,0.4055674533058627,1000
global,coverage,True,Zambia,0.175,OULAD,0.5908624981695709,0.41586249816957094,0.3080057013491919,0.6067617545360566,1000
global,mean_cross_tau,True,OULAD,0.32672032986048993,KU Leuven,0.631439608273491,0.30471927841300106,0.24597348137685973,0.37425758541751925,1000
cohort_calibrated,coverage,True,OULAD,0.5577683408991068,Zambia,0.6,0.042231659100893215,0.03291872124709658,0.053504471069910534,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.33493075309690795,KU Leuven,0.6351930325735087,0.3002622794766007,0.24003134096910256,0.3633785355523398,1000
oracle,coverage,True,OULAD,0.5577683408991068,Zambia,0.6,0.042231659100893215,0.03291872124709658,0.053504471069910534,1000
oracle,mean_cross_tau,True,OULAD,0.45078522418885725,KU Leuven,0.699990903517042,0.24920567932818471,0.1967445325727485,0.3068660141815545,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.24835191989616723,KU Leuven,0.593485257695669,0.3451333377995017,0.29071207054263754,0.4055674533058627,1000
global,coverage,False,UKZN,0.4423791821561338,OULAD,0.5908624981695709,0.14848331601343712,0.06213524453885132,0.3023594390255957,1000
global,mean_cross_tau,False,OULAD,0.32672032986048993,KU Leuven,0.631439608273491,0.30471927841300106,0.24597348137685973,0.37425758541751925,1000
cohort_calibrated,coverage,False,OULAD,0.5577683408991068,Oviedo,0.5660989456609895,0.008330604761882743,0.00491145247836394,0.013767190963087195,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.33493075309690795,KU Leuven,0.6351930325735087,0.3002622794766007,0.23914145130682815,0.3633785355523398,1000
oracle,coverage,False,OULAD,0.5577683408991068,Oviedo,0.5660989456609895,0.008330604761882743,0.00491145247836394,0.013767190963087195,1000
oracle,mean_cross_tau,False,OULAD,0.45078522418885725,KU Leuven,0.699990903517042,0.24920567932818471,0.19401993828193184,0.3068660141815545,1000
