regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.4467832902964821,0.5060882800608828,0.4467832902964821,0.0
global,0.0,OULAD,6829,6698,0.9808171035290673,0.44483783361060164,0.5548103911615407,0.44065714146253027,0.004180692148071374
global,0.0,Oviedo,1271,1266,0.996066089693155,0.3684252761853111,0.5137914691943128,0.36833218660457395,9.308958073717122e-05
global,0.0,UKZN,2421,2392,0.9880214787277984,0.42421563943303076,0.5378428093645485,0.42215141322948013,0.002064226203550623
global,0.0,Zambia,40,38,0.95,0.489981892069716,0.5773684210526316,0.490244702228135,-0.00026281015841900235
global,0.0,ALL,11875,11708,0.9859368421052631,0.4327269024638239,0.5415134950461223,0.429988162626468,0.002738739837355897
global,0.05,KU Leuven,1314,1314,1.0,0.4467832902964821,0.5060882800608828,0.4467832902964821,0.0
global,0.05,OULAD,6829,6575,0.9628056816517792,0.44822741263805904,0.5571346007604563,0.44065714146253027,0.0075702711755287755
global,0.05,Oviedo,1271,1258,0.989771833202203,0.3686787187774503,0.5139427662957075,0.36833218660457395,0.00034653217287633487
global,0.05,UKZN,2421,2364,0.976456009913259,0.42515510434292164,0.5382402707275804,0.42215141322948013,0.003003691113441509
global,0.05,Zambia,40,32,0.8,0.5009011158804069,0.570625,0.490244702228135,0.010656413652271879
global,0.05,ALL,11875,11543,0.9720421052631579,0.43481433008244713,0.542784371480551,0.429988162626468,0.004826167455979136
global,0.1,KU Leuven,1314,1314,1.0,0.4467832902964821,0.5060882800608828,0.4467832902964821,0.0
global,0.1,OULAD,6829,6419,0.9399619270757066,0.45068731963886977,0.5593176507244119,0.44065714146253027,0.0100301781763395
global,0.1,Oviedo,1271,1239,0.974822974036192,0.36982030026759993,0.515044390637611,0.36833218660457395,0.0014881136630259806
global,0.1,UKZN,2421,2337,0.9653035935563816,0.4258573262424354,0.5384681215233206,0.42215141322948013,0.003705913012955253
global,0.1,Zambia,40,30,0.75,0.5006437299549736,0.5640000000000001,0.490244702228135,0.01039902772683865
global,0.1,ALL,11875,11339,0.9548631578947369,0.436413297783778,0.5440268101243497,0.429988162626468,0.006425135157310025
global,0.15,KU Leuven,1314,1314,1.0,0.4467832902964821,0.5060882800608828,0.4467832902964821,0.0
global,0.15,OULAD,6829,6158,0.9017425684580466,0.45773983513509336,0.5636830139655732,0.44065714146253027,0.0170826936725631
global,0.15,Oviedo,1271,1217,0.957513768686074,0.3709494225716118,0.5159572719802793,0.36833218660457395,0.0026172359670378342
global,0.15,UKZN,2421,2268,0.9368029739776952,0.42975560594608214,0.5405026455026455,0.42215141322948013,0.00760419271660201
global,0.15,Zambia,40,26,0.65,0.49781236240225896,0.5438461538461539,0.490244702228135,0.007567660174123969
global,0.15,ALL,11875,10983,0.9248842105263158,0.4411280552844676,0.5466703086588364,0.429988162626468,0.011139892657999584
global,0.2,KU Leuven,1314,1312,0.9984779299847792,0.4469852683086937,0.506234756097561,0.4467832902964821,0.00020197801221155665
global,0.2,OULAD,6829,5882,0.8613266949773026,0.463460760026554,0.5669806188371302,0.44065714146253027,0.022803618564023742
global,0.2,Oviedo,1271,1178,0.926829268292683,0.3735530112645599,0.5188455008488965,0.36833218660457395,0.0052208246599859676
global,0.2,UKZN,2421,2211,0.9132589838909542,0.43068208739850533,0.540479421076436,0.42215141322948013,0.008530674169025199
global,0.2,Zambia,40,24,0.6,0.5051697418087965,0.5441666666666667,0.490244702228135,0.014925039580661492
global,0.2,ALL,11875,10607,0.8932210526315789,0.44469958318170594,0.5485453002734043,0.429988162626468,0.014711420555237942
global,0.25,KU Leuven,1314,1308,0.9954337899543378,0.4475949509407721,0.5064678899082569,0.4467832902964821,0.0008116606442900021
global,0.25,OULAD,6829,5409,0.7920632596280568,0.4746357481798414,0.5739471251617674,0.44065714146253027,0.03397860671731112
global,0.25,Oviedo,1271,1108,0.8717545239968528,0.3791247814818076,0.5236281588447653,0.36833218660457395,0.010792594877233663
global,0.25,UKZN,2421,2085,0.8612143742255266,0.43579764759620876,0.5434052757793765,0.42215141322948013,0.013646234366728627
global,0.25,Zambia,40,20,0.5,0.5173706073864389,0.542,0.490244702228135,0.02712590515830393
global,0.25,ALL,11875,9930,0.8362105263157895,0.4523479076538729,0.5529667673716012,0.429988162626468,0.022359745027404898
global,0.3,KU Leuven,1314,1295,0.9855403348554034,0.4489184817959599,0.5065019305019305,0.4467832902964821,0.002135191499477773
global,0.3,OULAD,6829,4805,0.7036169278078782,0.488195827758783,0.5825390218522373,0.44065714146253027,0.04753868629625274
global,0.3,Oviedo,1271,989,0.7781274586939417,0.38598226472788444,0.5297067745197169,0.36833218660457395,0.017650078123310486
global,0.3,UKZN,2421,1917,0.79182156133829,0.4404053953349728,0.5449556598852374,0.42215141322948013,0.018253982105492672
global,0.3,Zambia,40,17,0.425,0.5061330669276658,0.5388235294117647,0.490244702228135,0.01588836469953081
global,0.3,ALL,11875,9023,0.7598315789473684,0.46123553708495085,0.5577679264102848,0.429988162626468,0.031247374458482857
global,0.35,KU Leuven,1314,1277,0.971841704718417,0.4509802778998817,0.5071887235708692,0.4467832902964821,0.004196987603399593
