regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,Oviedo,0.36833218660457395,Zambia,0.490244702228135,0.12191251562356104,0.05183394072775782,0.2690328467148463,1000
global,coverage,True,Zambia,0.0,KU Leuven,0.0395738203957382,0.0395738203957382,0.01148903561890071,0.07377393615933998,1000
global,mean_cross_tau,True,,,,,,,,0
cohort_calibrated,coverage,True,KU Leuven,0.00837138508371385,Zambia,0.05,0.04162861491628615,0.03689906619441011,0.04735287465923399,1000
cohort_calibrated,mean_cross_tau,True,Zambia,0.39658338903018786,OULAD,0.5502487562189055,0.1536653671887176,0.10509641950619177,0.2854541026360154,1000
oracle,coverage,True,KU Leuven,0.00837138508371385,Zambia,0.05,0.04162861491628615,0.03689906619441011,0.04735287465923399,1000
oracle,mean_cross_tau,True,Oviedo,0.6466071905634738,OULAD,0.7776830135039091,0.1310758229404353,0.08095923520923529,0.227604893407231,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,Oviedo,0.36833218660457395,KU Leuven,0.4467832902964821,0.07845110369190816,0.031246322957057853,0.2400902323360862,1000
global,coverage,False,OULAD,0.0013179089178503441,KU Leuven,0.0395738203957382,0.03825591147788786,0.010313681277280462,0.07227600123718265,1000
global,mean_cross_tau,False,Oviedo,0.5142857142857143,OULAD,0.6698412698412699,0.15555555555555556,0.07976190476190478,0.4264996907854051,976
cohort_calibrated,coverage,False,KU Leuven,0.00837138508371385,Oviedo,0.01730920535011802,0.008937820266404169,0.00611095664220186,0.013037933907050842,1000
cohort_calibrated,mean_cross_tau,False,Oviedo,0.4484737691448938,OULAD,0.5502487562189055,0.10177498707401167,0.05078690149496556,0.2854541026360154,1000
oracle,coverage,False,KU Leuven,0.00837138508371385,Oviedo,0.01730920535011802,0.008937820266404169,0.00611095664220186,0.013037933907050842,1000
oracle,mean_cross_tau,False,Oviedo,0.6466071905634738,OULAD,0.7776830135039091,0.1310758229404353,0.07701891572442732,0.22571392557022804,1000
