regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.609047698572615,0.629558599695586,0.609047698572615,0.0
global,0.0,OULAD,6829,6698,0.9808171035290673,0.2621930025168546,0.46650343386085397,0.2600830306567363,0.002109971860118298
global,0.0,Oviedo,1216,1211,0.9958881578947368,0.5009506006289145,0.5663088356729975,0.4999297771294467,0.0010208234994678045
global,0.0,UKZN,2421,2392,0.9880214787277984,0.4699962677913206,0.5560785953177257,0.4667154459348522,0.0032808218564683855
global,0.0,Zambia,40,38,0.95,0.4046748110242791,0.4731578947368421,0.4043743806729633,0.00030043035131582796
global,0.0,ALL,11820,11653,0.9858714043993232,0.36923687458334215,0.5136702994936926,0.3663623833421211,0.002874491241221022
global,0.05,KU Leuven,1314,1314,1.0,0.609047698572615,0.629558599695586,0.609047698572615,0.0
global,0.05,OULAD,6829,6575,0.9628056816517792,0.26333302857450436,0.4671513307984791,0.2600830306567363,0.0032499979177680327
global,0.05,Oviedo,1216,1203,0.9893092105263158,0.501629847764149,0.5665336658354114,0.4999297771294467,0.0017000706347022887
global,0.05,UKZN,2421,2364,0.976456009913259,0.47220879055439124,0.5571150592216582,0.4667154459348522,0.005493344619539042
global,0.05,Zambia,40,32,0.8,0.43493194319278705,0.484375,0.4043743806729633,0.030557562519823778
global,0.05,ALL,11820,11488,0.971912013536379,0.3712903419842274,0.5146953342618384,0.3663623833421211,0.004927958642106267
global,0.1,KU Leuven,1314,1314,1.0,0.609047698572615,0.629558599695586,0.609047698572615,0.0
global,0.1,OULAD,6829,6419,0.9399619270757066,0.2637282658898889,0.4682816638105624,0.2600830306567363,0.0036452352331525772
global,0.1,Oviedo,1216,1184,0.9736842105263158,0.5044789993797507,0.5676182432432432,0.4999297771294467,0.004549222250304019
global,0.1,UKZN,2421,2337,0.9653035935563816,0.4750453340953989,0.5585194694052203,0.4667154459348522,0.008329888160546695
global,0.1,Zambia,40,30,0.75,0.4497026972903387,0.49866666666666665,0.4043743806729633,0.04532831661737541
global,0.1,ALL,11820,11284,0.9546531302876481,0.37346114645842743,0.5162548741581,0.3663623833421211,0.007098763116306306
global,0.15,KU Leuven,1314,1314,1.0,0.609047698572615,0.629558599695586,0.609047698572615,0.0
global,0.15,OULAD,6829,6158,0.9017425684580466,0.26801516824530597,0.47104254628126013,0.2600830306567363,0.007932137588569643
global,0.15,Oviedo,1216,1162,0.9555921052631579,0.5068070606658451,0.5688640275387263,0.4999297771294467,0.0068772835363984375
global,0.15,UKZN,2421,2268,0.9368029739776952,0.48050109540957897,0.5606349206349206,0.4667154459348522,0.013785649474726769
global,0.15,Zambia,40,26,0.65,0.4723246109053745,0.51,0.4043743806729633,0.0679502302324112
global,0.15,ALL,11820,10928,0.9245346869712352,0.37899824402865917,0.5191910688140557,0.3663623833421211,0.012635860686538047
