regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.629558599695586,0.609047698572615,1.0,1.0,1.0,1000,0.609047698572615,0.5836021874372308,0.6367924741371455,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.46519548982281445,0.2600830306567363,1.0,1.0,1.0,1000,0.2600830306567363,0.23021939017830576,0.2951014784533443,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1216,1216,0.5655921052631578,0.4999297771294467,1.0,1.0,1.0,1000,0.4999297771294467,0.4548534553292241,0.5378839359364987,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5545229244114003,0.4667154459348522,1.0,1.0,1.0,1000,0.4667154459348522,0.4112182654801094,0.5175100493642257,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.47450000000000003,0.4043743806729633,1.0,1.0,1.0,1000,0.4043743806729633,0.3295895716677704,0.49577803612375454,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11820,11820,0.5121235194585447,0.3663623833421211,1.0,1.0,1.0,1000,0.3663623833421211,0.34163187297682857,0.39338741467279864,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,52,0.7050000000000001,0.609047698572615,0.0395738203957382,0.010238907849829351,0.07377393615933998,1000,0.6899171282700275,0.6544018224103526,0.7445423721983133,1000,0.08086942969741251,0.05463883090015309,0.1292744019594392,1000,0.3759906886857628,0.24583716576299716,0.5800615614759485,1000
global,0.8,OULAD,6829,9,0.7866666666666666,0.2600830306567363,0.0013179089178503441,0.00014370249944401476,0.003187196647408422,1000,0.6437776548987678,0.0285714285714285,0.7801283509871128,987,0.3836946242420315,-0.21252005898147325,0.5019440905349268,987,0.8015395755898915,-0.4417839735382617,1.0623430597693075,987
global,0.8,Oviedo,1216,6,0.6166666666666666,0.4999297771294467,0.004934210526315789,0.0008957407196322049,0.009828521703521702,1000,0.6547836849533014,0.47352688882089616,0.7382949103163154,992,0.15485390782385472,-0.02049626919800057,0.25446008208889204,992,0.6358391419522715,-0.07720944212241014,0.9915186163899407,992
global,0.8,UKZN,2421,23,0.722608695652174,0.4667154459348522,0.00950020652622883,0.002136666666666667,0.018052205833402436,1000,0.7137151105991658,0.6753849864660602,0.7260777960619004,997,0.2469996646643136,0.19772461579610356,0.2940719142920642,997,0.8549442623842979,0.7251840822361664,0.966770643898135,997
global,0.8,Zambia,40,0,,0.4043743806729633,0.0,0.0,0.0,1000,,,,0,,,,0,,,,0
global,0.8,ALL,11820,90,0.7117777777777778,0.3663623833421211,0.007614213197969543,0.00368823846989112,0.01273727396175718,1000,0.6890426579736774,0.6524044493361736,0.7248358756745947,1000,0.32268027463155624,0.28483843173328105,0.3596056316702776,1000,0.8787375647983762,0.7637808220312906,0.9659081285571667,1000
cohort_calibrated,0.007614213197969543,KU Leuven,1314,11,0.7454545454545454,0.609047698572615,0.00837138508371385,0.00812407680945347,0.008662175168431183,1000,0.7241341952769191,0.6700034310820076,0.7681163037027817,1000,0.11508649670430415,0.060107978139738893,0.16568840949707742,1000,0.47449215368029696,0.24673568699557838,0.6437790657974743,1000
cohort_calibrated,0.007614213197969543,OULAD,6829,67,0.6167164179104477,0.2600830306567363,0.009811099721774784,0.009575599811862871,0.009972677595628416,1000,0.43377323606803364,0.32918985714041793,0.5276890145739667,1000,0.17369020541129732,0.07800481793743168,0.25520178077692146,1000,0.3922099734443804,0.17623378950157004,0.567142395498264,1000
cohort_calibrated,0.007614213197969543,Oviedo,1216,22,0.6045454545454546,0.4999297771294467,0.018092105263157895,0.01494632025812338,0.023041727579456415,1000,0.5915120177320079,0.5039215729724199,0.6590671629570807,1000,0.0915822406025612,0.009933289739417171,0.1637605384738775,1000,0.37019008839271955,0.04250768924871066,0.6281732942155245,1000
cohort_calibrated,0.007614213197969543,UKZN,2421,25,0.604,0.4667154459348522,0.010326311441553077,0.009208226852529795,0.012619740525169945,1000,0.5637746284879129,0.44681119052298274,0.6513057261234692,1000,0.09705918255306073,0.007262550441227074,0.16371968468713802,1000,0.3333965861476493,0.02491444702289351,0.5511375977376437,1000
cohort_calibrated,0.007614213197969543,Zambia,40,2,0.62,0.4043743806729633,0.05,0.045454545454545456,0.05555555555555555,1000,0.5252201484367938,0.4967642561854218,0.5536760406881658,1000,0.12084576776383049,0.05789800456441124,0.16717468451765138,1000,0.4798137429555214,0.24957515234567157,0.6552930325396477,1000
cohort_calibrated,0.007614213197969543,ALL,11820,127,0.6233070866141731,0.3663623833421211,0.01074450084602369,0.0103197263072322,0.011159275818598345,1000,0.5132783729431493,0.4560253520037668,0.5677620185100952,1000,0.14691598960102814,0.09664097402218576,0.19326990336367864,1000,0.4000882888777787,0.26826886769553815,0.5210007094984017,1000
oracle,0.007614213197969543,KU Leuven,1314,11,0.8727272727272727,0.609047698572615,0.00837138508371385,0.00812407680945347,0.008662175168431183,1000,0.8515943788741971,0.8408806607504308,0.861393566167703,1000,0.2425466803015821,0.21619763445510634,0.2631332757028097,1000,1.0,1.0,1.0,1000
oracle,0.007614213197969543,OULAD,6829,67,0.7838805970149254,0.2600830306567363,0.009811099721774784,0.009575599811862871,0.009972677595628416,1000,0.7029330782624953,0.6696612192559369,0.7381840192116189,1000,0.44285004760575897,0.4257636009971826,0.459569251760307,1000,1.0,1.0,1.0,1000
