regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.0,OULAD,6829,6829,1.0,0.22878759352620825,0.46975545467857666,0.22878759352620825,0.0
global,0.0,Oviedo,1271,1271,1.0,0.49830279869618976,0.5645790715971676,0.49830279869618976,0.0
global,0.0,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.0,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.0,ALL,11875,11875,1.0,0.3460178446115288,0.5162273684210527,0.3460178446115288,0.0
global,0.05,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.05,OULAD,6829,6829,1.0,0.22878759352620825,0.46975545467857666,0.22878759352620825,0.0
global,0.05,Oviedo,1271,1271,1.0,0.49830279869618976,0.5645790715971676,0.49830279869618976,0.0
global,0.05,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.05,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.05,ALL,11875,11875,1.0,0.3460178446115288,0.5162273684210527,0.3460178446115288,0.0
global,0.1,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.1,OULAD,6829,6829,1.0,0.22878759352620825,0.46975545467857666,0.22878759352620825,0.0
global,0.1,Oviedo,1271,1270,0.999213217938631,0.49868766404199477,0.5648031496062992,0.49830279869618976,0.00038486534580500775
global,0.1,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.1,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.1,ALL,11875,11874,0.9999157894736842,0.34604618333774473,0.5162472629274044,0.3460178446115288,2.833872621593736e-05
global,0.15,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.15,OULAD,6829,6828,0.9998535656757944,0.22880296817027923,0.46975395430579964,0.22878759352620825,1.5374644070975663e-05
global,0.15,Oviedo,1271,1270,0.999213217938631,0.49868766404199477,0.5648031496062992,0.49830279869618976,0.00038486534580500775
global,0.15,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.15,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.15,ALL,11875,11873,0.9998315789473684,0.34606490115628497,0.5162503158426682,0.3460178446115288,4.705654475617438e-05
global,0.2,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.2,OULAD,6829,6826,0.9995606970273833,0.2288783781898344,0.469827131555816,0.22878759352620825,9.078466362613669e-05
global,0.2,Oviedo,1271,1270,0.999213217938631,0.49868766404199477,0.5648031496062992,0.49830279869618976,0.00038486534580500775
global,0.2,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.2,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.2,ALL,11875,11871,0.9996631578947368,0.34612801906206,0.5163002274450341,0.3460178446115288,0.00011017445053118635
global,0.25,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.25,OULAD,6829,6825,0.9994142627031776,0.2288937728937729,0.4698490842490842,0.22878759352620825,0.00010617936756465718
global,0.25,Oviedo,1271,1270,0.999213217938631,0.49868766404199477,0.5648031496062992,0.49830279869618976,0.00038486534580500775
global,0.25,UKZN,2421,2421,1.0,0.47070277925296516,0.5603552251135894,0.47070277925296516,0.0
global,0.25,Zambia,40,40,1.0,0.5052380952380953,0.5145,0.5052380952380953,0.0
global,0.25,ALL,11875,11870,0.999578947368421,0.3461467485056364,0.5163167649536646,0.3460178446115288,0.0001289038941076348
global,0.3,KU Leuven,1314,1314,1.0,0.5734000144959049,0.6297260273972602,0.5734000144959049,0.0
global,0.3,OULAD,6829,6821,0.9988285254063552,0.22902241676614937,0.46996041636123737,0.22878759352620825,0.00023482323994111765
global,0.3,Oviedo,1271,1269,0.998426435877262,0.4989680663439529,0.5650433412135539,0.49830279869618976,0.0006652676477631458
