regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5732260636370226,0.6368645357686454,0.5732260636370226,0.0
global,0.0,OULAD,6829,6829,1.0,0.256077373107685,0.4728481476057988,0.256077373107685,0.0
global,0.0,Oviedo,1271,1270,0.999213217938631,0.48076490438695163,0.5608661417322834,0.4803941403469335,0.00037076404001812335
global,0.0,UKZN,2421,2420,0.9995869475423379,0.4523652105470288,0.5468760330578513,0.45226097047658387,0.00010424007044490535
global,0.0,Zambia,40,40,1.0,0.44333333333333336,0.491,0.44333333333333336,0.0
global,0.0,ALL,11875,11873,0.9998315789473684,0.3558494062157837,0.5155647266908111,0.35580711779448626,4.228842129744281e-05
global,0.05,KU Leuven,1314,1314,1.0,0.5732260636370226,0.6368645357686454,0.5732260636370226,0.0
global,0.05,OULAD,6829,6828,0.9998535656757944,0.256082796328842,0.4728617457527826,0.256077373107685,5.423221156986013e-06
global,0.05,Oviedo,1271,1270,0.999213217938631,0.48076490438695163,0.5608661417322834,0.4803941403469335,0.00037076404001812335
global,0.05,UKZN,2421,2418,0.9987608426270136,0.4526448461932333,0.5469478908188585,0.45226097047658387,0.00038387571664944
global,0.05,Zambia,40,40,1.0,0.44333333333333336,0.491,0.44333333333333336,0.0
global,0.05,ALL,11875,11870,0.999578947368421,0.35590163276768166,0.5155855096882899,0.35580711779448626,9.451497319540314e-05
global,0.1,KU Leuven,1314,1314,1.0,0.5732260636370226,0.6368645357686454,0.5732260636370226,0.0
global,0.1,OULAD,6829,6823,0.9991213940547664,0.25616297816209876,0.47293859006302214,0.256077373107685,8.560505441373989e-05
global,0.1,Oviedo,1271,1269,0.998426435877262,0.4810161732147548,0.5610086682427108,0.4803941403469335,0.0006220328678213094
global,0.1,UKZN,2421,2416,0.9979347377116894,0.452924944812362,0.5470860927152318,0.45226097047658387,0.0006639743357781391
global,0.1,Zambia,40,40,1.0,0.44333333333333336,0.491,0.44333333333333336,0.0
global,0.1,ALL,11875,11862,0.9989052631578947,0.35604692053857456,0.5156820097791267,0.35580711779448626,0.00023980274408830216
global,0.15,KU Leuven,1314,1314,1.0,0.5732260636370226,0.6368645357686454,0.5732260636370226,0.0
global,0.15,OULAD,6829,6818,0.9983892224337385,0.2562991521043736,0.4730448811968319,0.256077373107685,0.00022177899668857082
global,0.15,Oviedo,1271,1268,0.997639653815893,0.48122277302088035,0.5611041009463723,0.4803941403469335,0.0008286326739468386
global,0.15,UKZN,2421,2412,0.9962825278810409,0.45354181473584465,0.5473051409618573,0.45226097047658387,0.0012808442592607827
global,0.15,Zambia,40,40,1.0,0.44333333333333336,0.491,0.44333333333333336,0.0
