regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.6526179604261796,0.5843009349858665,1.0,1.0,1.0,1000,0.5843009349858665,0.5208257757296466,0.6625472702573706,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.46418216429931175,0.22527038052005105,1.0,1.0,1.0,1000,0.22527038052005105,0.17503876079648925,0.2715324193696536,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.5652557041699449,0.49975647221910013,1.0,1.0,1.0,1000,0.49975647221910013,0.43594949396933674,0.5544671134003841,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5680049566294919,0.4751008044688342,1.0,1.0,1.0,1000,0.4751008044688342,0.41325802167476583,0.5434926330532213,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.5145,0.5052380952380953,1.0,1.0,1.0,1000,0.5052380952380953,0.41375661375661377,0.5800865800865801,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.5171873684210526,0.34625363408521304,1.0,1.0,1.0,1000,0.34625363408521304,0.3125626871752268,0.3803646287374103,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,1102,0.6606352087114338,0.5843009349858665,0.8386605783866058,0.7126611068991661,0.9297347858062144,1000,0.5946936306282948,0.5294764918625678,0.6798127561214297,1000,0.010392695642428285,0.0019294591243403409,0.028464474989164237,1000,0.25303043873217945,0.07424417935294395,0.45389821803648267,1000
global,0.8,OULAD,6829,5264,0.4905623100303952,0.22527038052005105,0.7708302826182457,0.7187219385470861,0.8183037912633964,1000,0.2611267911419887,0.20910188506939928,0.31111756441963473,1000,0.03585641062193767,0.026260026307388495,0.04732019685114529,1000,0.3054609717980358,0.2366597686686268,0.3773786436831157,1000
global,0.8,Oviedo,1271,836,0.5867703349282297,0.49975647221910013,0.6577498033044846,0.5454439942601502,0.7527090106415107,1000,0.5506949191159718,0.49956563882761396,0.5954122365251885,1000,0.05093844689687166,0.016422957189719097,0.08586945017794377,1000,0.4763698567325537,0.16123986903130605,0.7257371727457467,1000
global,0.8,UKZN,2421,1687,0.5836395969176053,0.4751008044688342,0.6968194960760017,0.6285165943590701,0.7818582392118045,1000,0.5099443926948373,0.452791747164718,0.5718042275185133,1000,0.034843588226003086,0.015959905068130453,0.05056636590214915,1000,0.32169470052041166,0.1550828603005096,0.48548530472948737,1000
global,0.8,Zambia,40,6,0.6233333333333334,0.5052380952380953,0.15,0.05555555555555555,0.22727272727272727,1000,0.6380952380952382,0.523809523809524,0.6609523809523811,1000,0.1328571428571429,0.08086580086580097,0.1328571428571429,1000,0.8300042498937525,0.58594730238394,0.8300042498937525,1000
global,0.8,ALL,11875,8895,0.5384170882518269,0.34625363408521304,0.7490526315789474,0.7109700243697282,0.7852451520728811,1000,0.3771118070612169,0.3412168826113899,0.4141322391854367,1000,0.03085817297600385,0.019498118007886346,0.04319455148522141,1000,0.285445494859252,0.18462246764581755,0.3889729660457728,1000
cohort_calibrated,0.7490526315789474,KU Leuven,1314,988,0.6666599190283401,0.5843009349858665,0.7519025875190258,0.7507409991509824,0.752895752895753,1000,0.6026604973973395,0.5392235114702264,0.6840104266783167,1000,0.018359562411472963,0.010826537934266245,0.02467954240557352,1000,0.31179230191928686,0.20054334699873289,0.3919914797865135,1000
cohort_calibrated,0.7490526315789474,OULAD,6829,5122,0.4937914877001171,0.22527038052005105,0.7500366085810514,0.7498955577217657,0.750231124807396,1000,0.26901693906770047,0.21830522760720342,0.3181370762591667,1000,0.04374655854764942,0.0373559745561536,0.05096069926238473,1000,0.3425778837573923,0.2981562132204124,0.38888954753039556,1000
cohort_calibrated,0.7490526315789474,Oviedo,1271,960,0.5814166666666666,0.49975647221910013,0.7553107789142408,0.7534046382358301,0.7576492336468721,1000,0.5202976190476191,0.4560196818210401,0.5747256209941553,1000,0.02054114682851893,0.008546489221707889,0.030317524486285344,1000,0.24577552392692992,0.09637311196517723,0.36352087242110026,1000
cohort_calibrated,0.7490526315789474,UKZN,2421,1821,0.5829324546952224,0.4751008044688342,0.7521685254027262,0.7509839332340582,0.7542816638397016,1000,0.5037159070107999,0.44719079046422444,0.567381503021033,1000,0.028615102541965753,0.01899786984260182,0.03846032352115834,1000,0.310389847027178,0.2197415503815373,0.4028648983282538,1000
cohort_calibrated,0.7490526315789474,Zambia,40,31,0.5296774193548388,0.5052380952380953,0.775,0.7727272727272727,0.7777777777777778,1000,0.5397849462365591,0.4421768707482993,0.6201680672268909,1000,0.034546850998463885,0.028420256991685544,0.04008148714031079,1000,0.6231643114436122,0.5108695652173909,0.7187214611872159,1000
