regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5771979415815033,0.6298782343987823,0.5771979415815033,0.0
global,0.0,OULAD,6829,6715,0.9833064870405623,0.2579314257348509,0.47493968726731195,0.2561415252878132,0.0017899004470376956
global,0.0,Oviedo,1271,1265,0.995279307631786,0.49259552042160737,0.5634940711462451,0.4910344310816381,0.0015610893399692904
global,0.0,UKZN,2421,2404,0.9929781082197439,0.4610569685444894,0.5517554076539102,0.45957003206073843,0.001486936483750978
global,0.0,Zambia,40,40,1.0,0.4800000000000001,0.5085,0.4800000000000001,0.0
global,0.0,ALL,11875,11738,0.9884631578947368,0.3613189559347338,0.5176742204804907,0.35903598997493735,0.0022829659597964347
global,0.05,KU Leuven,1314,1314,1.0,0.5771979415815033,0.6298782343987823,0.5771979415815033,0.0
global,0.05,OULAD,6829,6551,0.9592912578708449,0.2602888690203604,0.47667226377652266,0.2561415252878132,0.004147343732547215
global,0.05,Oviedo,1271,1256,0.988198269079465,0.49378222626630275,0.5639490445859873,0.4910344310816381,0.0027477951846646698
global,0.05,UKZN,2421,2376,0.9814126394052045,0.4625300625300625,0.5524326599326599,0.45957003206073843,0.002960030469324082
global,0.05,Zambia,40,40,1.0,0.4800000000000001,0.5085,0.4800000000000001,0.0
global,0.05,ALL,11875,11537,0.9715368421052631,0.36421534029231,0.5193360492329028,0.35903598997493735,0.005179350317372655
global,0.1,KU Leuven,1314,1314,1.0,0.5771979415815033,0.6298782343987823,0.5771979415815033,0.0
global,0.1,OULAD,6829,6414,0.9392297554546786,0.26230121608980356,0.47797630183972556,0.2561415252878132,0.0061596908019903585
global,0.1,Oviedo,1271,1241,0.97639653815893,0.49612064003683665,0.5650926672038679,0.4910344310816381,0.005086208955198568
global,0.1,UKZN,2421,2349,0.9702602230483272,0.4643799793225081,0.5536568752660707,0.45957003206073843,0.004809947261769643
global,0.1,Zambia,40,37,0.925,0.4800514800514801,0.5,0.4800000000000001,5.148005147997958e-05
global,0.1,ALL,11875,11355,0.9562105263157895,0.366808831855067,0.5208031704095112,0.35903598997493735,0.007772841880129666
global,0.15,KU Leuven,1314,1313,0.9992389649923896,0.5772240960359772,0.6298248286367099,0.5771979415815033,2.615445447395892e-05
global,0.15,OULAD,6829,6147,0.9001317908917851,0.2659369262590346,0.48044574589230515,0.2561415252878132,0.00979540097122139
global,0.15,Oviedo,1271,1206,0.9488591660110149,0.4999763089315329,0.5667330016583748,0.4910344310816381,0.008941877849894808
global,0.15,UKZN,2421,2289,0.9454770755885997,0.46789822962824273,0.555307994757536,0.45957003206073843,0.008328197567504303
global,0.15,Zambia,40,33,0.825,0.4712842712842713,0.4909090909090909,0.4800000000000001,-0.008715728715728788
global,0.15,ALL,11875,10988,0.9253052631578947,0.3715100455908611,0.5233927921368766,0.35903598997493735,0.01247405561592374
global,0.2,KU Leuven,1314,1307,0.9946727549467276,0.5776150398950706,0.630053557765876,0.5771979415815033,0.0004170983135672879
global,0.2,OULAD,6829,5882,0.8613266949773026,0.2699211476498114,0.48305678340700436,0.2561415252878132,0.0137796223619982
global,0.2,Oviedo,1271,1181,0.9291896144767899,0.5023426474738921,0.5676037256562235,0.4910344310816381,0.011308216392254045
global,0.2,UKZN,2421,2218,0.916150351094589,0.47200824423547605,0.5572768259693417,0.45957003206073843,0.012438212174737617
global,0.2,Zambia,40,29,0.725,0.4594417077175698,0.48,0.4800000000000001,-0.02055829228243028
global,0.2,ALL,11875,10617,0.8940631578947369,0.3763891692120005,0.5260544409908637,0.35903598997493735,0.017353179237063143
global,0.25,KU Leuven,1314,1296,0.9863013698630136,0.5781305114638448,0.6309104938271605,0.5771979415815033,0.0009325698823414719
global,0.25,OULAD,6829,5416,0.793088299897496,0.2805198002391503,0.4899556868537666,0.2561415252878132,0.024378274951337098
global,0.25,Oviedo,1271,1107,0.8709677419354839,0.5087710242181787,0.5717976513098465,0.4910344310816381,0.01773659313654058
global,0.25,UKZN,2421,2097,0.8661710037174721,0.47807525489928926,0.5614973772055317,0.45957003206073843,0.018505222838550828
global,0.25,Zambia,40,23,0.575,0.45590062111801244,0.4721739130434782,0.4800000000000001,-0.024099378881987654
global,0.25,ALL,11875,9939,0.8369684210526316,0.38683684762767173,0.532504276084113,0.35903598997493735,0.02780085765273438
global,0.3,KU Leuven,1314,1276,0.9710806697108066,0.580773249738767,0.6341222570532915,0.5771979415815033,0.0035753081572637013
global,0.3,OULAD,6829,4744,0.694684434031337,0.29418613988597125,0.4990851602023608,0.2561415252878132,0.038044614598158055
global,0.3,Oviedo,1271,962,0.7568843430369787,0.5256311256311257,0.5856133056133056,0.4910344310816381,0.034596694549487605
global,0.3,UKZN,2421,1867,0.7711689384551839,0.4876017037773867,0.5667809319764329,0.45957003206073843,0.028031671716648277
global,0.3,Zambia,40,20,0.5,0.4590476190476191,0.483,0.4800000000000001,-0.020952380952381
global,0.3,ALL,11875,8869,0.7468631578947369,0.4016096730720702,0.5421129777878002,0.35903598997493735,0.04257368309713283
global,0.35,KU Leuven,1314,1266,0.9634703196347032,0.581042654028436,0.6348657187993682,0.5771979415815033,0.003844712446932741
global,0.35,OULAD,6829,4305,0.6303997657050813,0.3092682926829268,0.5077862950058072,0.2561415252878132,0.05312676739511363
global,0.35,Oviedo,1271,841,0.6616837136113297,0.5363795934545044,0.5925326991676575,0.4910344310816381,0.04534516237286629
global,0.35,UKZN,2421,1679,0.6935150764147047,0.4970702515669759,0.572090530077427,0.45957003206073843,0.03750021950623744
global,0.35,Zambia,40,13,0.325,0.42857142857142855,0.46153846153846156,0.4800000000000001,-0.051428571428571546
global,0.35,ALL,11875,8104,0.6824421052631578,0.41439383255770224,0.5496816386969399,0.35903598997493735,0.05535784258276488
global,0.4,KU Leuven,1314,1233,0.9383561643835616,0.582605337349863,0.635831305758313,0.5771979415815033,0.005407395768359691
global,0.4,OULAD,6829,3431,0.5024161663493923,0.326582559575856,0.5172894199941708,0.2561415252878132,0.07044103428804283
global,0.4,Oviedo,1271,628,0.4940991345397325,0.5748862602365787,0.615063694267516,0.4910344310816381,0.08385182915494066
global,0.4,UKZN,2421,1380,0.5700123915737298,0.5076190476190476,0.5805652173913043,0.45957003206073843,0.048049015558309205
global,0.4,Zambia,40,3,0.075,0.4158730158730159,0.44,0.4800000000000001,-0.0641269841269842
global,0.4,ALL,11875,6675,0.5621052631578948,0.4347037631532014,0.5614322097378278,0.35903598997493735,0.07566777317826406
global,0.45,KU Leuven,1314,1166,0.8873668188736682,0.5851506983582456,0.6389708404802744,0.5771979415815033,0.007952756776742342
global,0.45,OULAD,6829,2633,0.38556157563332843,0.358341923932505,0.5343638435244967,0.2561415252878132,0.10220039864469183
global,0.45,Oviedo,1271,455,0.35798583792289534,0.5886970172684459,0.6275604395604396,0.4910344310816381,0.09766258618680784
global,0.45,UKZN,2421,1074,0.4436183395291202,0.5219295912033343,0.5932029795158287,0.45957003206073843,0.06235955914259583
global,0.45,Zambia,40,2,0.05,0.3619047619047619,0.41000000000000003,0.4800000000000001,-0.1180952380952382
global,0.45,ALL,11875,5330,0.4488421052631579,0.4605878674171357,0.5770131332082552,0.35903598997493735,0.10155187744219835
global,0.5,KU Leuven,1314,1107,0.8424657534246576,0.587628511205747,0.6416260162601626,0.5771979415815033,0.010430569624243713
global,0.5,OULAD,6829,2037,0.29828671840679455,0.37776842695841223,0.5407658321060382,0.2561415252878132,0.12162690167059903
global,0.5,Oviedo,1271,354,0.27852084972462626,0.6044659671778316,0.6451412429378531,0.4910344310816381,0.11343153609619355
global,0.5,UKZN,2421,898,0.37092110698058656,0.5277972213384241,0.6001336302895323,0.45957003206073843,0.06822718927768567
global,0.5,Zambia,40,1,0.025,0.3333333333333333,0.38,0.4800000000000001,-0.14666666666666678
global,0.5,ALL,11875,4397,0.3702736842105263,0.4794849302013278,0.5866499886286104,0.35903598997493735,0.12044894022639047
global,0.55,KU Leuven,1314,954,0.726027397260274,0.5933113706698613,0.6473375262054507,0.5771979415815033,0.016113429088358
global,0.55,OULAD,6829,1389,0.2033972763215698,0.4184236689636258,0.5662922966162707,0.2561415252878132,0.16228214367581262
global,0.55,Oviedo,1271,233,0.18332022029897718,0.6251788268955651,0.6630901287553648,0.4910344310816381,0.13414439581392706
global,0.55,UKZN,2421,609,0.25154894671623296,0.5409179763859567,0.6128735632183908,0.45957003206073843,0.0813479443252183
global,0.55,Zambia,40,1,0.025,0.3333333333333333,0.38,0.4800000000000001,-0.14666666666666678
global,0.55,ALL,11875,3186,0.26829473684210525,0.5092996143843602,0.6064846202134337,0.35903598997493735,0.15026362440942287
global,0.6,KU Leuven,1314,783,0.5958904109589042,0.5990755944778934,0.6536653895274585,0.5771979415815033,0.0218776528963901
global,0.6,OULAD,6829,834,0.12212622638746522,0.4434852118305356,0.5931654676258993,0.2561415252878132,0.18734368654272238
global,0.6,Oviedo,1271,153,0.12037765538945712,0.6404606286959229,0.6854901960784313,0.4910344310816381,0.14942619761428483
global,0.6,UKZN,2421,430,0.17761255679471294,0.550343300110742,0.6257674418604651,0.45957003206073843,0.09077326805000352
