regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.6298782343987823,0.5771979415815033,1.0,1.0,1.0,1000,0.5771979415815033,0.5357881272073197,0.6336135558656221,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.4735949626592473,0.2561415252878132,1.0,1.0,1.0,1000,0.2561415252878132,0.2190470111448835,0.2955173718913169,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.5624075531077892,0.4910344310816381,1.0,1.0,1.0,1000,0.4910344310816381,0.4426065969083484,0.53416446391882,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5508963238331268,0.45957003206073843,1.0,1.0,1.0,1000,0.45957003206073843,0.42590417499788935,0.49749171782238477,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.5085,0.4800000000000001,1.0,1.0,1.0,1000,0.4800000000000001,0.4536796536796537,0.5121693121693123,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.5162711578947369,0.35903598997493735,1.0,1.0,1.0,1000,0.35903598997493735,0.33289408778379903,0.3863499432562277,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,47,0.6957446808510639,0.5771979415815033,0.03576864535768645,0.010821699272590656,0.060987936233385415,1000,0.6267477203647417,0.5780219780219781,0.7207619047619047,1000,0.04954977878323841,0.022522291118668488,0.10888615430510507,1000,0.2828457996989411,0.12742048309569906,0.5671762796192811,1000
global,0.8,OULAD,6829,55,0.6490909090909092,0.2561415252878132,0.008053887831307659,0.0,0.025175196937472215,1000,0.8091774891774892,0.8091774891774892,0.8091774891774893,648,0.553035963889676,0.5106311729972927,0.5798972104977651,648,1.3009826270121083,1.2279840407653468,1.372371416413007,648
global,0.8,Oviedo,1271,3,0.8000000000000002,0.4910344310816381,0.0023603461841070024,0.0,0.006555858993941764,1000,0.7396825396825398,0.7333333333333334,0.7523809523809527,885,0.24864810860090175,0.20440327788339543,0.29669072565624305,885,0.9411228621479538,0.8101479175347338,1.0897175752383974,885
global,0.8,UKZN,2421,15,0.7426666666666667,0.45957003206073843,0.006195786864931847,0.0,0.01700285748622296,1000,0.5860317460317461,0.5768707482993197,0.7142857142857144,883,0.1264617139710077,0.09125570170089964,0.287481691506119,883,0.4399011251502501,0.3344619613138207,1.0,883
global,0.8,Zambia,40,0,,0.4800000000000001,0.0,0.0,0.0,1000,,,,0,,,,0,,,,0
global,0.8,ALL,11875,120,0.6828333333333334,0.35903598997493735,0.010105263157894737,0.0026976221520363898,0.020664380639330623,1000,0.708095238095238,0.5905876543209878,0.783819973130318,1000,0.34905924812030065,0.2327502155931805,0.4199339231795254,1000,0.9905408527058561,0.6595175127139233,1.1856565747501637,1000
cohort_calibrated,0.010105263157894737,KU Leuven,1314,17,0.7411764705882353,0.5771979415815033,0.01293759512937595,0.012236573759347382,0.014299332697807437,1000,0.666106442577031,0.6047619047619048,0.7221288515406163,1000,0.08890850099552772,0.047433571226966675,0.1237839816777776,1000,0.46040296905978373,0.2695012714485351,0.6265386092171299,1000
cohort_calibrated,0.010105263157894737,OULAD,6829,86,0.574186046511628,0.2561415252878132,0.012593351881681066,0.012403242973380519,0.012857025124840342,1000,0.40708748615725365,0.31136724236848873,0.49669588744588744,1000,0.15094596086944045,0.07397745116264573,0.22463213169963492,1000,0.35803177824387683,0.1790901739370732,0.5191424655456242,1000
cohort_calibrated,0.010105263157894737,Oviedo,1271,24,0.64,0.4910344310816381,0.01888276947285602,0.016457873471969434,0.02211110886424072,1000,0.6007936507936509,0.5323761904761904,0.661904761904762,1000,0.1097592197120128,0.05583220255250313,0.16051245552329146,1000,0.41123404135852876,0.21541955101871185,0.5836095481600213,1000
cohort_calibrated,0.010105263157894737,UKZN,2421,31,0.6529032258064517,0.45957003206073843,0.012804626187525816,0.01180569797483016,0.014611338398597311,1000,0.5870967741935483,0.5457848324514992,0.6183453583453583,1000,0.1275267421328099,0.07636996836841121,0.1723530924483233,1000,0.4556028456250234,0.3035684519633105,0.5787162759939377,1000
cohort_calibrated,0.010105263157894737,Zambia,40,2,0.46,0.4800000000000001,0.05,0.045454545454545456,0.05555555555555555,1000,0.4,0.3333333333333333,0.4666666666666667,1000,-0.08000000000000007,-0.12034632034632037,-0.0455026455026456,1000,-0.428571428571429,-0.9455782312925168,-0.18942731277533081,1000
cohort_calibrated,0.010105263157894737,ALL,11875,160,0.6156250000000001,0.35903598997493735,0.013473684210526317,0.013075573354594396,0.013927347838829143,1000,0.498452380952381,0.44617958741662356,0.5472708333333334,1000,0.13941639097744363,0.09683753682004428,0.18106258724364024,1000,0.39562805324205513,0.2769152703621106,0.5074107019601233,1000
oracle,0.010105263157894737,KU Leuven,1314,17,0.8294117647058823,0.5771979415815033,0.01293759512937595,0.012236573759347382,0.014299332697807437,1000,0.7703081232492998,0.7202380952380953,0.8264550264550264,1000,0.19311018166779648,0.1687235487528743,0.2075762139008801,1000,1.0,1.0,1.0,1000
oracle,0.010105263157894737,OULAD,6829,86,0.7306976744186046,0.2561415252878132,0.012593351881681066,0.012403242973380519,0.012857025124840342,1000,0.6777408637873755,0.646765867672143,0.7111021936864633,1000,0.4215993384995623,0.3909779333588432,0.45215501971667194,1000,1.0,1.0,1.0,1000
oracle,0.010105263157894737,Oviedo,1271,24,0.7516666666666666,0.4910344310816381,0.01888276947285602,0.016457873471969434,0.02211110886424072,1000,0.757936507936508,0.7225550536420102,0.7896504220417265,1000,0.26690207685486994,0.2371457551519117,0.3022100096914721,1000,1.0,1.0,1.0,1000
oracle,0.010105263157894737,UKZN,2421,31,0.7787096774193548,0.45957003206073843,0.012804626187525816,0.01180569797483016,0.014611338398597311,1000,0.7394777265745008,0.6946594516594518,0.7740062511491084,1000,0.2799076945137624,0.24381138081277942,0.31291744405490174,1000,1.0,1.0,1.0,1000
oracle,0.010105263157894737,Zambia,40,2,0.7,0.4800000000000001,0.05,0.045454545454545456,0.05555555555555555,1000,0.6666666666666667,0.580952380952381,0.7523809523809525,1000,0.18666666666666665,0.12727272727272732,0.2402116402116402,1000,1.0,1.0,1.0,1000
