regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.2561415252878132,KU Leuven,0.5771979415815033,0.3210564162936901,0.2583593102941841,0.39146862627267287,1000
global,coverage,True,Zambia,0.0,KU Leuven,0.03576864535768645,0.03576864535768645,0.012998266897746967,0.060987936233385415,1000
global,mean_cross_tau,True,,,,,,,,0
cohort_calibrated,coverage,True,OULAD,0.012593351881681066,Zambia,0.05,0.03740664811831894,0.03275798068218098,0.04352464817328553,1000
cohort_calibrated,mean_cross_tau,True,Zambia,0.4,KU Leuven,0.666106442577031,0.266106442577031,0.19827961715703654,0.37699378253325627,1000
oracle,coverage,True,OULAD,0.012593351881681066,Zambia,0.05,0.03740664811831894,0.03275798068218098,0.04352464817328553,1000
oracle,mean_cross_tau,True,Zambia,0.6666666666666667,KU Leuven,0.7703081232492998,0.10364145658263302,0.07220725154833693,0.22116402116402123,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.2561415252878132,KU Leuven,0.5771979415815033,0.3210564162936901,0.2583593102941841,0.39146862627267287,1000
global,coverage,False,Oviedo,0.0023603461841070024,KU Leuven,0.03576864535768645,0.03340829917357945,0.012305312772336213,0.05997778528536767,1000
global,mean_cross_tau,False,UKZN,0.5860317460317461,OULAD,0.8091774891774892,0.2231457431457431,0.1139393939393939,0.2323067408781696,506
cohort_calibrated,coverage,False,OULAD,0.012593351881681066,Oviedo,0.01888276947285602,0.006289417591174953,0.004055527243387507,0.009621807957638345,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.40708748615725365,KU Leuven,0.666106442577031,0.25901895641977735,0.15229434635277336,0.3643748388244186,1000
oracle,coverage,False,OULAD,0.012593351881681066,Oviedo,0.01888276947285602,0.006289417591174953,0.004055527243387507,0.009621807957638345,1000
oracle,mean_cross_tau,False,OULAD,0.6777408637873755,KU Leuven,0.7703081232492998,0.09256725946192423,0.05276368102796677,0.15805717271234507,1000
