regime,level,group,students,students_shown,coverage,mean_cross_tau,mean_cross_jaccard_top3,no_gate_cross_tau,lift
global,0.0,KU Leuven,1314,1314,1.0,0.5834601725012685,0.6307305936073059,0.5834601725012685,0.0
global,0.0,OULAD,6829,6705,0.9818421437985063,0.24202123504136927,0.4664489187173751,0.24038240277806833,0.0016388322633009433
global,0.0,Oviedo,1271,1266,0.996066089693155,0.5012262092830814,0.5665402843601895,0.5002360346184107,0.0009901746646706622
global,0.0,UKZN,2421,2391,0.9876084262701363,0.47571647646929954,0.5519782517774989,0.4727326370449047,0.0029838394243948407
global,0.0,Zambia,40,38,0.95,0.43558897243107775,0.4610526315789474,0.4333333333333334,0.002255639097744344
global,0.0,ALL,11875,11714,0.9864421052631579,0.3566639836743986,0.5131347106026976,0.3541774436090226,0.0024865400653760195
global,0.05,KU Leuven,1314,1314,1.0,0.5834601725012685,0.6307305936073059,0.5834601725012685,0.0
global,0.05,OULAD,6829,6577,0.9630985503001903,0.2432126385600614,0.46722517865288127,0.24038240277806833,0.002830235781993068
global,0.05,Oviedo,1271,1254,0.9866247049567269,0.502878408141566,0.567097288676236,0.5002360346184107,0.002642373523155328
global,0.05,UKZN,2421,2366,0.9772821148285832,0.4779293966107153,0.5532206255283179,0.4727326370449047,0.005196759565810616
global,0.05,Zambia,40,32,0.8,0.4648809523809524,0.47562499999999996,0.4333333333333334,0.03154761904761899
global,0.05,ALL,11875,11543,0.9720421052631579,0.3588792217918095,0.5143376938404228,0.3541774436090226,0.0047017781827868865
global,0.1,KU Leuven,1314,1314,1.0,0.5834601725012685,0.6307305936073059,0.5834601725012685,0.0
global,0.1,OULAD,6829,6426,0.9409869673451458,0.2429890474708402,0.46821973233737935,0.24038240277806833,0.0026066446927718867
global,0.1,Oviedo,1271,1236,0.9724626278520849,0.5052088149175528,0.5676860841423947,0.5002360346184107,0.0049727802991420544
global,0.1,UKZN,2421,2338,0.9657166460140438,0.4806142816408,0.5544311377245509,0.4727326370449047,0.007881644595895299
global,0.1,Zambia,40,30,0.75,0.4774603174603175,0.48800000000000004,0.4333333333333334,0.04412698412698407
global,0.1,ALL,11875,11344,0.9552842105263157,0.36059171200214923,0.5157016925246827,0.3541774436090226,0.006414268393126643
global,0.15,KU Leuven,1314,1314,1.0,0.5834601725012685,0.6307305936073059,0.5834601725012685,0.0
global,0.15,OULAD,6829,6159,0.9018890027822521,0.24699587904653664,0.4711056989771067,0.24038240277806833,0.00661347626846831
global,0.15,Oviedo,1271,1218,0.9583005507474429,0.5072484166080226,0.5689326765188835,0.5002360346184107,0.007012381989611849
global,0.15,UKZN,2421,2270,0.9376290788930194,0.48555485630375506,0.5565814977973569,0.4727326370449047,0.012822219258850354
global,0.15,Zambia,40,26,0.65,0.5032967032967033,0.49769230769230766,0.4333333333333334,0.06996336996336988
global,0.15,ALL,11875,10987,0.9252210526315789,0.3659814412704192,0.5187639938108672,0.3541774436090226,0.011803997661396615
global,0.2,KU Leuven,1314,1313,0.9992389649923896,0.5834910963623835,0.6307996953541508,0.5834601725012685,3.092386111502865e-05
global,0.2,OULAD,6829,5887,0.8620588665983306,0.2510826922921368,0.4739799558348904,0.24038240277806833,0.010700289514068484
global,0.2,Oviedo,1271,1183,0.930763178599528,0.5098015537575978,0.5697210481825866,0.5002360346184107,0.009565519139187129
global,0.2,UKZN,2421,2209,0.9124328789756299,0.48960313867511696,0.5588139429606157,0.4727326370449047,0.016870501630212253
global,0.2,Zambia,40,24,0.6,0.5087301587301588,0.5025000000000001,0.4333333333333334,0.0753968253968254
global,0.2,ALL,11875,10616,0.8939789473684211,0.3712401765529121,0.5217614920874152,0.3541774436090226,0.01706273294388949
global,0.25,KU Leuven,1314,1308,0.9954337899543378,0.5838502985291977,0.6308256880733945,0.5834601725012685,0.00039012602792920514
global,0.25,OULAD,6829,5409,0.7920632596280568,0.25800913820880544,0.4780661859863191,0.24038240277806833,0.017626735430737117
global,0.25,Oviedo,1271,1086,0.8544453186467349,0.5230027185828291,0.5797605893186004,0.5002360346184107,0.022766683964418388
global,0.25,UKZN,2421,2087,0.8620404791408509,0.49641088826522467,0.5622807858169622,0.4727326370449047,0.023678251220319968
