regime,level,group,students,students_shown,mean_cross_jaccard_top3,no_gate_cross_tau,coverage,coverage_ci_low,coverage_ci_high,coverage_n_boot,mean_cross_tau,mean_cross_tau_ci_low,mean_cross_tau_ci_high,mean_cross_tau_n_boot,lift,lift_ci_low,lift_ci_high,lift_n_boot,efficiency,efficiency_ci_low,efficiency_ci_high,efficiency_n_boot
no_gate,,KU Leuven,1314,1314,0.6307305936073059,0.5834601725012685,1.0,1.0,1.0,1000,0.5834601725012685,0.5346370935686462,0.6461974398001795,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,OULAD,6829,6829,0.4652979938497584,0.24038240277806833,1.0,1.0,1.0,1000,0.24038240277806833,0.20820383706989193,0.27686109459332015,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Oviedo,1271,1271,0.5658536585365854,0.5002360346184107,1.0,1.0,1.0,1000,0.5002360346184107,0.44756144553886557,0.5457222854271045,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,UKZN,2421,2421,0.5506402313093762,0.4727326370449047,1.0,1.0,1.0,1000,0.4727326370449047,0.42822966853175787,0.5212712511671336,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,Zambia,40,40,0.46299999999999997,0.4333333333333334,1.0,1.0,1.0,1000,0.4333333333333334,0.34632034632034636,0.5396825396825398,1000,0.0,0.0,0.0,1000,,,,0
no_gate,,ALL,11875,11875,0.5117574736842105,0.3541774436090226,1.0,1.0,1.0,1000,0.3541774436090226,0.32728293918359347,0.380701395508842,1000,0.0,0.0,0.0,1000,,,,0
global,0.8,KU Leuven,1314,50,0.7132,0.5834601725012685,0.0380517503805175,0.009855951478392721,0.07250755287009064,1000,0.6544761904761905,0.5877899877899878,0.7766233766233768,1000,0.07101601797492207,0.035116682591974535,0.160539896420551,1000,0.36189392492818534,0.17520176716149438,0.8021940349674325,1000
global,0.8,OULAD,6829,9,0.7866666666666666,0.24038240277806833,0.0013179089178503441,0.00014370249944401476,0.003187196647408422,1000,0.6550264550264551,0.0095238095238095,0.796825396825397,987,0.41464405224838674,-0.21350673517336452,0.5373486845177203,987,0.8480453314304567,-0.43394460009196695,1.1185575960574603,987
global,0.8,Oviedo,1271,6,0.6166666666666666,0.5002360346184107,0.004720692368214005,0.0008467042629746986,0.009391293213828424,1000,0.6571428571428573,0.4978571428571429,0.7332857142857145,992,0.15690682252444654,0.006688752236775342,0.2532215652377893,992,0.6988362740746429,0.028774148878126682,1.0730384218489217,992
global,0.8,UKZN,2421,24,0.7258333333333334,0.4727326370449047,0.009913258983890954,0.002136666666666667,0.019223774411646917,1000,0.6753968253968256,0.6484848484848486,0.7539682539682541,997,0.20266418835192085,0.15909598048173812,0.27507062116076497,997,0.7704150373807163,0.6238898974823738,1.0515714897885535,997
global,0.8,Zambia,40,0,,0.4333333333333334,0.0,0.0,0.0,1000,,,,0,,,,0,,,,0
global,0.8,ALL,11875,89,0.7175280898876405,0.3541774436090226,0.007494736842105263,0.003538809838064977,0.012650504442828735,1000,0.6603531300160513,0.6048496541473732,0.730710313046242,1000,0.30617568640702875,0.2511453238410553,0.3766808548833418,1000,0.8230240867703754,0.6775317917033437,1.0087643990194932,1000
cohort_calibrated,0.007494736842105263,KU Leuven,1314,11,0.7272727272727273,0.5834601725012685,0.00837138508371385,0.00812407680945347,0.008662175168431183,1000,0.6606060606060606,0.6000000000000001,0.7269841269841271,1000,0.07714588810479217,0.03449771139484459,0.12258855695388216,1000,0.3438915356192466,0.14268899052342168,0.5692917940666063,1000
cohort_calibrated,0.007494736842105263,OULAD,6829,52,0.6119230769230769,0.24038240277806833,0.007614584858690877,0.007511608850040972,0.007759985176832207,1000,0.421978021978022,0.3183419750879075,0.5241714086053709,1000,0.18159561919995365,0.08460487126175215,0.2656645085913153,1000,0.39415914095069904,0.18973941804484873,0.5660149249433314,1000
cohort_calibrated,0.007494736842105263,Oviedo,1271,22,0.6,0.5002360346184107,0.01730920535011802,0.014455269222711082,0.021348156180969267,1000,0.5601731601731602,0.4875068027210885,0.6207058159232074,1000,0.059937125554749504,-0.002508435123553544,0.1195758154689181,1000,0.26101143860648346,-0.013152835827607848,0.48435892778372125,1000
cohort_calibrated,0.007494736842105263,UKZN,2421,25,0.6032,0.4727326370449047,0.010326311441553077,0.009208226852529795,0.012619740525169945,1000,0.580952380952381,0.500941798941799,0.654665551839465,1000,0.1082197439074763,0.04493593866079377,0.15630813870295665,1000,0.3989412612286521,0.16686959595927303,0.584116923970115,1000
cohort_calibrated,0.007494736842105263,Zambia,40,2,0.62,0.4333333333333334,0.05,0.045454545454545456,0.05555555555555555,1000,0.6000000000000001,0.5238095238095238,0.6761904761904762,1000,0.16666666666666669,0.13650793650793647,0.17748917748917747,1000,0.7142857142857143,0.5890410958904106,0.8232931726907632,1000
cohort_calibrated,0.007494736842105263,ALL,11875,112,0.6191071428571427,0.3541774436090226,0.009431578947368421,0.009091533756770631,0.009807683751546723,1000,0.5112244897959184,0.4573624883569492,0.5603118149301951,1000,0.1570470461868958,0.1124385361146503,0.20050403572593717,1000,0.4221546893051651,0.30592594802012046,0.5292201702860198,1000
oracle,0.007494736842105263,KU Leuven,1314,11,0.8545454545454546,0.5834601725012685,0.00837138508371385,0.00812407680945347,0.008662175168431183,1000,0.8077922077922078,0.7650793650793652,0.8507936507936509,1000,0.22433203529093937,0.1947911531762464,0.25035580017127357,1000,1.0,1.0,1.0,1000
oracle,0.007494736842105263,OULAD,6829,52,0.783076923076923,0.24038240277806833,0.007614584858690877,0.007511608850040972,0.007759985176832207,1000,0.7010989010989012,0.6662817610062894,0.7377584294587402,1000,0.46071649832083283,0.4395080094059073,0.4814911210008445,1000,1.0,1.0,1.0,1000
oracle,0.007494736842105263,Oviedo,1271,22,0.7327272727272728,0.5002360346184107,0.01730920535011802,0.014455269222711082,0.021348156180969267,1000,0.72987012987013,0.6885238095238095,0.7653341991341992,1000,0.2296340952517193,0.19153697957118124,0.2738999387971267,1000,1.0,1.0,1.0,1000
oracle,0.007494736842105263,UKZN,2421,25,0.7415999999999999,0.4727326370449047,0.010326311441553077,0.009208226852529795,0.012619740525169945,1000,0.7440000000000001,0.7040293040293041,0.7765619047619049,1000,0.2712673629550954,0.2364381163049407,0.3014026310370789,1000,1.0,1.0,1.0,1000
oracle,0.007494736842105263,Zambia,40,2,0.6699999999999999,0.4333333333333334,0.05,0.045454545454545456,0.05555555555555555,1000,0.6666666666666667,0.5619047619047619,0.7714285714285716,1000,0.23333333333333334,0.21558441558441555,0.23333333333333334,1000,1.0,1.0,1.0,1000
oracle,0.007494736842105263,ALL,11875,112,0.7689285714285715,0.3541774436090226,0.009431578947368421,0.009091533756770631,0.009807683751546723,1000,0.7261904761904762,0.7072223603139453,0.7462141378290448,1000,0.3720130325814536,0.3543982274637444,0.3899250247566949,1000,1.0,1.0,1.0,1000
calibrated_minus_global,,KU Leuven,,,,,-0.02968036529680365,-0.06419939577039276,-0.0015163002274450332,1000,0.006129870129870096,-0.09788961038961042,0.059047619047619015,1000,0.006129870129870096,-0.09788961038961042,0.059047619047619015,1000,-0.018002389308938715,-0.5105824640123792,0.22485480504328104,1000
calibrated_minus_global,,OULAD,,,,,0.006296675940840533,0.004391007952854453,0.0075393618185089295,1000,-0.2330484330484331,-0.38692660885016783,0.3408665593897137,987,-0.2330484330484331,-0.38692660885016783,0.3408665593897137,987,-0.45388619047975765,-0.7850840739360556,0.7239000914031998,987
calibrated_minus_global,,Oviedo,,,,,0.012588512981904014,0.00601969280631297,0.01909595765548062,1000,-0.09696969696969704,-0.19527932385075245,0.051221397649969164,992,-0.09696969696969704,-0.19527932385075245,0.051221397649969164,992,-0.4378248354681594,-0.8733632213282221,0.20307676668203128,992
calibrated_minus_global,,UKZN,,,,,0.0004130524576621223,-0.009563317530130807,0.009752893513508831,1000,-0.09444444444444455,-0.19935757575757584,-0.02533066663703679,997,-0.09444444444444455,-0.19935757575757584,-0.02533066663703679,997,-0.3714737761520642,-0.731271224434936,-0.12552723678524805,997
calibrated_minus_global,,Zambia,,,,,0.05,0.045454545454545456,0.05555555555555555,1000,,,,0,,,,0,,,,0
calibrated_minus_global,,ALL,,,,,0.0019368421052631578,-0.0032700340155751005,0.005956458404094339,1000,-0.14912864022013295,-0.2345698808983331,-0.08219067112225001,1000,-0.14912864022013295,-0.2345698808983331,-0.08219067112225001,1000,-0.40086939746521033,-0.6365688873349316,-0.2294858229478903,1000
