regime,metric,includes_zambia,min_group,min,max_group,max,spread,spread_ci_low,spread_ci_high,spread_n_boot
no_gate,coverage,True,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,True,OULAD,0.24038240277806833,KU Leuven,0.5834601725012685,0.34307776972320014,0.2785419625238722,0.41877112583423803,1000
global,coverage,True,Zambia,0.0,KU Leuven,0.0380517503805175,0.0380517503805175,0.011705685618729096,0.07250755287009064,1000
global,mean_cross_tau,True,,,,,,,,0
cohort_calibrated,coverage,True,OULAD,0.007614584858690877,Zambia,0.05,0.04238541514130913,0.037747639421631514,0.04802232069588051,1000
cohort_calibrated,mean_cross_tau,True,OULAD,0.421978021978022,KU Leuven,0.6606060606060606,0.23862803862803866,0.13093205549697084,0.36586031746031733,1000
oracle,coverage,True,OULAD,0.007614584858690877,Zambia,0.05,0.04238541514130913,0.037747639421631514,0.04802232069588051,1000
oracle,mean_cross_tau,True,Zambia,0.6666666666666667,KU Leuven,0.8077922077922078,0.1411255411255411,0.072718537414966,0.2686031746031747,1000
no_gate,coverage,False,KU Leuven,1.0,KU Leuven,1.0,0.0,0.0,0.0,1000
no_gate,mean_cross_tau,False,OULAD,0.24038240277806833,KU Leuven,0.5834601725012685,0.34307776972320014,0.2785419625238722,0.41877112583423803,1000
global,coverage,False,OULAD,0.0013179089178503441,KU Leuven,0.0380517503805175,0.03673384146266716,0.010825447546243571,0.07094594361958423,1000
global,mean_cross_tau,False,KU Leuven,0.6544761904761905,UKZN,0.6753968253968256,0.020920634920635006,0.041446886446886363,0.6551406926406927,976
cohort_calibrated,coverage,False,OULAD,0.007614584858690877,Oviedo,0.01730920535011802,0.009694620491427143,0.006816828418948046,0.013808711692256849,1000
cohort_calibrated,mean_cross_tau,False,OULAD,0.421978021978022,KU Leuven,0.6606060606060606,0.23862803862803866,0.11878675645342306,0.3635106019766398,1000
oracle,coverage,False,OULAD,0.007614584858690877,Oviedo,0.01730920535011802,0.009694620491427143,0.006816828418948046,0.013808711692256849,1000
oracle,mean_cross_tau,False,OULAD,0.7010989010989012,KU Leuven,0.8077922077922078,0.10669330669330668,0.05459132137703571,0.16314053230719905,1000
