output,source,quality,c_star,no_gate_mean_cross_tau,calibrated_minus_global_mean_cross_tau,calibrated_minus_global_lift_ci_low,calibrated_minus_global_lift_ci_high,global_efficiency,cohort_calibrated_efficiency,spread_mean_cross_tau_no_gate,spread_mean_cross_tau_global,spread_mean_cross_tau_cohort_calibrated,spread_mean_cross_tau_no_gate_no_zambia,spread_mean_cross_tau_global_no_zambia,spread_mean_cross_tau_cohort_calibrated_no_zambia,spearman_within_cohort_mean,no_gate_KU Leuven,no_gate_OULAD,no_gate_Oviedo,no_gate_UKZN,no_gate_Zambia,no_gate_ALL,global_KU Leuven,global_OULAD,global_Oviedo,global_UKZN,global_Zambia,global_ALL,cohort_calibrated_KU Leuven,cohort_calibrated_OULAD,cohort_calibrated_Oviedo,cohort_calibrated_UKZN,cohort_calibrated_Zambia,cohort_calibrated_ALL,spearman_within_KU Leuven,spearman_within_OULAD,spearman_within_Oviedo,spearman_within_UKZN,spearman_within_Zambia,spearman_within_ALL
exp027_f33_background__cross_tau,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_background/students.csv,cross_tau,0.5552842105263158,0.347634686716792,0.0099078643035399,-0.0101216717316405,0.0333662676657037,0.3664178163570065,0.4237427263910453,0.3472698372579419,0.3006913992362746,0.2889622013595864,0.3472698372579419,0.2922257907706659,0.2889622013595864,0.407052915195202,0.576690584909763,0.229420747651821,0.4995316773444232,0.4745028618634567,0.5,0.347634686716792,0.6024187452758881,0.3101929545052221,0.5689458128078818,0.5472322262238228,0.6108843537414967,0.4109652353510407,0.6102644058987852,0.3213022045391988,0.5547918747918749,0.52559611732433,0.5337474120082816,0.4208730996545806,0.3894139911930665,0.4297956045737933,0.4191166140955177,0.3972326815995613,0.2018390178669596,0.407052915195202
exp027_f33_background__cross_tau_shap__lime,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_background/students.csv,cross_tau_shap__lime,0.5552842105263158,0.4038600501253133,-0.0201713475338652,-0.0375630513780272,-0.0066040691973158,0.4519967673870933,0.3082456431512433,0.0635407948627702,0.0939105390194078,0.0959852265117759,0.0635407948627702,0.0939105390194078,0.0959852265117759,0.261357863306796,0.3813872580995869,0.4246469886827187,0.3970701734667116,0.3611061938199485,0.3966666666666666,0.4038600501253133,0.3982615268329554,0.4921720658523633,0.4720262725779967,0.4190742963852207,0.4612244897959184,0.467284833253896,0.4066133956993438,0.4812001101018442,0.4248684648684648,0.3852148835900683,0.432712215320911,0.4471134857200307,0.1467564111360039,0.3575426298383711,0.2509756717212664,0.2085760305378089,0.2174835157764004,0.261357863306796
exp027_f33_background__cross_taub_shap__lime,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_background/students.csv,cross_taub_shap__lime,0.5552842105263158,0.4045442212426333,-0.0198718170029276,-0.0373924833155227,-0.0061673091829866,0.4497818016502507,0.3081897611376755,0.0635407948627702,0.0907202746259909,0.0959852265117759,0.0635407948627702,0.0907202746259909,0.0959852265117759,0.2610930845919672,0.385496001330362,0.4246469886827187,0.3992146608096985,0.3611061938199485,0.3966666666666666,0.4045442212426333,0.4014517912263723,0.4921720658523633,0.4721946503348145,0.4190742963852207,0.4612244897959184,0.4676691089219452,0.4107186572234214,0.4812001101018442,0.4270015588661331,0.3852148835900683,0.432712215320911,0.4477972919190175,0.1444159928290822,0.3575426298383711,0.2508437442616323,0.2085760305378089,0.2174835157764004,0.2610930845919672
exp027_f33_background__cross_taub_shap__occlusion,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_background/students.csv,cross_taub_shap__occlusion,0.5570668243642815,0.3580928305991182,0.0084278117153329,-0.0102473120953861,0.0297357568966804,0.3666187315782322,0.415029791467555,0.3451333377995017,0.304719278413001,0.3002622794766007,0.3451333377995017,0.304719278413001,0.3002622794766007,0.4019409088950981,0.593485257695669,0.2483519198961672,0.494153663995467,0.4688781503078115,0.4616119154276084,0.3580928305991182,0.631439608273491,0.3267203298604899,0.5628564156868896,0.5361691226285292,0.5896446772174349,0.4219169577328643,0.6351930325735087,0.3349307530969079,0.5545940131281263,0.5222226842332329,0.4913536208262982,0.4303447694481973,0.4063529119287115,0.4203717971527479,0.4175656397933768,0.3813702596599445,0.2219293462450254,0.4019409088950981
exp027_f33_model__cross_taub_shap__lime,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_model/students.csv,cross_taub_shap__lime,0.007578947368421,0.429988162626468,-0.0472562992656396,-0.1198407056806714,0.0362590585875062,0.4145660757128964,0.2589489864947211,0.121912515623561,,0.1536653671887176,0.0784511036919081,0.1555555555555555,0.1017749870740116,0.3082339671746621,0.4467832902964821,0.4406571414625302,0.3683321866045739,0.4221514132294801,0.490244702228135,0.429988162626468,0.5181432581497984,0.6698412698412699,0.5142857142857143,0.6074534161490684,,0.5558795967722646,0.4651383150041541,0.5502487562189055,0.4484737691448938,0.4780952380952381,0.3965833890301878,0.5086232975066249,0.2068227387866268,0.4076038960442292,0.2789078847534559,0.3313318160726096,-0.2230686388936338,0.3082339671746621
exp027_f33_model__cross_taub_shap__occlusion,data/artifacts/experiments/exp_027_local_estimator_matrix/f33_model/students.csv,cross_taub_shap__occlusion,0.0076142131979695,0.3663623833421211,-0.1757642850305281,-0.2427244601420824,-0.1174290568370524,0.8787375647983762,0.4000882888777787,0.3489646679158786,,0.2903609592088855,0.3489646679158786,0.069937455700398,0.2903609592088855,0.3798947632192062,0.609047698572615,0.2600830306567363,0.4999297771294467,0.4667154459348522,0.4043743806729633,0.3663623833421211,0.6899171282700275,0.6437776548987678,0.6547836849533014,0.7137151105991658,,0.6890426579736774,0.7241341952769191,0.4337732360680336,0.5915120177320079,0.5637746284879129,0.5252201484367938,0.5132783729431493,0.3616681965732708,0.3806983578869961,0.3396769419725124,0.4600681494806691,0.1877314361882426,0.3798947632192062
f33_background,data/artifacts/experiments/exp_025_local_stability/f33_background/students.csv,cross_tau,0.5555368421052631,0.3460178446115288,0.00894616859154,-0.0113238414754217,0.0327346432855877,0.3693792348527696,0.4211435224200009,0.3446124209696967,0.3284699105224639,0.2865557052278815,0.3446124209696967,0.2893192634562495,0.2865557052278815,0.4010428655046494,0.5734000144959049,0.2287875935262082,0.4983027986961897,0.4707027792529651,0.5052380952380953,0.3460178446115288,0.5989445910290238,0.3096253275727743,0.5694712643678161,0.5438503148000354,0.6380952380952382,0.4098558507835452,0.6063665302410187,0.3198108250131372,0.5523409923409924,0.5230076668776817,0.5362318840579711,0.4188020193750853,0.370621094056931,0.4263847386384906,0.4137907620487124,0.3925981196342679,0.1916393865987366,0.4010428655046494
f33_background_bg20,data/artifacts/experiments/exp_025_local_stability/f33_background_bg20/students.csv,cross_tau,0.2885052631578947,0.3558071177944862,0.0047347719849567,-0.0271592502944021,0.0335163631345776,0.3839328883269585,0.4030875205018266,0.3171486905293375,0.2528641614071387,0.2530832738993513,0.3171486905293375,0.2528641614071387,0.2530832738993513,0.4310600643505482,0.5732260636370226,0.256077373107685,0.4803941403469335,0.4522609704765838,0.4433333333333333,0.3558071177944862,0.6181207276097788,0.36525656620264,0.6003538257408227,0.5606639839034205,0.5561904761904762,0.4507102549134073,0.6215407629020195,0.3684574890026682,0.59206770241253,0.5358891579230562,0.4871794871794872,0.4554450268983641,0.367342318268846,0.4165569053755822,0.5124839878516959,0.4036960316621183,0.1646663393537962,0.4310600643505482
f33_background_bg200,data/artifacts/experiments/exp_025_local_stability/f33_background_bg200/students.csv,cross_tau,0.7490526315789474,0.346253634085213,0.0047329640236349,-0.0077264963601214,0.0161697307277688,0.285445494859252,0.3292265462820983,0.3590305544658155,0.3769684469532494,0.333643558329639,0.3590305544658155,0.3335668394863061,0.333643558329639,0.3176873614144327,0.5843009349858665,0.225270380520051,0.4997564722191001,0.4751008044688342,0.5052380952380953,0.346253634085213,0.5946936306282948,0.2611267911419887,0.5506949191159718,0.5099443926948373,0.6380952380952382,0.3771118070612169,0.6026604973973395,0.2690169390677004,0.5202976190476191,0.5037159070107999,0.5397849462365591,0.3818447710848518,0.2679022897331507,0.3031614919607072,0.3567617907288241,0.3205191934801854,0.1916393865987366,0.3176873614144327
f33_both,data/artifacts/experiments/exp_025_local_stability/f33_both/students.csv,cross_tau,0.0101052631578947,0.3590359899749373,-0.209642857142857,-0.2845926544536039,-0.0854115558136641,0.990540852705856,0.3956280532420551,0.3210564162936901,,0.266106442577031,0.3210564162936901,0.2231457431457431,0.2590189564197773,0.3620236500257799,0.5771979415815033,0.2561415252878132,0.4910344310816381,0.4595700320607384,0.4800000000000001,0.3590359899749373,0.6267477203647417,0.8091774891774892,0.7396825396825398,0.5860317460317461,,0.708095238095238,0.666106442577031,0.4070874861572536,0.6007936507936509,0.5870967741935483,0.4,0.498452380952381,0.3369430961816837,0.3833292889006355,0.3655743584299187,0.4008864495887554,-0.111547738298247,0.3620236500257799
