metric,students,mean,sd,p10,median
self_tau_shap,11875,0.796526516290727,0.1233938898377157,0.6190476190476192,0.8095238095238096
self_tau_occlusion,11875,0.706238395989975,0.19175835113552955,0.42857142857142866,0.7523809523809524
self_jaccard_shap,11875,0.8334997894736843,0.16515501488401801,0.6,0.8
cross_tau,11875,0.347634686716792,0.299327111341752,-0.08571428571428572,0.4095238095238095
cross_jaccard_top3,11875,0.516602947368421,0.2170687170799101,0.25999999999999995,0.5
self_taub_shap,11875,0.7964737052090245,0.12348731743455803,0.6190476190476192,0.8095238095238096
self_jaccard_occlusion,11875,0.713728,0.18666398855125454,0.4800000000000001,0.7
self_taub_occlusion,11815,0.6840337024769795,0.19834974596948873,0.4029777686770565,0.7194147991335618
self_tau_lime,11875,0.5711101754385965,0.19291392524852444,0.2952380952380953,0.6
self_jaccard_lime,11875,0.6494837894736842,0.1739926215161081,0.43000000000000005,0.65
self_taub_lime,11875,0.5708415016118035,0.19297216810476003,0.2952380952380953,0.6
self_tau_kernelshap_prob,11875,0.7835725313283209,0.12732735712612586,0.6000000000000001,0.8095238095238095
self_jaccard_kernelshap_prob,11875,0.8200446315789475,0.16812304809703227,0.6,0.8
self_taub_kernelshap_prob,11875,0.783518848801309,0.127414143555368,0.6000000000000001,0.8095238095238095
cross_tau_shap__occlusion,11875,0.347634686716792,0.299327111341752,-0.08571428571428572,0.4095238095238095
cross_jaccard_top3_shap__occlusion,11875,0.516602947368421,0.2170687170799101,0.25999999999999995,0.5
cross_taub_shap__occlusion,11837,0.3580928305991182,0.292085762384241,-0.06277711852081169,0.40952380952380957
cross_tau_shap__lime,11875,0.40386005012531334,0.23476943242190187,0.08571428571428572,0.42857142857142855
cross_jaccard_top3_shap__lime,11875,0.5240690526315789,0.19459363327259083,0.27999999999999997,0.5
cross_taub_shap__lime,11875,0.40454422124263334,0.2351359382558881,0.08571428571428572,0.42857142857142855
cross_tau_shap__kernelshap_prob,11875,0.7934275689223058,0.14947162297545322,0.6,0.8285714285714286
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8086349473684211,0.18270343021934837,0.5,0.9
cross_taub_shap__kernelshap_prob,11875,0.7934234786967419,0.1494700051973759,0.6,0.8285714285714286
cross_tau_occlusion__lime,11875,0.12264982456140351,0.2807448995641207,-0.2571428571428572,0.14285714285714285
cross_jaccard_top3_occlusion__lime,11875,0.3809936842105263,0.17203227839868382,0.18,0.38
cross_taub_occlusion__lime,11837,0.1395930277106263,0.27648984110853864,-0.23536380701424023,0.1533215165631845
cross_tau_occlusion__kernelshap_prob,11875,0.35122927318295744,0.2767232072088792,-0.04761904761904762,0.39047619047619053
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.5010442105263158,0.19836145615766823,0.25999999999999995,0.5
cross_taub_occlusion__kernelshap_prob,11837,0.3606965800882967,0.27257755450581006,-0.028485639740294413,0.408061543693791
cross_tau_lime__kernelshap_prob,11875,0.40682265664160405,0.23311788990021018,0.08571428571428573,0.42857142857142855
cross_jaccard_top3_lime__kernelshap_prob,11875,0.5313768421052631,0.19840567764467365,0.3,0.5
cross_taub_lime__kernelshap_prob,11875,0.4075101180064732,0.23347638465564746,0.08571428571428573,0.42857142857142855
lime_seed_tau,11875,0.8626486215538848,0.12954419198568498,0.7142857142857143,0.9047619047619049
