institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_strict,shap,shap,self,0.3930645914831008,0.35582366423920886,0.4314922876592441,0.540471518523942,6829
OULAD,tau_strict,occlusion,occlusion,self,0.5114783590988013,0.48908432794183115,0.540353353035229,0.5394845511787963,6829
OULAD,tau_strict,lime,lime,self,0.42958949577781036,0.3771985479296218,0.4767491618369031,0.5721057255820765,6829
OULAD,tau_strict,kernelshap_prob,kernelshap_prob,self,0.37180232760844856,0.3379932762092944,0.40579727703155016,0.528641089471372,6829
OULAD,tau_strict,shap,occlusion,cross,0.24044376573297355,0.20608193876330994,0.2733003845530082,0.4651954898228145,6829
OULAD,tau_strict,shap,lime,cross,0.44065714146253027,0.4081668201064701,0.46906008203032395,0.5522419095035876,6829
OULAD,tau_strict,shap,kernelshap_prob,cross,0.8067011135981704,0.7958731498790597,0.8180160134097298,0.8338995460535951,6829
OULAD,tau_strict,occlusion,lime,cross,0.05720561471037384,0.021995992587258036,0.09636638165483755,0.35218626446038953,6829
OULAD,tau_strict,occlusion,kernelshap_prob,cross,0.2586852986911561,0.22321951783408778,0.2963246661511043,0.4636139991213941,6829
OULAD,tau_strict,lime,kernelshap_prob,cross,0.435229309178643,0.3987153080753506,0.46885269021380815,0.5600468589837457,6829
OULAD,tau_b,shap,shap,self,0.3930645914831008,0.35582366423920886,0.4314922876592441,,6829
OULAD,tau_b,occlusion,occlusion,self,0.4934013908435941,0.4712649587933429,0.520785248948636,,6829
OULAD,tau_b,lime,lime,self,0.42958949577781036,0.3771985479296218,0.4767491618369031,,6829
OULAD,tau_b,kernelshap_prob,kernelshap_prob,self,0.37180232760844856,0.3379932762092944,0.40579727703155016,,6829
OULAD,tau_b,shap,occlusion,cross,0.2600830306567363,0.22748098846902673,0.2905764729083104,,6829
OULAD,tau_b,shap,lime,cross,0.44065714146253027,0.4081668201064701,0.46906008203032395,,6829
OULAD,tau_b,shap,kernelshap_prob,cross,0.8067011135981704,0.7958731498790597,0.8180160134097298,,6829
OULAD,tau_b,occlusion,lime,cross,0.07670377934827327,0.04224427183343842,0.11386844317215553,,6829
OULAD,tau_b,occlusion,kernelshap_prob,cross,0.2764140214440668,0.24185575698599002,0.3117268670887209,,6829
