metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.43054917293233086,0.39621665331832673,0.46359517792109356,0.5407191578947369,11875
tau_strict,occlusion,occlusion,self,0.5568986466165414,0.5334797318601849,0.5838682332834556,0.5664715789473684,11875
tau_strict,lime,lime,self,0.38792581453634084,0.340481596798885,0.4285788507749239,0.5280522105263159,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.4157024561403509,0.38300869976391694,0.44893565841820404,0.5320143157894737,11875
tau_strict,shap,occlusion,cross,0.356132731829574,0.3119010855329188,0.4065173325927105,0.5124665263157895,11875
tau_strict,shap,lime,cross,0.4293974937343359,0.39263854718764113,0.4602015393501422,0.5399208421052631,11875
tau_strict,shap,kernelshap_prob,cross,0.803566516290727,0.7811355919454387,0.8248070541658739,0.8231949473684211,11875
tau_strict,occlusion,lime,cross,0.14384681704260652,0.10185605884680624,0.19111691789163712,0.38988631578947364,11875
tau_strict,occlusion,kernelshap_prob,cross,0.3595813533834587,0.31828748069069246,0.40546640630281394,0.5059654736842105,11875
tau_strict,lime,kernelshap_prob,cross,0.42724491228070177,0.3911162980744293,0.4587408476693727,0.545034105263158,11875
tau_b,shap,shap,self,0.4302085955007122,0.39593412912676784,0.4634684569009879,,11875
tau_b,occlusion,occlusion,self,0.5266185476923144,0.505635926139533,0.5493772310327639,,11815
tau_b,lime,lime,self,0.3877518596491228,0.34025845571439894,0.42857831220555215,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.41537119081662094,0.382540321204394,0.4487377204959502,,11875
tau_b,shap,occlusion,cross,0.3663623833421211,0.32431402413259813,0.41387354995788433,,11820
tau_b,shap,lime,cross,0.429988162626468,0.39362217090841206,0.46025240450090543,,11875
tau_b,shap,kernelshap_prob,cross,0.8035674081876214,0.7811367730980293,0.8248076084082875,,11875
tau_b,occlusion,lime,cross,0.15844654204932987,0.1170127861348627,0.2067163418062986,,11820
tau_b,occlusion,kernelshap_prob,cross,0.36915467994711315,0.33031232284322537,0.41150415807637486,,11820
tau_b,lime,kernelshap_prob,cross,0.4278275090093862,0.3918240445618761,0.4601190055355147,,11875
