metric,students,mean,sd,p10,median
self_tau_shap,11875,0.43054917293233086,0.18068238559130684,0.18095238095238098,0.44761904761904764
self_tau_occlusion,11875,0.5568986466165414,0.18986746620440698,0.2952380952380953,0.5619047619047619
self_jaccard_shap,11875,0.5407191578947369,0.1399384650226315,0.38,0.52
cross_tau,11875,0.356132731829574,0.26048331663137775,-0.009523809523809535,0.40952380952380957
cross_jaccard_top3,11875,0.5124665263157895,0.16651043429772217,0.31999999999999995,0.5
self_taub_shap,11875,0.4302085955007122,0.18076436981846772,0.18095238095238098,0.44761904761904764
self_jaccard_occlusion,11875,0.5664715789473684,0.1534190536616475,0.38,0.55
self_taub_occlusion,11815,0.5266185476923144,0.18083550111452712,0.2835850484074808,0.5399999999999999
self_tau_lime,11875,0.38792581453634084,0.19142772724482035,0.10476190476190479,0.40952380952380957
self_jaccard_lime,11875,0.5280522105263159,0.15469504892907665,0.34,0.52
self_taub_lime,11875,0.3877518596491228,0.1912343016741808,0.10476190476190479,0.40952380952380957
self_tau_kernelshap_prob,11875,0.4157024561403509,0.18428267186010078,0.16190476190476194,0.42857142857142855
self_jaccard_kernelshap_prob,11875,0.5320143157894737,0.14277514225856214,0.37,0.52
self_taub_kernelshap_prob,11875,0.41537119081662094,0.18435653195308196,0.16190476190476194,0.42857142857142855
cross_tau_shap__occlusion,11875,0.356132731829574,0.26048331663137775,-0.009523809523809535,0.40952380952380957
cross_jaccard_top3_shap__occlusion,11875,0.5124665263157895,0.16651043429772217,0.31999999999999995,0.5
cross_taub_shap__occlusion,11820,0.3663623833421211,0.25108022211784053,0.013353894452964133,0.4126789416282258
cross_tau_shap__lime,11875,0.4293974937343359,0.20089723795073927,0.1619047619047619,0.44761904761904764
cross_jaccard_top3_shap__lime,11875,0.5399208421052631,0.15447584403305156,0.33999999999999997,0.54
cross_taub_shap__lime,11875,0.429988162626468,0.20124443920441787,0.1619047619047619,0.44761904761904764
cross_tau_shap__kernelshap_prob,11875,0.803566516290727,0.11504973028226392,0.6571428571428573,0.8285714285714286
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8231949473684211,0.13221299051445354,0.64,0.8
cross_taub_shap__kernelshap_prob,11875,0.8035674081876214,0.11505025612725957,0.6571428571428573,0.8285714285714286
cross_tau_occlusion__lime,11875,0.14384681704260652,0.2704090555613723,-0.23809523809523814,0.18095238095238098
cross_jaccard_top3_occlusion__lime,11875,0.38988631578947364,0.15470002990523127,0.2,0.38
cross_taub_occlusion__lime,11820,0.15844654204932987,0.2665051973447394,-0.21094645812919155,0.18095238095238098
cross_tau_occlusion__kernelshap_prob,11875,0.3595813533834587,0.239393083685482,0.02857142857142856,0.4095238095238095
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.5059654736842105,0.15546542017705384,0.31999999999999995,0.5
cross_taub_occlusion__kernelshap_prob,11820,0.36915467994711315,0.23400637977617353,0.047619047619047616,0.4026838206908553
cross_tau_lime__kernelshap_prob,11875,0.42724491228070177,0.21127878847843284,0.14285714285714288,0.44761904761904764
cross_jaccard_top3_lime__kernelshap_prob,11875,0.545034105263158,0.16386117659006022,0.32,0.54
cross_taub_lime__kernelshap_prob,11875,0.4278275090093862,0.2115947854633543,0.14285714285714288,0.44761904761904764
lime_seed_tau,11875,0.8626486215538848,0.12954419198568498,0.7142857142857143,0.9047619047619049
