group,estimator,students,mean_tied,mean_zeros
all,shap,11875,0.0028463157894736838,0.14794105263157895
all,occlusion,11875,0.5783747368421053,2.031141052631579
all,lime,11875,0.009263157894736843,0.1367578947368421
all,kernelshap_prob,11875,0.0028463157894736838,0.14782315789473685
OULAD,shap,6829,0.0,0.0
OULAD,occlusion,6829,0.3807878166642261,1.44293454385708
OULAD,lime,6829,0.0,0.0
OULAD,kernelshap_prob,6829,0.0,0.0
KU Leuven,shap,1314,0.0,0.6035007610350076
KU Leuven,occlusion,1314,0.9359208523592085,2.941400304414003
KU Leuven,lime,1314,0.0837138508371385,0.7321156773211568
KU Leuven,kernelshap_prob,1314,0.0,0.6035007610350076
UKZN,shap,2421,0.0,0.3054109871953738
UKZN,occlusion,2421,0.8112350268484098,2.7073936389921522
UKZN,lime,2421,0.0,0.24824452705493597
UKZN,kernelshap_prob,2421,0.0,0.3054109871953738
Zambia,shap,40,0.09,0.675
Zambia,occlusion,40,0.8099999999999999,3.1100000000000003
Zambia,lime,40,0.0,0.45
Zambia,kernelshap_prob,40,0.09,0.6299999999999999
Oviedo,shap,1271,0.023760818253343825,0.15531077891424075
Oviedo,occlusion,1271,0.8195121951219512,2.9284028324154208
Oviedo,lime,1271,0.0,0.03383162863886703
Oviedo,kernelshap_prob,1271,0.023760818253343825,0.15562549173878837
