institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_strict,shap,shap,self,0.7919851613218137,0.772123362082382,0.8097154965731612,0.8304744472104261,6829
OULAD,tau_strict,occlusion,occlusion,self,0.6526354691825479,0.5901572062219879,0.7020471276200466,0.6857504759115538,6829
OULAD,tau_strict,lime,lime,self,0.6129392158093285,0.5787975890957789,0.6462922261346363,0.678485869087714,6829
OULAD,tau_strict,kernelshap_prob,kernelshap_prob,self,0.7914886792321264,0.7737186884141583,0.805309541653155,0.8209752525992093,6829
OULAD,tau_strict,shap,occlusion,cross,0.2380561889421166,0.20659346398247988,0.27130061524127175,0.4578034851369161,6829
OULAD,tau_strict,shap,lime,cross,0.4130828609083112,0.3706298849323767,0.4584411352051879,0.5215902767608728,6829
OULAD,tau_strict,shap,kernelshap_prob,cross,0.7966431674441634,0.7846577761960045,0.80920754341333,0.8165675794406209,6829
OULAD,tau_strict,occlusion,lime,cross,0.03598518921406607,0.001221020349896975,0.077525695081644,0.3378913457314395,6829
OULAD,tau_strict,occlusion,kernelshap_prob,cross,0.27629646674894887,0.24984934639828263,0.31002040408793846,0.46832625567433006,6829
OULAD,tau_strict,lime,kernelshap_prob,cross,0.3948469064005746,0.3523391317653489,0.4394242253060389,0.5227061063113194,6829
OULAD,tau_b,shap,shap,self,0.7919851613218137,0.772123362082382,0.8097154965731612,,6829
OULAD,tau_b,occlusion,occlusion,self,0.6376609950379226,0.5804501908309143,0.6858309265201255,,6829
OULAD,tau_b,lime,lime,self,0.6129392158093285,0.5787975890957789,0.6462922261346363,,6829
OULAD,tau_b,kernelshap_prob,kernelshap_prob,self,0.7914886792321264,0.7737186884141583,0.805309541653155,,6829
OULAD,tau_b,shap,occlusion,cross,0.2591051518315173,0.22684968437039948,0.294493436166878,,6829
OULAD,tau_b,shap,lime,cross,0.4130828609083112,0.3706298849323767,0.4584411352051879,,6829
OULAD,tau_b,shap,kernelshap_prob,cross,0.7966431674441634,0.7846577761960045,0.80920754341333,,6829
OULAD,tau_b,occlusion,lime,cross,0.0593282710798624,0.025717576562971762,0.09753562121871358,,6829
OULAD,tau_b,occlusion,kernelshap_prob,cross,0.29446315121819266,0.2684738188223646,0.32661454821854163,,6829
OULAD,tau_b,lime,kernelshap_prob,cross,0.3948469064005746,0.3523391317653489,0.4394242253060389,,6829
KU Leuven,tau_strict,shap,shap,self,0.8289193302891935,0.8002945508100148,0.8639475172006673,0.8227168949771689,1314
KU Leuven,tau_strict,occlusion,occlusion,self,0.8155975936797853,0.7878161738510867,0.8442513639119015,0.7605479452054794,1314
KU Leuven,tau_strict,lime,lime,self,0.5038341668478655,0.386763178177675,0.6360213767248943,0.6093150684931506,1314
KU Leuven,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8302674494455317,0.7991592057307821,0.8643634308322735,0.8226331811263319,1314
KU Leuven,tau_strict,shap,occlusion,cross,0.5638907008770022,0.5090710815901657,0.6462410714954918,0.6298021308980213,1314
KU Leuven,tau_strict,shap,lime,cross,0.4380952380952381,0.34997760742522266,0.5304350073145153,0.502420091324201,1314
KU Leuven,tau_strict,shap,kernelshap_prob,cross,0.9131695296078858,0.9000682100749207,0.9267421168766461,0.9012937595129376,1314
KU Leuven,tau_strict,occlusion,lime,cross,0.3057331303906647,0.1821826497851412,0.4332950394608774,0.4615372907153729,1314
KU Leuven,tau_strict,occlusion,kernelshap_prob,cross,0.564238602594767,0.506744654836258,0.6507071660285835,0.6271537290715372,1314
KU Leuven,tau_strict,lime,kernelshap_prob,cross,0.44577806769587597,0.3535909339100884,0.5394095596055339,0.5094520547945206,1314
KU Leuven,tau_b,shap,shap,self,0.8291485166256173,0.8005333698790562,0.8639475172006673,,1314
KU Leuven,tau_b,occlusion,occlusion,self,0.771903432838183,0.7405890814188633,0.8002608921980496,,1314
KU Leuven,tau_b,lime,lime,self,0.5074878725353925,0.38996416103628806,0.6390157276358626,,1314
KU Leuven,tau_b,kernelshap_prob,kernelshap_prob,self,0.8305089771648034,0.7991666505481363,0.8644744757105456,,1314
KU Leuven,tau_b,shap,occlusion,cross,0.5955121812276057,0.5668870389358561,0.6318416041286691,,1314
KU Leuven,tau_b,shap,lime,cross,0.44228639080405563,0.3548211015803122,0.5336050227105167,,1314
KU Leuven,tau_b,shap,kernelshap_prob,cross,0.9128274262520839,0.8999367065043377,0.9260786247672812,,1314
KU Leuven,tau_b,occlusion,lime,cross,0.34036971125003185,0.2337016890212942,0.4374658304508123,,1314
KU Leuven,tau_b,occlusion,kernelshap_prob,cross,0.5989200576471829,0.5688287436484716,0.6396604914043942,,1314
KU Leuven,tau_b,lime,kernelshap_prob,cross,0.4500251135673454,0.3573540932676469,0.5426501880293365,,1314
