metric,students,mean,sd,p10,median
self_tau_shap,11875,0.7894849122807017,0.13476024355215221,0.6000000000000001,0.8095238095238095
self_tau_occlusion,11875,0.6955043609022558,0.20962205346696103,0.39047619047619053,0.7333333333333334
self_jaccard_shap,11875,0.818650105263158,0.17120678121082913,0.6,0.8
cross_tau,11875,0.3592332832080201,0.2932162969348462,-0.04761904761904763,0.39047619047619053
cross_jaccard_top3,11875,0.5197254736842105,0.22120520347667766,0.25999999999999995,0.5
self_taub_shap,11875,0.7893652286449755,0.13491050542542998,0.6000000000000001,0.8095238095238095
self_jaccard_occlusion,11875,0.7064951578947369,0.1957225180333561,0.45999999999999996,0.7
self_taub_occlusion,11837,0.6834215162177231,0.21302555524392217,0.379390010866862,0.7142857142857144
self_tau_lime,11875,0.6678047117794487,0.1834600859785154,0.42857142857142855,0.6952380952380952
self_jaccard_lime,11875,0.7396707368421053,0.1846021931900926,0.49000000000000005,0.7
self_taub_lime,11875,0.6682705083736542,0.18348842173701443,0.42857142857142855,0.6952380952380952
self_tau_kernelshap_prob,11875,0.7894849122807017,0.13476024355215221,0.6000000000000001,0.8095238095238095
self_jaccard_kernelshap_prob,11875,0.818650105263158,0.17120678121082913,0.6,0.8
self_taub_kernelshap_prob,11875,0.7893652286449755,0.13491050542542998,0.6000000000000001,0.8095238095238095
cross_tau_shap__occlusion,11875,0.3592332832080201,0.2932162969348462,-0.04761904761904763,0.39047619047619053
cross_jaccard_top3_shap__occlusion,11875,0.5197254736842105,0.22120520347667766,0.25999999999999995,0.5
cross_taub_shap__occlusion,11837,0.3671589511090749,0.29868733787563007,-0.04761904761904763,0.40282229446810974
cross_tau_shap__lime,11875,0.4309357393483709,0.2555832078957747,0.08571428571428573,0.44761904761904764
cross_jaccard_top3_shap__lime,11875,0.5543511578947369,0.21683676010979977,0.27999999999999997,0.5
cross_taub_shap__lime,11875,0.4314879654655305,0.25572780055650574,0.08571428571428573,0.44761904761904764
cross_tau_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_jaccard_top3_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_taub_shap__kernelshap_prob,11875,1.0,0.0,1.0,1.0
cross_tau_occlusion__lime,11875,0.10840140350877195,0.3130463753646953,-0.29523809523809524,0.10476190476190476
cross_jaccard_top3_occlusion__lime,11875,0.3761347368421053,0.19105105075264076,0.16,0.36
cross_taub_occlusion__lime,11837,0.11437401567105802,0.3156598153820678,-0.29523809523809524,0.10476190476190476
cross_tau_occlusion__kernelshap_prob,11875,0.3592332832080201,0.2932162969348462,-0.04761904761904763,0.39047619047619053
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.5197254736842105,0.22120520347667766,0.25999999999999995,0.5
cross_taub_occlusion__kernelshap_prob,11837,0.3671589511090749,0.29868733787563007,-0.04761904761904763,0.40282229446810974
cross_tau_lime__kernelshap_prob,11875,0.4309357393483709,0.2555832078957747,0.08571428571428573,0.44761904761904764
cross_jaccard_top3_lime__kernelshap_prob,11875,0.5543511578947369,0.21683676010979977,0.27999999999999997,0.5
cross_taub_lime__kernelshap_prob,11875,0.4314879654655305,0.25572780055650574,0.08571428571428573,0.44761904761904764
lime_seed_tau,11875,0.8966616541353385,0.12207300347689845,0.7142857142857143,0.9047619047619049
