group,estimator,students,mean_tied,mean_zeros
all,shap,11875,0.004530526315789474,0.09170526315789473
all,occlusion,11875,0.40343578947368425,1.414618947368421
all,lime,11875,0.02016,0.12001684210526314
all,kernelshap_prob,11875,0.004530526315789474,0.09170526315789473
OULAD,shap,6829,0.0,0.0
OULAD,occlusion,6829,0.18623517352467417,0.8647825450285548
OULAD,lime,6829,0.0,0.0
OULAD,kernelshap_prob,6829,0.0,0.0
KU Leuven,shap,1314,0.03439878234398783,0.6681887366818873
KU Leuven,occlusion,1314,0.9004566210045662,2.626027397260274
KU Leuven,lime,1314,0.15601217656012176,0.8978691019786909
KU Leuven,kernelshap_prob,1314,0.03439878234398783,0.6681887366818873
UKZN,shap,2421,0.0,0.059975216852540265
UKZN,occlusion,2421,0.6378356051218504,1.9285419248244526
UKZN,lime,2421,0.0,0.059975216852540265
UKZN,kernelshap_prob,2421,0.0,0.059975216852540265
Zambia,shap,40,0.0,0.0
Zambia,occlusion,40,0.255,1.1199999999999999
Zambia,lime,40,0.0,0.0
Zambia,kernelshap_prob,40,0.0,0.0
Oviedo,shap,1271,0.006766325727773408,0.05177025963808025
Oviedo,occlusion,1271,0.6147915027537372,2.1468135326514557
Oviedo,lime,1271,0.02706530291109363,0.07883556254917388
Oviedo,kernelshap_prob,1271,0.006766325727773408,0.05177025963808025
