metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.8161740350877194,0.7967929607966945,0.8342250588633721,0.8457574736842106,11875
tau_strict,occlusion,occlusion,self,0.7966404010025063,0.7706846324665607,0.8230465444920151,0.8142652631578947,11875
tau_strict,lime,lime,self,0.6587981954887219,0.625495163129965,0.6874083577036977,0.7220193684210526,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.8323761403508773,0.8161298292171152,0.8486424364931964,0.859546947368421,11875
tau_strict,shap,occlusion,cross,0.5447017543859649,0.5008459878043581,0.5823982162077638,0.6790383157894737,11875
tau_strict,shap,lime,cross,0.6406632581453634,0.6101685253214686,0.6669442071004624,0.6999831578947368,11875
tau_strict,shap,kernelshap_prob,cross,0.8606227568922307,0.8412745537796015,0.8789238941690997,0.8759915789473686,11875
tau_strict,occlusion,lime,cross,0.3829213032581454,0.3389355291156931,0.4243320302898917,0.5670012631578948,11875
tau_strict,occlusion,kernelshap_prob,cross,0.5604547368421053,0.5216862865797145,0.5961617615580592,0.6916311578947367,11875
tau_strict,lime,kernelshap_prob,cross,0.6267067669172933,0.5952966215160757,0.6550129506391045,0.6924816842105262,11875
tau_b,shap,shap,self,0.8161190862117305,0.7967609844320586,0.8342202501271215,,11875
tau_b,occlusion,occlusion,self,0.7933945705485381,0.7677438271460991,0.8188251763206473,,11837
tau_b,lime,lime,self,0.6585533605385843,0.6251472352516366,0.6874083577036977,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.8323254286601476,0.8161298292171152,0.8485544151613279,,11875
tau_b,shap,occlusion,cross,0.5566616987895058,0.5128092835891115,0.5946958273537333,,11837
tau_b,shap,lime,cross,0.6413160558196395,0.610913005532893,0.6673998739126343,,11875
tau_b,shap,kernelshap_prob,cross,0.8606196036394717,0.8412712965729666,0.8789202891614726,,11875
tau_b,occlusion,lime,cross,0.39153537573027186,0.34987403927917365,0.43234882150343595,,11837
tau_b,occlusion,kernelshap_prob,cross,0.574109752910582,0.5353130561144842,0.6119891355327345,,11837
tau_b,lime,kernelshap_prob,cross,0.6273566796824486,0.5957880661686156,0.6552980471759188,,11875
