metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
tau_strict,shap,shap,self,0.8067456641604012,0.7896132800206288,0.821860571610246,0.8367856842105263,11875
tau_strict,occlusion,occlusion,self,0.697379448621554,0.6648129644508988,0.7327899817884345,0.7105751578947368,11875
tau_strict,lime,lime,self,0.6082702756892231,0.5743178795135452,0.6410016967653093,0.672608,11875
tau_strict,kernelshap_prob,kernelshap_prob,self,0.7925758395989977,0.7742918651506745,0.809122388646109,0.8319157894736842,11875
tau_strict,shap,occlusion,cross,0.34631137844611537,0.2981048057757373,0.39815147903011466,0.5195637894736842,11875
tau_strict,shap,lime,cross,0.4522337844611529,0.4147479033825981,0.48639197132665896,0.5547132631578947,11875
tau_strict,shap,kernelshap_prob,cross,0.7887470676691729,0.7684589982631893,0.8080754749790097,0.8054534736842105,11875
tau_strict,occlusion,lime,cross,0.14782155388471177,0.1103974366569354,0.18879553590480694,0.39409515789473687,11875
tau_strict,occlusion,kernelshap_prob,cross,0.337317694235589,0.29225953123866594,0.386258400666845,0.5067536842105264,11875
tau_strict,lime,kernelshap_prob,cross,0.45198516290726826,0.4194391525209573,0.48045817496823484,0.5506122105263158,11875
tau_b,shap,shap,self,0.8067154561548828,0.7895499776899141,0.8218598818170271,,11875
tau_b,occlusion,occlusion,self,0.678324258572612,0.6498151760048212,0.7088376812630981,,11815
tau_b,lime,lime,self,0.6082702756892231,0.5743178795135452,0.6410016967653093,,11875
tau_b,kernelshap_prob,kernelshap_prob,self,0.7925455310983027,0.7742910661242874,0.8091079817638767,,11875
tau_b,shap,occlusion,cross,0.3617654141855565,0.3151471065631381,0.41171153471271615,,11821
tau_b,shap,lime,cross,0.4522505390115153,0.4147635465114649,0.4863927882778192,,11875
tau_b,shap,kernelshap_prob,cross,0.788745543859649,0.7684589133090198,0.8080698394837557,,11875
tau_b,occlusion,lime,cross,0.16023548380927755,0.12448861596159756,0.19807241408495047,,11821
tau_b,occlusion,kernelshap_prob,cross,0.3497823442140883,0.3059471789258006,0.39843389976536947,,11821
tau_b,lime,kernelshap_prob,cross,0.45200148173497584,0.4194587320671325,0.48047618482688076,,11875
