metric,students,mean,sd,p10,median
self_tau_shap,11875,0.8067456641604012,0.12119717817128996,0.6380952380952382,0.8285714285714286
self_tau_occlusion,11875,0.697379448621554,0.17974069140711466,0.44761904761904764,0.7142857142857144
self_jaccard_shap,11875,0.8367856842105263,0.16034487044296755,0.62,0.8
cross_tau,11875,0.34631137844611537,0.30509960168072603,-0.08571428571428573,0.4095238095238095
cross_jaccard_top3,11875,0.5195637894736842,0.21672554759514898,0.25999999999999995,0.5
self_taub_shap,11875,0.8067154561548828,0.12117039585914625,0.6380952380952382,0.8285714285714286
self_jaccard_occlusion,11875,0.7105751578947368,0.1767848587367041,0.49000000000000005,0.7
self_taub_occlusion,11815,0.678324258572612,0.1818903438375668,0.4317570691718516,0.7
self_tau_lime,11875,0.6082702756892231,0.17830927178318126,0.37142857142857144,0.6190476190476191
self_jaccard_lime,11875,0.672608,0.165994872346333,0.4600000000000001,0.65
self_taub_lime,11875,0.6082702756892231,0.17830927178318126,0.37142857142857144,0.6190476190476191
self_tau_kernelshap_prob,11875,0.7925758395989977,0.12751303985387213,0.6190476190476192,0.8095238095238096
self_jaccard_kernelshap_prob,11875,0.8319157894736842,0.16632325639582998,0.6,0.8
self_taub_kernelshap_prob,11875,0.7925455310983027,0.12748584117516404,0.6190476190476192,0.8095238095238096
cross_tau_shap__occlusion,11875,0.34631137844611537,0.30509960168072603,-0.08571428571428573,0.4095238095238095
cross_jaccard_top3_shap__occlusion,11875,0.5195637894736842,0.21672554759514898,0.25999999999999995,0.5
cross_taub_shap__occlusion,11821,0.3617654141855565,0.2978533948332303,-0.06666666666666668,0.40987803063838396
cross_tau_shap__lime,11875,0.4522337844611529,0.2159126897146928,0.16190476190476194,0.4666666666666667
cross_jaccard_top3_shap__lime,11875,0.5547132631578947,0.1893535937022531,0.31999999999999995,0.5
cross_taub_shap__lime,11875,0.4522505390115153,0.21592767213276667,0.16190476190476194,0.4666666666666667
cross_tau_shap__kernelshap_prob,11875,0.7887470676691729,0.1437813109599313,0.6,0.8095238095238096
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8054534736842105,0.18595352260441844,0.5,0.8400000000000001
cross_taub_shap__kernelshap_prob,11875,0.788745543859649,0.14378027017640627,0.6,0.8095238095238096
cross_tau_occlusion__lime,11875,0.14782155388471177,0.29274298184787323,-0.2571428571428572,0.16190476190476194
cross_jaccard_top3_occlusion__lime,11875,0.39409515789473687,0.17677218187340232,0.2,0.38
cross_taub_occlusion__lime,11821,0.16023548380927755,0.28885051085709684,-0.23809523809523814,0.18007950545708445
cross_tau_occlusion__kernelshap_prob,11875,0.337317694235589,0.29073711631863697,-0.06666666666666668,0.3904761904761905
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.5067536842105264,0.20947538168870686,0.25999999999999995,0.5
cross_taub_occlusion__kernelshap_prob,11821,0.3497823442140883,0.28738028998185844,-0.052708392606515254,0.3833042930091391
cross_tau_lime__kernelshap_prob,11875,0.45198516290726826,0.2143085942546302,0.16190476190476194,0.4666666666666667
cross_jaccard_top3_lime__kernelshap_prob,11875,0.5506122105263158,0.18199071574933479,0.31999999999999995,0.5
cross_taub_lime__kernelshap_prob,11875,0.45200148173497584,0.21432248313589122,0.16190476190476194,0.4666666666666667
lime_seed_tau,11875,0.8358937343358396,0.14885147438441135,0.6190476190476191,0.9047619047619049
