institution,metric,est_a,est_b,kind,tau_mean,tau_ci_low,tau_ci_high,jaccard_top3_mean,n_students
OULAD,tau_strict,shap,shap,self,0.8723734214728505,0.8459287997541938,0.8908712187605621,0.8886469468443403,6829
OULAD,tau_strict,occlusion,occlusion,self,0.7756849291188141,0.7459762576641293,0.8079465455663043,0.8174007907453507,6829
OULAD,tau_strict,lime,lime,self,0.722848635720213,0.6875247583990816,0.7507578291808005,0.7726607116708156,6829
OULAD,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8859457914077918,0.8677686223786888,0.8995625792581864,0.8989486015522038,6829
OULAD,tau_strict,shap,occlusion,cross,0.5098550300190365,0.4462985908442363,0.5664532908088491,0.6540254795724117,6829
OULAD,tau_strict,shap,lime,cross,0.7303655976961,0.7033677828708212,0.7527547000883902,0.7669204861619564,6829
OULAD,tau_strict,shap,kernelshap_prob,cross,0.8908018325209717,0.8751001306541372,0.9039201186571418,0.9002050080538878,6829
OULAD,tau_strict,occlusion,lime,cross,0.4177492347063295,0.3538675333577595,0.4785329282636297,0.591439449406941,6829
OULAD,tau_strict,occlusion,kernelshap_prob,cross,0.5262166251769416,0.4699060841471384,0.5751814884840025,0.6614994874798653,6829
OULAD,tau_strict,lime,kernelshap_prob,cross,0.7153595659965555,0.6864688814350478,0.73974858635785,0.7584770830282619,6829
OULAD,tau_b,shap,shap,self,0.8723734214728505,0.8459287997541938,0.8908712187605621,,6829
OULAD,tau_b,occlusion,occlusion,self,0.7772130474827738,0.7480980691471547,0.8082598202988579,,6829
OULAD,tau_b,lime,lime,self,0.722848635720213,0.6875247583990816,0.7507578291808005,,6829
OULAD,tau_b,kernelshap_prob,kernelshap_prob,self,0.8859457914077918,0.8677686223786888,0.8995625792581864,,6829
OULAD,tau_b,shap,occlusion,cross,0.511610411969735,0.4479050319586709,0.567655719293554,,6829
OULAD,tau_b,shap,lime,cross,0.7303655976961,0.7033677828708212,0.7527547000883902,,6829
OULAD,tau_b,shap,kernelshap_prob,cross,0.8908018325209717,0.8751001306541372,0.9039201186571418,,6829
OULAD,tau_b,occlusion,lime,cross,0.4195387174138336,0.355868830072244,0.4798880045750304,,6829
OULAD,tau_b,occlusion,kernelshap_prob,cross,0.5278289348227796,0.4718912635138706,0.5766886581992918,,6829
OULAD,tau_b,lime,kernelshap_prob,cross,0.7153595659965555,0.6864688814350478,0.73974858635785,,6829
KU Leuven,tau_strict,shap,shap,self,0.7712256287598753,0.7255859083445292,0.8135545127141767,0.8241019786910198,1314
KU Leuven,tau_strict,occlusion,occlusion,self,0.87866927592955,0.8363964686998396,0.9180048129512143,0.8410273972602741,1314
KU Leuven,tau_strict,lime,lime,self,0.476436906573893,0.39769557796724114,0.5924451250638081,0.5989497716894977,1314
KU Leuven,tau_strict,kernelshap_prob,kernelshap_prob,self,0.8141335072841923,0.7728528269313769,0.8524982406755808,0.8491628614916286,1314
KU Leuven,tau_strict,shap,occlusion,cross,0.6247879973907372,0.5535024477080553,0.68197662711032,0.737579908675799,1314
KU Leuven,tau_strict,shap,lime,cross,0.4281220555193158,0.31460361613351884,0.5402744272002115,0.5281126331811263,1314
KU Leuven,tau_strict,shap,kernelshap_prob,cross,0.8496339784011019,0.8163605148306554,0.8878324573976747,0.8734550989345512,1314
KU Leuven,tau_strict,occlusion,lime,cross,0.2819163586286874,0.16608660880898077,0.36486442918399586,0.45299847792998477,1314
KU Leuven,tau_strict,occlusion,kernelshap_prob,cross,0.6274987316083207,0.56545601291364,0.6766424085335461,0.7440487062404871,1314
KU Leuven,tau_strict,lime,kernelshap_prob,cross,0.3952598390954556,0.2797403801576264,0.5118311242022583,0.5198630136986302,1314
KU Leuven,tau_b,shap,shap,self,0.7712256287598753,0.7255859083445292,0.8135545127141767,,1314
KU Leuven,tau_b,occlusion,occlusion,self,0.8683214467961191,0.8282456370884809,0.9042409686353592,,1314
KU Leuven,tau_b,lime,lime,self,0.476436906573893,0.39769557796724114,0.5924451250638081,,1314
KU Leuven,tau_b,kernelshap_prob,kernelshap_prob,self,0.8141335072841923,0.7728528269313769,0.8524982406755808,,1314
KU Leuven,tau_b,shap,occlusion,cross,0.6427296930939791,0.5814421960585283,0.6899352833396413,,1314
KU Leuven,tau_b,shap,lime,cross,0.4281220555193158,0.31460361613351884,0.5402744272002115,,1314
KU Leuven,tau_b,shap,kernelshap_prob,cross,0.8496339784011019,0.8163605148306554,0.8878324573976747,,1314
KU Leuven,tau_b,occlusion,lime,cross,0.2755938646360445,0.1460755506785094,0.3691368420208583,,1314
KU Leuven,tau_b,occlusion,kernelshap_prob,cross,0.6650715500731298,0.6052084188564366,0.7095596200102535,,1314
KU Leuven,tau_b,lime,kernelshap_prob,cross,0.3952598390954556,0.2797403801576264,0.5118311242022583,,1314
UKZN,tau_strict,shap,shap,self,0.7570543459019297,0.6929991245303778,0.818915463553109,0.8063651383725733,2421
UKZN,tau_strict,occlusion,occlusion,self,0.8396805727660747,0.795563032338337,0.8756978911716281,0.8436885584469228,2421
UKZN,tau_strict,lime,lime,self,0.6418795853740092,0.6007137215393098,0.6898112714676057,0.705518380834366,2421
