metric,students,mean,sd,p10,median
self_tau_shap,11875,0.8275208020050124,0.15125437473558956,0.6190476190476192,0.8666666666666668
self_tau_occlusion,11875,0.8047839598997493,0.1704771392114757,0.5619047619047619,0.8476190476190476
self_jaccard_shap,11875,0.8556412631578947,0.16786765998872544,0.62,1.0
cross_tau,11875,0.5418369924812031,0.2593632367816357,0.18095238095238098,0.580952380952381
cross_jaccard_top3,11875,0.6802677894736842,0.2322288306430363,0.38,0.64
self_taub_shap,11875,0.8275447252073335,0.15122249360558576,0.6190476190476192,0.8666666666666668
self_jaccard_occlusion,11875,0.8259410526315789,0.17579606917221555,0.6,0.8
self_taub_occlusion,11875,0.8043814606657392,0.1690667623168621,0.5671730449119001,0.8476190476190476
self_tau_lime,11875,0.6756675689223057,0.18193655357182234,0.42857142857142866,0.6952380952380952
self_jaccard_lime,11875,0.7359738947368422,0.17866398517345441,0.52,0.7
self_taub_lime,11875,0.6756675689223057,0.18193655357182234,0.42857142857142866,0.6952380952380952
self_tau_kernelshap_prob,11875,0.8410843107769425,0.14125749704771332,0.6380952380952383,0.8666666666666668
self_jaccard_kernelshap_prob,11875,0.8634652631578947,0.16323883731361175,0.65,1.0
self_taub_kernelshap_prob,11875,0.8410843107769425,0.14125749704771332,0.6380952380952383,0.8666666666666668
cross_tau_shap__occlusion,11875,0.5418369924812031,0.2593632367816357,0.18095238095238098,0.580952380952381
cross_jaccard_top3_shap__occlusion,11875,0.6802677894736842,0.2322288306430363,0.38,0.64
cross_taub_shap__occlusion,11875,0.5483121178653683,0.25865362016976184,0.18095238095238098,0.5871376130296477
cross_tau_shap__lime,11875,0.652837694235589,0.19295240382647041,0.39047619047619053,0.6761904761904762
cross_jaccard_top3_shap__lime,11875,0.6968673684210526,0.2019986596232242,0.44000000000000006,0.7
cross_taub_shap__lime,11875,0.65282506117741,0.19295646741597938,0.39047619047619053,0.6761904761904762
cross_tau_shap__kernelshap_prob,11875,0.8661036591478697,0.14330476006708423,0.6571428571428573,0.9238095238095239
cross_jaccard_top3_shap__kernelshap_prob,11875,0.8765945263157896,0.15738297963121364,0.6,1.0
cross_taub_shap__kernelshap_prob,11875,0.8660904319224343,0.1433297508993082,0.6571428571428573,0.9238095238095239
cross_tau_occlusion__lime,11875,0.3751322305764412,0.2701874412195949,0.009523809523809513,0.39047619047619053
cross_jaccard_top3_occlusion__lime,11875,0.5539317894736842,0.21057040620690895,0.31999999999999995,0.5
cross_taub_occlusion__lime,11875,0.37942590014988986,0.2674872101040447,0.009523809523809523,0.3995296175886484
cross_tau_occlusion__kernelshap_prob,11875,0.5455647117794487,0.2551787478528956,0.180952380952381,0.580952380952381
cross_jaccard_top3_occlusion__kernelshap_prob,11875,0.682874947368421,0.231093192112762,0.38,0.6
cross_taub_occlusion__kernelshap_prob,11875,0.5564842265290243,0.2531578026813538,0.2,0.5980023090578164
cross_tau_lime__kernelshap_prob,11875,0.6442177443609023,0.1971143005680828,0.3714285714285715,0.6761904761904762
cross_jaccard_top3_lime__kernelshap_prob,11875,0.6921768421052632,0.19965239048930325,0.44000000000000006,0.7
cross_taub_lime__kernelshap_prob,11875,0.6442177443609023,0.1971143005680828,0.3714285714285715,0.6761904761904762
lime_seed_tau,11875,0.857379448621554,0.1446483751981963,0.6190476190476191,0.9047619047619049
