group,estimator,students,mean_tied,mean_zeros
all,shap,11875,0.0004042105263157895,0.052917894736842094
all,occlusion,11875,0.25490526315789475,1.0396463157894735
all,lime,11875,0.0,0.06718315789473683
all,kernelshap_prob,11875,0.0,0.04906105263157894
OULAD,shap,6829,0.0,0.0035729975106164884
OULAD,occlusion,6829,0.043315273100014644,0.542041294479426
OULAD,lime,6829,0.0,0.0
OULAD,kernelshap_prob,6829,0.0,0.0
KU Leuven,shap,1314,0.0,0.2881278538812785
KU Leuven,occlusion,1314,0.8458143074581431,2.369406392694064
KU Leuven,lime,1314,0.0,0.45190258751902584
KU Leuven,kernelshap_prob,1314,0.0,0.2881278538812785
UKZN,shap,2421,0.001982651796778191,0.08401486988847583
UKZN,occlusion,2421,0.4590665014456836,1.5486988847583645
UKZN,lime,2421,0.0,0.0768277571251549
UKZN,kernelshap_prob,2421,0.0,0.0768277571251549
Zambia,shap,40,0.0,0.45
Zambia,occlusion,40,0.5,1.64
Zambia,lime,40,0.0,0.45
Zambia,kernelshap_prob,40,0.0,0.45
Oviedo,shap,1271,0.0,0.003147128245476003
Oviedo,occlusion,1271,0.38426435877261994,1.3499606608969315
Oviedo,lime,1271,0.0,0.0
Oviedo,kernelshap_prob,1271,0.0,0.0
